premise	hypothesis	label	output	verbalized
በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ የተባለው ደንበኛ በወር 10,000 ዶላር ያገኛል።	neutral	true	entailment
በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ የሚባል ደንበኛ አለ።	entailment	true	entailment
በጠረጴዛዬ ላይ የተወሰኑ የገንዘብ ፍሰት ትንበያዎች አሉ እና, አም, አሀ, ለዚያ እና ለዚያ የካቲ ነው, የደንበኛው ስም ነው።	ካቲ ተብሎ የሚጠራ ደንበኛ የለንም።	contradiction	true	entailment
ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	ለእርዳታ ምፈልጋት ልጅ የምትኖረው ከሩቅ ሩቅ ነው።	entailment	true	entailment
ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	እኔ ምትረዳኝ ልጅ 5 ማይል ርቀት ላይ ነች።	neutral	true	entailment
ልትረዳኝ የምትችለው ልጅ ማዶ ከከተማው አቋራጭ ነች።	ማንም ሊረዳኝ የሚችል የለም ።	contradiction	true	entailment
ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	ሁሉም መስክ ላይ ለመሥራት ተስማምተዋል።	contradiction	true	entailment
ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	የመስክ ሠራተኛ ማን እንደሆነና በቤት ውስጥ ማን መሆን እንዳለበት ሊስማሙ አልቻሉም።	entailment	neither	neutral
ነገር ግን እንደ የመስክ ሠራተኞች እና የቤት ልጆች ማን እንደሆኑ በሚለው ተከፋፍለው ነበር፣ እሱ እንደዚህ ዓይነት ነበር--	በጥጥ መስክ ውስጥ ማን መሥራት እንዳለበት እና ማን ወለሉን ማጽዳት እንዳለበት መስማማት አልቻሉም።	neutral	true	entailment
ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	ሁሉም ልጆቻቸው በሕይወት ተርፈዋል።	contradiction	true	entailment
ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	ከአምስቱ አንዱ ልጅ ሞተ።	entailment	true	entailment
ማለቴ ፣እንደ፣ አምስት ልጆች ብቻ ነበሯቸው፣ አንደኛው ሞተ።	የሞተው ሕፃን የተወለደው በሽተኛ ሆኖ ነበር።	neutral	true	entailment
ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች።	በረንዳው እንዲወጣ ስትነግረው ዓይኖቿ በእንባ ተሞሉ።	entailment	true	entailment
ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች።	በፍጥነት እንባዋን አበሰች ጆ ከበረንዳው ላይ ከወረወረችው በኋላ ።	contradiction	true	entailment
ከዓይኖቿ እንባ እየወረደ ነው አለች፣ እና ከዚያም ጆ በረንዳው ላይ መጣ አለች።	በፍጥነት እንባዋን አበሰች ጆ ከበረንዳው ላይ ካታለለችው በኋላ ።	neutral	true	entailment
አውሮፕላኑ በእሳት ቢያቃጥልም ፣ለምን እሱ፣ እሱ ይሆን አሀ፣ የሚቃጠለውና የሚቀልጠው በሊድ አካል አማካኝነት ሲሆን ይህም ጨረር እንዲወጣ ያደርጋል።	እንዲሁም ጨረሩን በእሳት ጊዜም መቆጣጠር ይቻላል።	neutral	true	entailment
አውሮፕላኑ በእሳት ቢያቃጥልም ፣ለምን እሱ፣ እሱ ይሆን አሀ፣ የሚቃጠለውና የሚቀልጠው በሊድ አካል አማካኝነት ሲሆን ይህም ጨረር እንዲወጣ ያደርጋል።	አውሮፕላኑ ከቃጠለ በኋላ ጨረር ከሊድ አካል ይወጣል።	entailment	true	entailment
አውሮፕላኑ በእሳት ቢያቃጥልም ፣ለምን እሱ፣ እሱ ይሆን አሀ፣ የሚቃጠለውና የሚቀልጠው በሊድ አካል አማካኝነት ሲሆን ይህም ጨረር እንዲወጣ ያደርጋል።	ጨረሩ በእሳት ጊዜ አይወጣም።	contradiction	false	contradiction
ይህ ከዩናይትድ ስቴትስ አየር ኃይል ጡረታ የወጣው ዋና የጦር መኰንን ክሌም ፍራንሲስ ነኝ።	ዋና መኮንኑ ከአሜሪካ አየር ኃይል ጡረታ ወጥቷል።	entailment	true	entailment
ይህ ከዩናይትድ ስቴትስ አየር ኃይል ጡረታ የወጣው ዋና የጦር መኰንን ክሌም ፍራንሲስ ነኝ።	ዋና መኮንኑ ከጥቂት ሳምንታት በፊት ጡረታ ወጥተዋል።	neutral	true	entailment
ይህ ከዩናይትድ ስቴትስ አየር ኃይል ጡረታ የወጣው ዋና የጦር መኰንን ክሌም ፍራንሲስ ነኝ።	የዩኤስ አየር ኃይል ዋና መኮንን ሥራቸውን የጀመሩት በዚህ ሳምንት ነው።	contradiction	true	entailment
ያው በሳምንት ውስጥ ሁለት ወይም ሦስት አውሮፕላኖች የሚደርሱበት ሁኔታ ነው ያለው እና  የት እንደሚበሩ አላውቅም።	በየሳምንቱ ከአንድ በላይ አውሮፕላን ያርፋል።	entailment	true	entailment
ያው በሳምንት ውስጥ ሁለት ወይም ሦስት አውሮፕላኖች የሚደርሱበት ሁኔታ ነው ያለው እና  የት እንደሚበሩ አላውቅም።	የተጨመረው የአውሮፕላን ትራፊክ ችግር ይፈጥራል።	neutral	አላውቅም (neither) - አውሮፕላን ትራፊክ ችግር ከሳምንት ውስጥ የሚደርሱበት ሁኔታ ነው። እና ሁለት ወይም ሦስት አውሮፕላኖች የሚደርሱበት ሁኔታ አለው። አውሮፕላን ትራፊክ ችግር የሚደርሱበት ሁኔታ በሳምንት ውስጥ አለው።	unknown
ያው በሳምንት ውስጥ ሁለት ወይም ሦስት አውሮፕላኖች የሚደርሱበት ሁኔታ ነው ያለው እና  የት እንደሚበሩ አላውቅም።	ምንም ዓይነት አውሮፕላን አይደርስም።	contradiction	neither	neutral
እነሱ ቀድሞውኑ የሙሉ ግፊት ልብስ ውስጥ ስልጠና  ወስደዋል እና እኔን የተወሰነ ጊዜ ወስዳብኛል ሙሉ ግፊት ልብስ ውስጥ በተመለከተ ከገባህ ።	የሙሉ ግፊት ልብስ አጠቃቀም ስልጠና ለማጠናቀቅ እስከ ሦስት ወር ይወስዳል።	neutral	true	entailment
እነሱ ቀድሞውኑ የሙሉ ግፊት ልብስ ውስጥ ስልጠና  ወስደዋል እና እኔን የተወሰነ ጊዜ ወስዳብኛል ሙሉ ግፊት ልብስ ውስጥ በተመለከተ ከገባህ ።	ሙሉ ግፊት ያለው ልብስ ለመጠቀም ስልጠናው ሰፋ ያለ ጊዜ ይወስዳል።	entailment	true	entailment
እነሱ ቀድሞውኑ የሙሉ ግፊት ልብስ ውስጥ ስልጠና  ወስደዋል እና እኔን የተወሰነ ጊዜ ወስዳብኛል ሙሉ ግፊት ልብስ ውስጥ በተመለከተ ከገባህ ።	በዛሬው ዕለት መጨረሻ ላይ ሙሉ ግፊት ያለው ልብስ ስለመጠቀም ልናሠለጥንዎ እንችላለን።	contradiction	true	entailment
ልናገር እፈልጋለሁ ቦምቡን ይዞ ውደ ውስጥ መግባት አደጋ እንደሌለው ምክንያቱም ምንም ያህል መሬት ጋር ቢጋጭ አይፈነዳም።	ቦምቡ በአውሮፕላኑ አብራሪ አማካኝነት እንዳይሰራ ተደርጎል።	neutral	true	entailment
ልናገር እፈልጋለሁ ቦምቡን ይዞ ውደ ውስጥ መግባት አደጋ እንደሌለው ምክንያቱም ምንም ያህል መሬት ጋር ቢጋጭ አይፈነዳም።	ቦምቡ የሚፈነዳበት ምንም እድል አልነበረም።	entailment	false	contradiction
ልናገር እፈልጋለሁ ቦምቡን ይዞ ውደ ውስጥ መግባት አደጋ እንደሌለው ምክንያቱም ምንም ያህል መሬት ጋር ቢጋጭ አይፈነዳም።	ቦምቡ ሊፈነዳ የሚችልበት ከፍተኛ አደጋ ነበር።	contradiction	true	entailment
እና እኔ ለማድረግ እየሞከርኩ ያለሁትን በትክክል ቢመስል።	ይህ ለአንተ ምን እንደሚመስል እርግጠኛ አይደለሁም።	contradiction	true	entailment
እና እኔ ለማድረግ እየሞከርኩ ያለሁትን በትክክል ቢመስል።	ግልጽ ነው፣ ይህን ለማድረግ  እየሞከርኩ እንደሆነ ።	entailment	true	entailment
እና እኔ ለማድረግ እየሞከርኩ ያለሁትን በትክክል ቢመስል።	በሚቀጥለው ሳምንት ፕሮጀክቴን ለማጠናቀቅ እየሞከርኩ ነው።	neutral	true	entailment
ግን ይሁን እንጂ፣ እንስሳቱ ይፈታሉ በየጊዜው፣በተለይም ፍየሎቹ ።	ፍየሎቹ በየቀኑ ከግርግሙ ያመልጡ ነበር።	neutral	true	entailment
ግን ይሁን እንጂ፣ እንስሳቱ ይፈታሉ በየጊዜው፣በተለይም ፍየሎቹ ።	ፍየሎቹ ብዙ ጊዜ ያመልጡ ነበር።	entailment	true	entailment
ግን ይሁን እንጂ፣ እንስሳቱ ይፈታሉ በየጊዜው፣በተለይም ፍየሎቹ ።	ፍየሎቹ ደህንነታቸው በተጠበቀ ሁኔታ ተይዘዋል።	contradiction	true	entailment
ወደ ውስጥ ስንገባ በሮቹ ተቆልፈው ነበር።	ሁሉም በሮች ተከፍተው ነበሩ።	contradiction	true	entailment
ወደ ውስጥ ስንገባ በሮቹ ተቆልፈው ነበር።	ቁልፎቹን ይዘናቸው ነበር።	neutral	true	entailment
ወደ ውስጥ ስንገባ በሮቹ ተቆልፈው ነበር።	በሮቹ የተቆለፉ ቢሆኑም ወደ ውስጥ ገባን።	entailment	true	entailment
ስለዚህ እኔ ብቻ ጠቅላላ መውሰድ ነበረብኝ እና መሞከር እና  ለመገመት መሞከር እንዳዚያው።	ይህን ጉዳይ ለመፍታት የሚያስፈልጉኝ አጠቃላይ ቁጥሮች ብቻ እንደሆኑ እርግጠኛ ነኝ።	neutral	true	entailment
ስለዚህ እኔ ብቻ ጠቅላላ መውሰድ ነበረብኝ እና መሞከር እና  ለመገመት መሞከር እንዳዚያው።	ሀሳቡ የለኝም በጠቅላላው ያለውን ብቻ ተሰጥቶኝ እባክህን ይህንን ችግር ለመፍታት ተጨማሪ ዝርዝሮችን ስጠኝ።	contradiction	true	entailment
ስለዚህ እኔ ብቻ ጠቅላላ መውሰድ ነበረብኝ እና መሞከር እና  ለመገመት መሞከር እንዳዚያው።	በጠቅላላው ላይ በመመርኮዝ አሰላለሁ።	entailment	true	entailment
ይህ ደግሞ በአብዛኛው ነው እሱም ምክንያቱም የሚከሰተው እናቶቹ አደንዛዥ ዕፅ  ውስጥ ስለሆኑ ነው	እናቶቹ የአደንዛዥ ዕፅ ሱሰኞች ናቸው።	neutral	true	entailment
ይህ ደግሞ በአብዛኛው ነው እሱም ምክንያቱም የሚከሰተው እናቶቹ አደንዛዥ ዕፅ  ውስጥ ስለሆኑ ነው	እናቶቹ ምንም ዓይነት መድኃኒት አልታዘዘላቸውም ወይም መድኃኒት አይወስዱም።	contradiction	neither	neutral
ይህ ደግሞ በአብዛኛው ነው እሱም ምክንያቱም የሚከሰተው እናቶቹ አደንዛዥ ዕፅ  ውስጥ ስለሆኑ ነው	እናቶች አደንዛዥ ዕፅ ይወስዳሉ።	entailment	true	entailment
አዎ በጣም ደስ ይላል ዝናብ ዘንቦ ሲሆን	ዝናቡ አይደብረኝም።	neutral	true	entailment
አዎ በጣም ደስ ይላል ዝናብ ዘንቦ ሲሆን	ጥሩ እና ዝናባማ ነው።	entailment	true	entailment
አዎ በጣም ደስ ይላል ዝናብ ዘንቦ ሲሆን	ማለቂያ የሌለው የፀሐይ ብርሃን ጋር በጣም መጥፎ ነው።	contradiction	true	entailment
ኦው የሰው ሕይወት ዋጋው ምን ያህል ነው እና ይቻል ይሆን ወይስ አይቻልም የሆነን ሰው መልሶ እንዲያገግም ማድረግ	ሁሉም ሕይወት የመልሶ ለማገገም እና ለሁለተኛ እድል ለማግኘት ዋጋ አላቸው።	neutral	እና (neither)	unknown
ኦው የሰው ሕይወት ዋጋው ምን ያህል ነው እና ይቻል ይሆን ወይስ አይቻልም የሆነን ሰው መልሶ እንዲያገግም ማድረግ	ማንም ሰው መልሶ ለማገገም አይገባውም።	contradiction	አይገባው። (false) ሰው መልሶ ለማገገም ይችላል።	unknown
ኦው የሰው ሕይወት ዋጋው ምን ያህል ነው እና ይቻል ይሆን ወይስ አይቻልም የሆነን ሰው መልሶ እንዲያገግም ማድረግ	ማገገም ትተን የቱ ሕይወት ዋጋ ሊሰጠው ይገባዋል። .	entailment	true	entailment
ኦው ወንድም እዚያ ላይ እንግዳ የሆነ የሽቦ ችግር አለብህ	ከዚህ በፊት እንዲህ ዓይነት የሽቦ ችግር አይቼ አላውቅም።	neutral	true	entailment
ኦው ወንድም እዚያ ላይ እንግዳ የሆነ የሽቦ ችግር አለብህ	ችግሩ ሽቦው አይደለም።	contradiction	false	contradiction
ኦው ወንድም እዚያ ላይ እንግዳ የሆነ የሽቦ ችግር አለብህ	በዚህ ያልተለመደ ሽቦ ምክንያት ችግር አለ።	entailment	true	entailment
ብዙ አዝናኝ ይመስላል ያአ  ይህ ለእኔ አስገራሚ ነው ምን ያህል ብዙ ነገሮችን ይፈቅዳሉ	ምንም አልተደነቅኩም እነሱ የዋህ በመሆናቸው።	contradiction	false	contradiction
ብዙ አዝናኝ ይመስላል ያአ  ይህ ለእኔ አስገራሚ ነው ምን ያህል ብዙ ነገሮችን ይፈቅዳሉ	እዚያ ምግብና መጠጥ ይዘህ እንድትሄድ መፍቀዳቸው አስገርሞኛል።	neutral	true	entailment
ብዙ አዝናኝ ይመስላል ያአ  ይህ ለእኔ አስገራሚ ነው ምን ያህል ብዙ ነገሮችን ይፈቅዳሉ	እኔ የሚገርመኝ ምን ሊያመልጣቸው እንደሚችል ነው።	entailment	true	entailment
ኦህ ግን ለማንኛውም ለማንኛውም አም ልጆቼ አሁን ሃያ አንድ እና ሃያ አራት ናቸው ስለዚህ አያስፈልገኝም	እኔ አልፈልግም ምክንያቱም ልጆቼ ከሃያ ዓመት በላይ ናቸው።	entailment	true	entailment
ኦህ ግን ለማንኛውም ለማንኛውም አም ልጆቼ አሁን ሃያ አንድ እና ሃያ አራት ናቸው ስለዚህ አያስፈልገኝም	በእድሜ ቅርብ ስለሆኑ ማድረግ ሊኖርብኝ ይችላል፡፡	neutral	true	entailment
ኦህ ግን ለማንኛውም ለማንኛውም አም ልጆቼ አሁን ሃያ አንድ እና ሃያ አራት ናቸው ስለዚህ አያስፈልገኝም	ሁለቱም የአሥር እና የአሥራ አንድ ዓመት ልጆች ስለሆኑ ይህን ማድረግ አለብኝ።	contradiction	true	entailment
አዎ በማንኛውም ጊዜ በሥራ ላይ ሊሆኑ የሚችሉ ሰዎች ወይም ውሳኔ ማድረግ ካለባቸው ውሳኔያቸው ሊደበዝዝ የሚችሉ ሰዎች	አዎ፣ ምርጡን የፍርድ ጥሪ ሰዎች ማድረግ ላይችሉ ይችላሉ።	entailment	true	entailment
አዎ በማንኛውም ጊዜ በሥራ ላይ ሊሆኑ የሚችሉ ሰዎች ወይም ውሳኔ ማድረግ ካለባቸው ውሳኔያቸው ሊደበዝዝ የሚችሉ ሰዎች	አዎ፣ ረሃብ የማይሰማቸው ሰዎች	neutral	false	contradiction
አዎ በማንኛውም ጊዜ በሥራ ላይ ሊሆኑ የሚችሉ ሰዎች ወይም ውሳኔ ማድረግ ካለባቸው ውሳኔያቸው ሊደበዝዝ የሚችሉ ሰዎች	አዎን፣ ውሳኔ የማድረግ ችሎታቸው በፍፁም ያልተዳከመ ሰዎች፡፡	contradiction	true	entailment
አይ እነሱ አሁንም እነሱ አሁንም በጉብኝት ላይ ናቸው እነሱ ከ 60 ዎቹ መገባደጃ ጀምሮ በጉብኝት ላይ ናቸው	ከ1970 በፊት ጀምሮ እየጎበኙ ነው።	entailment	true	entailment
አይ እነሱ አሁንም እነሱ አሁንም በጉብኝት ላይ ናቸው እነሱ ከ 60 ዎቹ መገባደጃ ጀምሮ በጉብኝት ላይ ናቸው	መጎብኘት ይወዳሉ።	neutral	true	entailment
አይ እነሱ አሁንም እነሱ አሁንም በጉብኝት ላይ ናቸው እነሱ ከ 60 ዎቹ መገባደጃ ጀምሮ በጉብኝት ላይ ናቸው	በቅርቡ ጉብኝታቸውን አጠናቀዋል።	contradiction	true	entailment
ኤሮቢክ መስራት የምትችለው እንዴት ነው?	ኤሮቢክስን እንዴት እንደምትሰራ ልታብራራ ትችላለህ?	entailment	እንዴት እንደምትሰራ ልታብራራ ትችላለህ የሚባለው ነገር አይነበረም። ኤሮቢክ መስራት ለምንድን ነው እና እንዴት ምንድን ነው እንደሚሰራ ትችላለህ የሚባለው ነገር ነው። እርስዎ ከኤሮቢክ መስራት ማለት ነው እና እንዴት ምንድን ነው ማለት ነው እንደሚሰራ እንዴት ማለት ነው እንደሚሰራ ይሆናል።	unknown
ኤሮቢክ መስራት የምትችለው እንዴት ነው?	በኤሮቢክ ላይ ፍላጐት አለኝ ምክንያቱም የተወሰነ የልብና-የደም ቧንቧ እንቅስቃሴ ያስፈልገኛል፡፡	neutral	true	entailment
ኤሮቢክ መስራት የምትችለው እንዴት ነው?	እባካችሁ ስለ ኤሮቢክ ማውራት አቁሙ።	contradiction	እባካችሁ ስለ ኤሮቢክ መስራት አቁሙ። እስከ አሁን ድረስ ኤሮቢክ መስራት የምትችለው እንዴት ነው ብለን አልተሳነንም።	unknown
ደኅና ይህ ጥሩዉ ነው ስለዚህ ጒዳይ አላሰብኩም ነበር አዎ	ባለፈው ሳምንት የጣልኩት ደደብ ሃሳብ ነው።	contradiction	true	entailment
ደኅና ይህ ጥሩዉ ነው ስለዚህ ጒዳይ አላሰብኩም ነበር አዎ	እሱ ጥሩ ነጥብ ነው።	entailment	true	entailment
ደኅና ይህ ጥሩዉ ነው ስለዚህ ጒዳይ አላሰብኩም ነበር አዎ	የጠቀስከው አያዎ ጥሩ ነጥብ ነው።	neutral	true	entailment
በሳምንት ሁለት ቀን የቀን እንክብካቤ የሚሰጠው ለአረጋውያን ዜጐች የቀን እንክብካቤ ተብሎ በመጠራት ነው ነገር ግን ወደ አረጋውያን ዜጐች ማዕከል ትሄዳለች።	የቀን እንክብካቤው ለአምስት ዓመት ዕድሜ ላላቸው ልጆች ብቻ በየቀኑ ክፍት ነው።	contradiction	true	entailment
በሳምንት ሁለት ቀን የቀን እንክብካቤ የሚሰጠው ለአረጋውያን ዜጐች የቀን እንክብካቤ ተብሎ በመጠራት ነው ነገር ግን ወደ አረጋውያን ዜጐች ማዕከል ትሄዳለች።	በሳምንት ከሁለት ጊዜ በላይ እንዲሄዱ ይፈቅዳሉ አረጋዊያ ዜጐች ይህንን ማድረግ የሚችሉ ከሆነ።	neutral	true	entailment
በሳምንት ሁለት ቀን የቀን እንክብካቤ የሚሰጠው ለአረጋውያን ዜጐች የቀን እንክብካቤ ተብሎ በመጠራት ነው ነገር ግን ወደ አረጋውያን ዜጐች ማዕከል ትሄዳለች።	አዛውንት ቀን እንክብካቤ ተብሎ ይመላከታል ነገር ግን አዛውንት ማዕከል ተብሎ ይጠራል ።	entailment	true	entailment
ኦው ግባቸው ይህ ነበር	ይህ ነው እርሱ እነሱ ይተጉ የነበሩለት ነገር ።	entailment	true	entailment
ኦው ግባቸው ይህ ነበር	እነሱ የፈለጉት ይህ በፍፁም አልነበረም።	contradiction	true	entailment
ኦው ግባቸው ይህ ነበር	ግባቸውን አሳኩ።	neutral	true	entailment
የጦር መሣሪያ ቁጥጥር ማለት ሁለት እጆች መጠቀም ማለት ነው	ግማሾቹ የጦር መሣሪያ በሰህተት መተኮስ የሚከሰተው በአንድ እጅ በመጠቀም ነው።	neutral	true	entailment
የጦር መሣሪያ ቁጥጥር ማለት ሁለት እጆች መጠቀም ማለት ነው	የጦር መሣሪያ ቁጥጥርን ለማስቀጠል ከሁሉ የተሻለው መንገድ ሁለቱንም እግር መጠቀም ነው።	contradiction	true	entailment
የጦር መሣሪያ ቁጥጥር ማለት ሁለት እጆች መጠቀም ማለት ነው	የጦር መሣሪያ ቁጥጥርን ለመለማመድ ከፈለግህ ሁለቱንም እጆችህን ተጠቀም።	entailment	true	entailment
እና አሀ ነገር ግን በድንገት መጣ ከሆነ ቦታ ከየት እንደመጣ አላውቅም ነገር ግን	ከየት እንደመጣ አላውቅም ነገር ግን ፈጣን ነው።	entailment	ከየት እንደመጣ አላውቅም ነገር ግን ፈጣን ነው። - true	unknown
እና አሀ ነገር ግን በድንገት መጣ ከሆነ ቦታ ከየት እንደመጣ አላውቅም ነገር ግን	በፍጥነት ይመጣል ነገር ግን እኔ ከየት ሊሆን እንደሚችል የሚመጣው አውቃለሁ።	neutral	false.	contradiction
እና አሀ ነገር ግን በድንገት መጣ ከሆነ ቦታ ከየት እንደመጣ አላውቅም ነገር ግን	እንደ ሞላሰስ ይመጣል እና መቼ እንደሚመጣ በትክክል አውቃለሁ።	contradiction	neither	neutral
አይደለም እንዲያውም እኔ እንኳን በደንብ አላውቀውም አይመስለኝም	ስለ እሱ ብዙም አላውቅም።	entailment	false	contradiction
አይደለም እንዲያውም እኔ እንኳን በደንብ አላውቀውም አይመስለኝም	እኔ በፍቅር ጉዳይ ላይ አላዋቂ ነኝ።	neutral	true	entailment
አይደለም እንዲያውም እኔ እንኳን በደንብ አላውቀውም አይመስለኝም	እኔ  ለዓመታት ሳጠናው ቆይቻለሁ።	contradiction	true	entailment
አዎ እሷ ታላቅ ነበረች ታውቃለህ እሷ	እሷ ግሩም  እንደሆነበረች ታውቃለች ብየ አስባለሁ ።	neutral	true	entailment
አዎ እሷ ታላቅ ነበረች ታውቃለህ እሷ	አይደለም እሷ መጥፎ ነበረች።	contradiction	true	entailment
አዎ እሷ ታላቅ ነበረች ታውቃለህ እሷ	አዎ እሷ በጣም ጥሩ ነበረች።	entailment	true	entailment
አዎን እሱ አሀ እም ኤ አሀ እም ኤ ማጠቢያ እንደ ምትጠቀመው ማግኘትን ብሎ ሀሳብ አቀረበ	የቫኩዩም የመግዛትን ሃሳብ አቀረበ።	contradiction	true	entailment
አዎን እሱ አሀ እም ኤ አሀ እም ኤ ማጠቢያ እንደ ምትጠቀመው ማግኘትን ብሎ ሀሳብ አቀረበ	ማጠቢያ ለማግኘት ሃሳብ አቀረበ።	entailment	true	entailment
አዎን እሱ አሀ እም ኤ አሀ እም ኤ ማጠቢያ እንደ ምትጠቀመው ማግኘትን ብሎ ሀሳብ አቀረበ	ደሙን በመወልወያ ማጽዳት ፈልጐ ነበር።	neutral	true	entailment
በጣም መጥፎ ነው እዚያ ከቤታችን ሦስት ብሎክ ርቆ በሚገኝ አውራ ጐዳና ላይ ተኩስ ነበረ።	ተኩሱ የተከሰተው እኔ ከምኖርበት በጥቂቱ 100 ማይል ርቀት ላይ ነው።	contradiction	true	entailment
