premise	hypothesis	label	output	verbalized
There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	We don't have any clients called Cutty.	contradiction	false.	contradiction
The girl that can help me is all the way across town.	The girl I need help from lives a ways away.	entailment	true	entailment
The girl that can help me is all the way across town.	The girl who is going to help me is 5 miles away.	neutral	neither	neutral
The girl that can help me is all the way across town.	There is no one who can help me.	contradiction	false	contradiction
But they were divided about like who were the field hands and who were the house kids, it was kind of--	They all agreed that they'd all work in the fields.	contradiction	true	entailment
But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree about who was a field hand and who belonged in the house.	entailment	true	entailment
But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree who should work in the cotton field and who should mop the floors.	neutral	neither	neutral
I mean they only had, like, they had five children, one of them died.	All of their children survived.	contradiction	false	contradiction
I mean they only had, like, they had five children, one of them died.	One child died out of the five.	entailment	true	entailment
I mean they only had, like, they had five children, one of them died.	The child who died was born sickly.	neutral	true	entailment
She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	As she told him to come up the porch she had tears in her eyes.	entailment	true	entailment
She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She quickly wiped away the tears after flinging Joe off the porch.	contradiction	true	entailment
She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She was so happy to see Joe that she started to cry.	neutral	false	contradiction
Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation can be contained during a fire as well.	neutral	true. radiation can be contained during a fire if proper safety measures and containment systems are in place.	entailment
Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would leak out from a lead component after the aircraft burned.	entailment	false. radiation would not leak out from a lead component, as lead is a dense material that is commonly used to shield against radiation.	contradiction
Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would not leak out during a fire.	contradiction	false. radiation can potentially leak out during a fire if the lead component containing it melts.	contradiction
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief is retired from the US Air Force.	entailment	true	entailment
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief just recently retired a few weeks ago.	neutral	true	entailment
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The US Air Force Chief just started his career this week.	contradiction	false.	contradiction
Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	More than one aircraft arrive every week.	entailment	true	entailment
Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	The increased aircraft traffic is troublesome.	neutral	true	entailment
Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	There are never any aircraft arriving.	contradiction	false	contradiction
They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	It takes up to three months to complete training on the use of a full pressure suit.	neutral	true	entailment
They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	Training to use a full pressure suit takes time.	entailment	true	entailment
They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	We could have you trained to use a full pressure suit by the end of the day.	contradiction	true	entailment
I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	The bomb had been deactivated by the pilot.	neutral	true	entailment
I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	The bomb had no chance of exploding.	entailment	true	entailment
I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	There was a great danger of the bomb exploding.	contradiction	false	contradiction
And how about it looks like exactly what I'm trying to do.	I'm not sure what this looks like to you.	contradiction	neither	neutral
And how about it looks like exactly what I'm trying to do.	I'm trying to do this, obviously.	entailment	true	entailment
And how about it looks like exactly what I'm trying to do.	I'm trying to finish my project in the next week.	neutral	true	entailment
But anyway, the animals would get loose all the time, especially the goats.	The goats escaped from the barn every day.	neutral	true	entailment
But anyway, the animals would get loose all the time, especially the goats.	The goats escaped often.	entailment	true	entailment
But anyway, the animals would get loose all the time, especially the goats.	The goats were kept safe and secure.	contradiction	false	contradiction
The doors were locked when we went in.	All of the doors were open.	contradiction	false	contradiction
The doors were locked when we went in.	We had the keys with us.	neutral	true	entailment
The doors were locked when we went in.	We went in even though the doors were locked.	entailment	false	contradiction
So I just had to take the totals and try and figure it like that.	I feel confident that the totals are all I need to get this figured out.	neutral	true	entailment
So I just had to take the totals and try and figure it like that.	I have no clue what to do with just the totals please give me more details to figure out this mess.	contradiction	without more specific information or context, it is impossible to determine whether the statement is true, false, or neither. additional details or clarification would be needed in order to provide a more accurate response.	unknown
So I just had to take the totals and try and figure it like that.	I will calculate it based off of the totals.	entailment	true	entailment
and that's a lot of it is due to the fact that the mothers are on drugs	The mothers are drug addicts.	neutral	true	entailment
and that's a lot of it is due to the fact that the mothers are on drugs	The mothers aren't on any prescriptions or drugs.	contradiction	false	contradiction
and that's a lot of it is due to the fact that the mothers are on drugs	The mothers take drugs.	entailment	true	entailment
yeah it's real nice has it been raining	I do not mind the rain.	neutral	neither	neutral
yeah it's real nice has it been raining	It is nice and rainy.	entailment	true	entailment
yeah it's real nice has it been raining	It is so horrible with the never ending sunshine.	contradiction	false	contradiction
oh what human life is worth and whether or not you can rehabilitate somebody	All lives are worth rehab and second chances.	neutral	true	entailment
oh what human life is worth and whether or not you can rehabilitate somebody	No humans deserve to be rehabilitated.	contradiction	false. all humans have the potential for rehabilitation and deserve the opportunity to change and improve themselves.	contradiction
oh what human life is worth and whether or not you can rehabilitate somebody	Regardless of rehabilitation what life is worth it.	entailment	true. every human life has inherent value and worth, regardless of whether or not they can be rehabilitated.	entailment
oh boy you do have a strange wiring problem there	I've never seen this kind of wiring problem before.	neutral	true	entailment
oh boy you do have a strange wiring problem there	The wiring isn't the issue.	contradiction	false	contradiction
oh boy you do have a strange wiring problem there	There's a problem caused by this odd wiring.	entailment	true	entailment
sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm not at all surprised that they were leinient.	contradiction	true	entailment
sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm surprised that they let you take food and drinks in there.	neutral	true	entailment
sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm surprised what they could get away with.	entailment	true	entailment
oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I do not need to because my children are over the age of twenty.	entailment	true	entailment
oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I might have to since they are close in age.	neutral	false	contradiction
oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I must since they are both ten and eleven years old.	contradiction	false	contradiction
yeah people who who could be at work at any time or whose decisions could be clouded if they had to make a decision	Yeah, people who might not be able to make the best judgment calls.	entailment	true	entailment
yeah people who who could be at work at any time or whose decisions could be clouded if they had to make a decision	Yeah, people who might not be hungry.	neutral	neither	neutral
yeah people who who could be at work at any time or whose decisions could be clouded if they had to make a decision	Yeah, people whose decision faculties are never impaired.	contradiction	true	entailment
no they're still they're still on tour they've been touring since late sixties	They have been touring since before 1970.	entailment	true	entailment
no they're still they're still on tour they've been touring since late sixties	They love touring.	neutral	true	entailment
no they're still they're still on tour they've been touring since late sixties	They recently ended their tour.	contradiction	false	contradiction
how would you do aerobics	Can you explain how you'd perform aerobics?	entailment	true	entailment
how would you do aerobics	I'm interested in aerobics because I need some cardiovascular activity.	neutral	true	entailment
how would you do aerobics	Please stop talking about aerobics.	contradiction	true	entailment
well that's a good one i hadn't thought about that yeah	That's a dumb idea I discarded last week.	contradiction	false	contradiction
well that's a good one i hadn't thought about that yeah	That's a good point.	entailment	true	entailment
well that's a good one i hadn't thought about that yeah	The paradox you mention is a good point.	neutral	true	entailment
day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	The day care is open every day for children under the age of five only.	contradiction	false	contradiction
day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	They do let them go more than twice a week if the senior citizens are up to it.	neutral	true	entailment
day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	They refer to it as a senior day care but it is called the senior center.	entailment	true	entailment
that was their goal oh	That is what they had been striving for.	entailment	true	entailment
that was their goal oh	That was never what they wanted.	contradiction	false	contradiction
that was their goal oh	They achieved their goal.	neutral	true	entailment
gun control means using two hands	Half of all gun misfires result from single-hand use.	neutral	true	entailment
gun control means using two hands	The best way forward for gun control is to use both feet.	contradiction	false	contradiction
gun control means using two hands	Use both hands if you want to practice gun control.	entailment	true	entailment
and uh but it suddenly comes from somewhere i don't know where it comes from but	I do not know where it comes from but it is swift.	entailment	true	entailment
and uh but it suddenly comes from somewhere i don't know where it comes from but	It comes by fast but I kinda know where it may be coming from.	neutral	false	contradiction
and uh but it suddenly comes from somewhere i don't know where it comes from but	It comes like molasses and I know exactly when it will be coming.	contradiction	false	contradiction
no in fact i'm not even familiar with it i don't think	I don't know much about it.	entailment	true	entailment
no in fact i'm not even familiar with it i don't think	I'm ignorant in matters of love.	neutral	true	entailment
no in fact i'm not even familiar with it i don't think	I've been studying it for years.	contradiction	false	contradiction
yeah she was great you know she	I think she knows that she was awesome.	neutral	true	entailment
yeah she was great you know she	No she was horrible.	contradiction	false	contradiction
yeah she was great you know she	Yes she was very good.	entailment	true	entailment
yeah he suggested just getting uh um a uh um a mop like you would use	He suggested buying a vacuum.	contradiction	false	contradiction
yeah he suggested just getting uh um a uh um a mop like you would use	He suggested finding a mop.	entailment	true	entailment
yeah he suggested just getting uh um a uh um a mop like you would use	He wanted to clean up the blood with a mop.	neutral	true	entailment
its really bad out here we just had a freeway shooting about three blocks from our house	The shooting was at least 100 miles from where I live.	contradiction	false	contradiction
its really bad out here we just had a freeway shooting about three blocks from our house	The shooting was close to my house and it makes me scared to go outside.	neutral	true	entailment
its really bad out here we just had a freeway shooting about three blocks from our house	There was a shooting close to my home, it is really not good in this area.	entailment	true	entailment
uh-huh that's true it is it's not really uh consistent	I disagree with you, it is very consistent.	contradiction	false	contradiction
uh-huh that's true it is it's not really uh consistent	I think you may be correct about its consistency.	neutral	true	entailment
uh-huh that's true it is it's not really uh consistent	You are correct about it not be consistent.	entailment	true	entailment
i'm trying to hang in there	I am attempting to hang on.	entailment	true	entailment
i'm trying to hang in there	I really am doing my best.	neutral	true	entailment
i'm trying to hang in there	I will let go and never look back.	contradiction	false	contradiction
We gate our entry into the technological future.	We are building the precursors necessary for a technology future.	entailment	true	entailment
We gate our entry into the technological future.	We build transistors, so our future will be run by AI.	neutral	false. while transistors are a crucial component in building ai technology, the development and implementation of ai is a complex process that involves many other factors beyond just transistors. additionally, the future being run by ai is not a certainty and depends on various societal, ethical, and regulatory considerations.	contradiction
We gate our entry into the technological future.	We want to prevent technology from succeeding.	contradiction	true.	entailment
For example, at a maximum, all the genes turn purple.	At a maximum, only half of the genes can turn purple.	contradiction	true	entailment
For example, at a maximum, all the genes turn purple.	It's possible for the genes to switch color.	entailment	true	entailment
For example, at a maximum, all the genes turn purple.	Sometimes the genes can turn blue too.	neutral	true	entailment
Daniel Yamins is a brilliant young mathematician.	Mr. Yamins is great at math.	entailment	true	entailment
Daniel Yamins is a brilliant young mathematician.	Mr. Yamins's focus is algebraic geometry.	neutral	false. daniel yamins is actually a neuroscientist and computer scientist, not a mathematician.	contradiction
Daniel Yamins is a brilliant young mathematician.	Mr. Yamins's is a great artist, but a terrible mathematician.	contradiction	false	contradiction
And if so, are they often near that boundary?	I know they never travel near the boundary.	contradiction	false	contradiction
And if so, are they often near that boundary?	I want to know, are they often in England?	neutral	true	entailment
And if so, are they often near that boundary?	The speaker wanted clarification about how often they went near the boundary.	entailment	neither	neutral
And there is, I think, a molecular clue that the biosphere is persistently coconstructing itself in the survivable regime for a propagating set of lineages.	The biosphere changes a lot.	entailment	true	entailment
And there is, I think, a molecular clue that the biosphere is persistently coconstructing itself in the survivable regime for a propagating set of lineages.	The biosphere changes according to the temperature.	neutral	true	entailment
And there is, I think, a molecular clue that the biosphere is persistently coconstructing itself in the survivable regime for a propagating set of lineages.	The biosphere never changes.	contradiction	false. the biosphere is constantly changing and evolving as organisms interact with each other and their environment.	contradiction
With that leap, a regular crystal cannot encode much  information.	Regular crystals are a very high density information storage medium.	contradiction	false. regular crystals are not typically used as an information storage medium due to their limited capacity for encoding information.	contradiction
With that leap, a regular crystal cannot encode much  information.	Regular crystals are not very useful for encoding information.	entailment	true	entailment
With that leap, a regular crystal cannot encode much  information.	There are other kinds of crystals that are very useful for encoding geographic information using laser beams.	neutral	true	entailment
Consequently, adults do not need to  tutor  preschoolers in pretending, as they sometimes do when helping them master puzzles or other similar tasks.	Preschoolers are naturally better at puzzle solving than at playing pretend games.	contradiction	false. preschoolers are naturally better at playing pretend games than at puzzle solving.	contradiction
Consequently, adults do not need to  tutor  preschoolers in pretending, as they sometimes do when helping them master puzzles or other similar tasks.	Preschoolers do not need as much help learning how to pretend.	entailment	true	entailment
Consequently, adults do not need to  tutor  preschoolers in pretending, as they sometimes do when helping them master puzzles or other similar tasks.	Preschoolers lack the necessary spatial modeling skills to master puzzles on their own.	neutral	false. preschoolers may lack the necessary spatial modeling skills to master puzzles on their own, but they can still benefit from adult guidance and support in developing these skills.	contradiction
[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.	Notes about this proposition were recorded in several additional documents.	neutral	true.	entailment
[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.	Some people believed that all people are equal.	entailment	true	entailment
[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.	This nation was founded on the belief that some people are inherently better than others.	contradiction	false. this nation was founded on the belief that all men are created equal.	contradiction
Should I be praising him more?	I'm pretty sure I need to beat him for his failures.	contradiction	false. it is not productive or effective to beat someone for their failures. it is important to provide constructive feedback and support in order to help them improve and succeed. praise and encouragement can also be beneficial in boosting morale and motivation.	contradiction
Should I be praising him more?	I'm wondering if he needs more appreciation from me.	entailment	true	entailment
Should I be praising him more?	Should I be praising him more for his piano performance?	neutral	true	entailment
Spin network theories can be constructed in dierent dimensions.	Other dimensions can be used to construct spin network theories.	entailment	true. spin network theories can be constructed in various dimensions, not just in the usual three spatial dimensions. they can also be formulated in higher dimensions, such as four-dimensional spacetime or even more abstract mathematical spaces.	entailment
Spin network theories can be constructed in dierent dimensions.	Spin networks are very useful for data storage technologies.	neutral	neither. spin networks are primarily used in the field of quantum gravity and are not typically used for data storage technologies.	neutral
Spin network theories can be constructed in dierent dimensions.	Spin networks cannot be imagined in different dimensions.	contradiction	false. spin network theories can be constructed in different dimensions, but they may be more difficult to imagine or visualize in higher dimensions.	contradiction
(frantically)  No, no, I don't want you to die!	I do not want you to die!	entailment	true	entailment
(frantically)  No, no, I don't want you to die!	I don't care if you die!	contradiction	false	contradiction
(frantically)  No, no, I don't want you to die!	I'd be very upset if you died!	neutral	true	entailment
He was publicly hanged on March 19, 1875, in San Jose, California.	California was performing public executions as late as 1875.	entailment	true	entailment
He was publicly hanged on March 19, 1875, in San Jose, California.	He was acquitted of all wrong doing and sent on his way.	contradiction	false.	contradiction
He was publicly hanged on March 19, 1875, in San Jose, California.	He was hanged for sedition and horse thievery.	neutral	false. he was hanged for murder.	contradiction
In the chaotic regime, the twinkling green sea percolates.	The sea was deep blue and smooth as glass.	contradiction	false	contradiction
In the chaotic regime, the twinkling green sea percolates.	The sea was filled with small fish that splashed against the boat.	neutral	true	entailment
In the chaotic regime, the twinkling green sea percolates.	The sea was green and appeared to bubble.	entailment	true	entailment
An entirely new legal order was yearning to work its way clear from the turmoil of the 1860s.	By the 1870s all legal order had collapsed and the country was in complete anarchy.	contradiction	false	contradiction
An entirely new legal order was yearning to work its way clear from the turmoil of the 1860s.	The 1860s were a tumultuous time.	entailment	true	entailment
An entirely new legal order was yearning to work its way clear from the turmoil of the 1860s.	The new legal order wished to expand labor rights.	neutral	true.	entailment
Any higher form of thinking, he pointed out,  rst appears in social communication, between the child and representatives of his or her culture as they engage in a joint activity.	Children are incapable of sharing higher forms of thinking.	contradiction	false	contradiction
Any higher form of thinking, he pointed out,  rst appears in social communication, between the child and representatives of his or her culture as they engage in a joint activity.	Fishing is one popular activity shared among many different cultures.	neutral	true	entailment
Any higher form of thinking, he pointed out,  rst appears in social communication, between the child and representatives of his or her culture as they engage in a joint activity.	Sharing common activities is sometimes helpful for sharing higher forms of thinking.	entailment	true	entailment
Some neighborhoods had rezadores or rezadoras, spiritual leaders who led the community in prayer for funerals, saints' day celebrations and whenever the priest was unavailable.	None of the neighborhoods had spiritual leaders who weren't priests.	contradiction	false	contradiction
Some neighborhoods had rezadores or rezadoras, spiritual leaders who led the community in prayer for funerals, saints' day celebrations and whenever the priest was unavailable.	Some neighborhoods had spiritual leaders who weren't priests.	entailment	true	entailment
Some neighborhoods had rezadores or rezadoras, spiritual leaders who led the community in prayer for funerals, saints' day celebrations and whenever the priest was unavailable.	Some of the spiritual leaders had black hair.	neutral	neither. the description of the spiritual leaders does not mention anything about their hair color.	neutral
In sociodramatic play as well, opportunities to act out and coordinate various roles probably help children grasp similarities and differences between people in desires, beliefs, and feelings.	Children can learn how people are similar and different.	entailment	true	entailment
In sociodramatic play as well, opportunities to act out and coordinate various roles probably help children grasp similarities and differences between people in desires, beliefs, and feelings.	Children can see how different races are different.	neutral	false. children can see how people of different races may have different physical characteristics, but it is important to teach them that people of all races are more similar than they are different in terms of desires, beliefs, and feelings.	contradiction
In sociodramatic play as well, opportunities to act out and coordinate various roles probably help children grasp similarities and differences between people in desires, beliefs, and feelings.	Children can't learn anything.	contradiction	false. children can learn a lot through sociodramatic play, including understanding similarities and differences between people.	contradiction
The highest virtue of the postwar German constitutional order, then, was precisely the greatest casualty of the Nazi regime.	The Nazi regime allowed it.	contradiction	false. the nazi regime did not allow the highest virtue of the postwar german constitutional order, as it was characterized by totalitarianism, oppression, and the violation of human rights.	contradiction
The highest virtue of the postwar German constitutional order, then, was precisely the greatest casualty of the Nazi regime.	The Nazi regime killed everyone involved.	neutral	false. the statement is referring to the virtue of democracy, which was a casualty of the nazi regime, not the physical killing of everyone involved.	contradiction
The highest virtue of the postwar German constitutional order, then, was precisely the greatest casualty of the Nazi regime.	The Nazi regime stopped it.	entailment	true	entailment
Sonja the  child  began to mimic her daughter's tantrums.	Nobody was having a tantrum.	contradiction	false	contradiction
Sonja the  child  began to mimic her daughter's tantrums.	Sonja is a child.	entailment	false	contradiction
Sonja the  child  began to mimic her daughter's tantrums.	Sonja was upset.	neutral	false	contradiction
6 In the fifty-five years leading up to the Civil War, the Court used this power sparingly.	The Court occasionally used this power in the decades leading up to the Civil War.	entailment	true	entailment
6 In the fifty-five years leading up to the Civil War, the Court used this power sparingly.	The Court used this power 4 times in the fifty-five years leading up to the Civil War.	neutral	true	entailment
6 In the fifty-five years leading up to the Civil War, the Court used this power sparingly.	The Court used this power 5 million times in the fifty-five years leading up to the Civil War.	contradiction	false	contradiction
I assure you, sir, that I was fully informed of all.	I am telling you that I was given knowledge about everything.	entailment	true	entailment
I assure you, sir, that I was fully informed of all.	It is the detective's death that I was informed about.	neutral	true	entailment
I assure you, sir, that I was fully informed of all.	There are many details that were hidden from me.	contradiction	false	contradiction
The sounds disturbed Captain Blood from his disgruntled musings.	Captain Blood was able to think his disgruntled thoughts without interruption.	contradiction	false	contradiction
The sounds disturbed Captain Blood from his disgruntled musings.	Captain Blood's thoughts were broken by some noises.	entailment	true	entailment
The sounds disturbed Captain Blood from his disgruntled musings.	The puppy's screams jolted the captain from his ruminations.	neutral	true	entailment
But I can't forget that when I was no better than a slave in your uncle's household in Barbados, ye used me with a certain kindness.	You treated me kindly when I was a slave in Barbados.	entailment	true	entailment
But I can't forget that when I was no better than a slave in your uncle's household in Barbados, ye used me with a certain kindness.	You were incredibly cruel to me, and treated me worse than dirt.	contradiction	false.	contradiction
But I can't forget that when I was no better than a slave in your uncle's household in Barbados, ye used me with a certain kindness.	Your uncle beat me hard everyday when he owned me.	neutral	true	entailment
There, not more than three miles away, was land--an uneven wall of vivid green that filled the western horizon.	A lush landscape was within sight.	entailment	true	entailment
There, not more than three miles away, was land--an uneven wall of vivid green that filled the western horizon.	The island they were approaching was uninhabited.	neutral	neither. the passage does not provide enough information to determine if the island they were approaching was uninhabited.	neutral
There, not more than three miles away, was land--an uneven wall of vivid green that filled the western horizon.	They could not see any land for miles, only unending ocean.	contradiction	false	contradiction
I am His Majesty's envoy to these barbarous parts, and my Lord Sunderland's near kinsman.	His Majesty has envoys, and I am one of them.	entailment	true	entailment
I am His Majesty's envoy to these barbarous parts, and my Lord Sunderland's near kinsman.	His Majesty sent me here about a week ago.	neutral	true	entailment
I am His Majesty's envoy to these barbarous parts, and my Lord Sunderland's near kinsman.	I do not take orders from His Majesty.	contradiction	false	contradiction
I owed it to you--or thought I did,  he said.	He never thought he owed you anything.	contradiction	false	contradiction
I owed it to you--or thought I did,  he said.	He owed you for the help you gave him as a penniless beggar.	neutral	true.	entailment
I owed it to you--or thought I did,  he said.	He thought he owed you something.	entailment	true	entailment
I should have known better than to come so close to Jamaica by night.	I traveled near to Jamaica after the sun had set.	entailment	true	entailment
I should have known better than to come so close to Jamaica by night.	I traveled to Jamaica in a large boat.	neutral	true	entailment
I should have known better than to come so close to Jamaica by night.	My wife and I arrived in Jamaica in broad daylight.	contradiction	true	entailment
Blood's thoughts were upon this and other things as he lounged there on the day-bed.	Blood slept a thoughtless dream on his day-bed.	contradiction	false	contradiction
Blood's thoughts were upon this and other things as he lounged there on the day-bed.	Blood was ruminating while lying down.	entailment	true	entailment
Blood's thoughts were upon this and other things as he lounged there on the day-bed.	Blood was thinking hard about the last time he saw his mother.	neutral	true	entailment
Sure, then, I'll be telling ye.	Alright then, I will tell you about it.	entailment	true	entailment
Sure, then, I'll be telling ye.	I will not say a word to you.	contradiction	false	contradiction
Sure, then, I'll be telling ye.	It is only because you promised not to repeat this that I am telling you.	neutral	true	entailment
Ah! And what way may that be?	Someone is asking which way to go.	entailment	neither	neutral
Ah! And what way may that be?	The questioner is alone and has no one around to confer with.	contradiction	true	entailment
Ah! And what way may that be?	The questioner is in a hurry and needs to know immediately the route to take.	neutral	true	entailment
I do not grant the King's commission lightly.	Granting the King's commission goes against my morals.	neutral	true	entailment
I do not grant the King's commission lightly.	I have given hard thought to the King's commission.	entailment	true	entailment
I do not grant the King's commission lightly.	I signed the warrant to grant the King's commission without a second thought.	contradiction	false	contradiction
He realized that he might have to retreat in a hurry.	He realized that he had all day to retreat.	contradiction	false	contradiction
He realized that he might have to retreat in a hurry.	He realized that he had to make a quick move.	entailment	true	entailment
He realized that he might have to retreat in a hurry.	If he stayed in the same place, he would be discovered.	neutral	true	entailment
And yet he has been what he has been and done what he has done in these last three years,  said she, but she said it sorrowfully now, without any of her earlier scorn.	She did not like that he had murdered many men in the past three years.	neutral	true	entailment
And yet he has been what he has been and done what he has done in these last three years,  said she, but she said it sorrowfully now, without any of her earlier scorn.	She spoke happily of his adventures and his personality.	contradiction	false.	contradiction
And yet he has been what he has been and done what he has done in these last three years,  said she, but she said it sorrowfully now, without any of her earlier scorn.	She spoke in sad tones.	entailment	true	entailment
I suppose that is after the fashion of your kind.	I assume that this is what your kind do.	entailment	true	entailment
I suppose that is after the fashion of your kind.	I have read about your kind, and their culture.	neutral	true	entailment
I suppose that is after the fashion of your kind.	I take it that this is not common among your kind.	contradiction	true	entailment
A frown rumpled her brow.	A huge grin was spread on her face.	contradiction	false	contradiction
A frown rumpled her brow.	She felt a sickening feeling in her stomach.	neutral	true	entailment
A frown rumpled her brow.	There was a frown on her face.	entailment	true	entailment
She had been observing him with shining eyes, but at sight of his dejected countenance, and the deep frown that scarred his brow, her own expression changed.	Her expression changed after she saw his face.	entailment	true	entailment
She had been observing him with shining eyes, but at sight of his dejected countenance, and the deep frown that scarred his brow, her own expression changed.	Her face lit up when she saw the frown on his face.	contradiction	false	contradiction
She had been observing him with shining eyes, but at sight of his dejected countenance, and the deep frown that scarred his brow, her own expression changed.	She did not know if he was angry at her.	neutral	neither	neutral
Walking leisurely, he skirted the embattled wall, and passed through the great gates into the courtyard.	Since the great gates were locked, he jumped over the fence, into the courtyard.	contradiction	true	entailment
Walking leisurely, he skirted the embattled wall, and passed through the great gates into the courtyard.	The great gates were the only entrance to the courtyard.	neutral	false.	contradiction
Walking leisurely, he skirted the embattled wall, and passed through the great gates into the courtyard.	There were big gates that led into the courtyard.	entailment	true	entailment
You'll ruffle it to the gallows, no doubt,  he said contemptuously.	He thought someone would be going to the gallows.	entailment	false. the speaker is using a metaphorical expression to convey his contempt or disdain for the person he is speaking to. it does not necessarily mean that he actually believes someone will be going to the gallows.	contradiction
You'll ruffle it to the gallows, no doubt,  he said contemptuously.	He was a sheriff who had captured a thief.	neutral	true	entailment
You'll ruffle it to the gallows, no doubt,  he said contemptuously.	He whispered a way to escape the country in order to avoid jail.	contradiction	false	contradiction
How could I in honesty have detained them? It was in the bargain.	I could not bring myself to detain them.	entailment	true	entailment
How could I in honesty have detained them? It was in the bargain.	I detained them as soon as I saw them.	contradiction	true	entailment
How could I in honesty have detained them? It was in the bargain.	I would not have forgiven myself, if I had detained them.	neutral	true	entailment
I've been hunting him this year past.	I have been following him closely for a year without him knowing.	neutral	true	entailment
I've been hunting him this year past.	I have only been following him for close to a week.	contradiction	false	contradiction
I've been hunting him this year past.	Over the course of the past year I have been stalking him.	entailment	true	entailment
The museum is not strong on catalogues or labels	The museum does not like being labelled.	neutral	neither	neutral
The museum is not strong on catalogues or labels	The museum is not a fan of brochures.	entailment	neither	neutral
The museum is not strong on catalogues or labels	The strong point of the museum is the catalogues.	contradiction	false	contradiction
These open-air markets are also the most interesting places to shop in Beijing.	Beijing has open-air markets that include very interesting shops.	entailment	true	entailment
