premise	hypothesis	label	opus	prompt	verbalized
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif manneen barnootaa akka geeddare hin beeku.	neutral	"[textblock(text='neither.\n\nsababni isaa, gaaffiin ""maaliif manneen barnootaa akka geeddare hin beeku."" jedhu gaaffii kanaaf hin deebisu. gaaffiin kun waa\'ee kanaafuu maaliif akka ta\'e kan gaafatu osoo hin taane, waa\'ee manneen barnootaa maaliif akka inni geeddare kan gaafatu dha. kanaafuu, gaaffii fi deebiin wal hin simu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Maaliif manneen barnootaa akka geeddare hin beeku. True, False, or Neither?\nAnswer:""}]}]"	neutral
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif sun akka ta'e hin beeku.	entailment	"[textblock(text='true.\n\nsababni isaa, gaaffii keessatti ""kanaafuu ani dhuguma maaliif akka ta\'e hin beeku."" jedha. kana jechuun namni gaafatame sun sababii dhugaa waan tokko ta\'eef hin beeku jechuudha. deebiin ""true"" kan ta\'eef, gaaffii fi deebiin wal simataniiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Maaliif sun akka ta'e hin beeku. True, False, or Neither?\nAnswer:""}]}]"	entailment
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle.	neutral	"[textblock(text='deebiin gaaffii kanaaf ""true"" dha. sababni isaas:\n\ngaaffii keessatti, ""ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jechuun ibsameera. itti fufuudhaan immoo gaaffiin ""qorannoo kanaaf to\'ataa kan banu ana qofa ta\'uun natti hin tolle"" kan jedhu ka\'eera. \n\nkanaafuu, namni gaaffii kana gaafate qorannoo kana kophaa isaa gaggeessuuf fedhii kan hin qabne ta\'uu agarsiisa. innis qorannoo akkasii gaggeessuuf namoota biroo gargaarsa akka barbaadu mul\'isa. \n\nwaan ta\'eefuu, ""qorannoo kanaaf to\'ataa kan banu ana qofa ta\'uun natti hin tolle"" jechuun deebii ""true"" ta\'a. namni kun qorannoo kana kophaa isaa gaggeessuuf kan hin barbaanne ta\'uu isaa ibsa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle. True, False, or Neither?\nAnswer:""}]}]"	entailment
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru.	entailment	"[textblock(text='deebiin ""true"" dha. keeyyanni ""ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jedhu qorannoon gola olka\'iinsa xiqqaa qabu keessatti raawwatamaa akka ture agarsiisa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru. True, False, or Neither?\nAnswer:""}]}]"	entailment
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banan muraasa keenya turre.	contradiction	"[textblock(text='deebiin gaaffii kanaaf ""neither"" ta\'a. sababni isaas:\n\nyaadni gaaffii keessatti dhiyaate ""qorannoo kanaaf to\'ataa kan banan muraasa keenya turre"" kan jedhu ragaa gahaa hin qabu. keeyyanni ""ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" kan jedhu waa\'ee namoota biroo kan hin ibsine yoo ta\'u, garuu ofii kee qofa ilaallata. \n\nkanaafuu deebiin sirrii ta\'e ""true"" ykn ""false"" ta\'uu hin dandeenye, sababni isaas ragaan gahaan hin jiru. deebiin ""neither"" filachuun ni danda\'ama, sababni isaas yaada ibsame keessatti ragaa gahaa waan hin jirreef deebii ""true"" ykn ""false"" kennuuf hin danda\'amu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoo kanaaf to'ataa kan banan muraasa keenya turre. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Ammas hanga har'aatti hojjechaan jira.	contradiction	"[textblock(text='deebiin gaaffii kanaaf ""neither"" ta\'a. sababni isaas, keeyyanni kenname waa\'ee saajin hojjechaa jiraachuu ykn hojjechaa hin jiru kan ibsu miti. keeyyanni kun waa\'ee saajin soorama ba\'uu qofa ibsa malee amma hojjechaa jiraachuu isaa hin ibsu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Ammas hanga har'aatti hojjechaan jira. True, False, or Neither?\nAnswer:""}]}]"	neutral
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Bara 2002 soorama nan ba'e.	neutral	"[textblock(text='deebiin gaaffii kanaaf ""neither"" ta\'a. sababni isaas, waa\'ee bara 2002 soorama ba\'uu kee odeeffannoo gahaa hin kennamneef. dubbiin ""ani ah, hoogganaa olaanaa saajin, soorama ba\'eera, akkuma rick jedhe"" jedhu bara meeqa akka ta\'e hin ibsu. kanaafuu deebii ""true"" ykn ""false"" kennuuf ragaan gahaan hin jiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Bara 2002 soorama nan ba'e. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Riik soorama akkan ba'e sitti himeera.	entailment	"[textblock(text=""true.\n\nriik akka soorama ba'e sitti himeera jedha dubbiin armaan olii."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Riik soorama akkan ba'e sitti himeera. True, False, or Neither?\nAnswer:""}]}]"	entailment
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta.	neutral	"[textblock(text='neither.\n\nsababni isaas, dubbisni armaan olii tilmaama dhangala\'aa maallaqaa cutty jedhamuun ji\'atti galchuu danda\'u kan ibsu ta\'us, hanga maallaqaa murtaa\'aa kan akka doolara 10,000 hin ibsine. kanaafuu deebiin ""true"" ykn ""false"" ta\'uu hin dandeenye, odeeffannoon ga\'aan waan hin jirreef.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu jira.	entailment	"[textblock(text='true. keeyyanni armaan olii ""maqaan maamilaa kanuma cutty dha"" jedha waan ta\'eef, maamilli cutty jedhamu akka jiru agarsiisa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Maamilli Cutty jedhamu jira. True, False, or Neither?\nAnswer:""}]}]"	entailment
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu.	contradiction	"[textblock(text='neither. dubbiin kenname odeeffannoo gahaa kan maamila cutty jedhamee waamamu yoo jiraate ykn hin jirre murteessuuf hin kennu. maqaan ""cutty"" akka maqaa maamila tokkoo caqafames, garuu yoo dhugumatti maamilli akkasii jiraachuu isaa mirkaneessuuf ragaan gahaan hin jiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu. True, False, or Neither?\nAnswer:""}]}]"	neutral
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti.	entailment	"[textblock(text='true.\n\nkeeyyanni ""intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti."" jedhu irraa intalli gargaarsa irraa barbaaddan kun fageenya dheeraa irra akka jiraattu ibsa. sababni isaas:\n\n1. intalli kun ""magaalaa gara gama biraatti"" jiraatti jechuun fageenya dheeraa irra akka jirtu agarsiisa. \n\n2. ""qaxxaamurteetti"" jechuun intalli kun magaalaa biraa gara magaalaa biraatti akka deemte ibsa. kunis fageenya dheeraa akka deemte mul\'isa.\n\nkanaafuu, keeyyata kana irraa intalli gargaarsa irraa barbaaddan fageenya dheeraa irra akka jiraattu sirriitti hubatama. deebiin ""true"" ta\'a.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti. True, False, or Neither?\nAnswer:'}]}]	entailment
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti.	neutral	"[textblock(text='neither.\n\nsababni isaas, deebiin gaaffii kanaaf kennamu odeeffannoo kennamerraa hin argamu. odeeffannoon kennamerratti intalli gargaarsa gochuuf deemtu fageenya maayilii 5 akka taate hin ibsamu. kanaafuu, deebiin ""true"" ykn ""false"" ta\'uu isaa murteessuun hin danda\'amu.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti. True, False, or Neither?\nAnswer:'}]}]	contradiction
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Namni na gargaaruu danda'u tokkoyyu hin jiru.	contradiction	"[textblock(text='neither.\n\nkeeyyanni ""intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti"" jedhu waa\'ee namni si gargaaruu danda\'u jiraachuu ykn dhabuu ibsa ifa ta\'e hin kennu. keeyyanni kun waa\'ee intalli tokko si gargaaruu akka dandeessu ibsa malee namni biraa si gargaaruu danda\'u jiraachuu ykn dhabuu irratti waan ifa ta\'e hin ibsu. kanaaf, keeyyata kana irraa ""namni na gargaaruu danda\'u tokkoyyu hin jiru"" jechuun sirrii ykn dogoggora ta\'uu murteessuun hin danda\'amu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Namni na gargaaruu danda'u tokkoyyu hin jiru. True, False, or Neither?\nAnswer:""}]}]"	neutral
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan.	contradiction	"[textblock(text=""neither.\n\nkeeyyanni hin ibsu namoonni hundinuu maasii irratti akka hojjetan walii akka galan. keeyyanni waa'ee namoota gosa addaa ta'an akka hojii addaa hojjetanii fi gahee addaa qaban dubbata. garuu waa'ee waliigaltee hojii maasii irratti hin dubbatu. kanaaf deebiin 'neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan. True, False, or Neither?\nAnswer:""}]}]"	neutral
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye.	entailment	"[textblock(text='true.\n\nkeeyyata kenname keessatti, ""garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha. kana jechuun waa\'ee eenyu hojjetaa maasii akka ta\'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye jechuudha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye. True, False, or Neither?\nAnswer:""}]}]"	entailment
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye.	neutral	"[textblock(text='true.\n\nkeeyyata kana keessatti, ""garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha. kana jechuun waa\'ee hojii maasii fi hojii manaa eenyutu hojjechuu akka qabu irratti waliigaluu hin dandeenye jechuudha. kanaafuu deebiin ""true"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye. True, False, or Neither?\nAnswer:""}]}]"	entailment
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Ijoolleen isaanii hundi lubbuun hafan.	contradiction	"[textblock(text=""false.\n\nsababni isaas, dubbiin armaan olii akka ibsutti, ijoollee shan keessaa tokko du'eera. kanaafuu, ijoolleen isaanii hundi lubbuun hin jiran. tokko isaanii du'uu isaa dubbiin armaan olii ifatti ibseera."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Ijoolleen isaanii hundi lubbuun hafan. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Shanan keessaa daa'imni tokko du'eera.	entailment	"[textblock(text='true.\n\nyaadni armaan olii akka ibsutti, namni kun ijoollee shan qaba ture, isaan keessaa tokko du\'eera. kanaafuu, ""shanan keessaa daa\'imni tokko du\'eera"" jechuun deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Shanan keessaa daa'imni tokko du'eera. True, False, or Neither?\nAnswer:""}]}]"	entailment
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Mucaan du'e dhukkubsataa isaatu dhalate.	neutral	"[textblock(text='neither.\n\nsababni isaas, yaanni kenname odeeffannoo gahaa hin qabu kan mucaan du\'e dhukkubsataa isaatu dhalate moo miti kan jedhu ibsuuf. odeeffannoon kenname mucaan tokko du\'uu isaa qofa ibsa malee sababni du\'aa isaa maal akka ta\'e hin ibsu. kanaafuu, deebiin ""true"" ykn ""false"" kennuuf odeeffannoo gahaa hin qabnuu jechuudha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Mucaan du'e dhukkubsataa isaatu dhalate. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.	Akkuma barandaa ol ba'uu itti himtu imimmaan ija ishee irraa calalaan.	entailment	"[textblock(text=""neither.\n\nsababni isaas:\ndubbiin kun imimmaan ija ishee irraa gadi dhufaa akka turan dubbata. garuu imimmaan ija ishee irraa calalaan akka gadi dhufan hin ibsu. kana malees, imimmaan erga gadi dhufe booda barandaa ol akka ba'e dubbata malee imimmaan barandaa ol ba'uu itti akka calalaa hin ibsu. kanaaf deebiin 'neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.\nQuestion: Akkuma barandaa ol ba'uu itti himtu imimmaan ija ishee irraa calalaan. True, False, or Neither?\nAnswer:""}]}]"	neutral
Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.	Joo barandaa irraa erga buuftee booda daftee imimmaan ishee haxaa'atte.	contradiction	"[textblock(text=""neither. dubbiin kenname hin ibsu joon barandaa irraa buutee imimmaan ishee haxaa'atte ykn hin haxaa'anne. dubbiin kenname joon imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda barandaa irratti ol akka dhufte qofa ibsa."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.\nQuestion: Joo barandaa irraa erga buuftee booda daftee imimmaan ishee haxaa'atte. True, False, or Neither?\nAnswer:""}]}]"	neutral
