question,answer,prompt,gpt_4o
"Charlie wants to sell his meat-packing boxes. A hundred meat-packing boxes will make him make 10 brown meat-packing boxes. A book of meat-packing boxes costs $10. Since he makes and sells 20 meat-packing boxes, how many people know that a meat-packing bowl costs $2.00?",20,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCharlie wants to sell his meat-packing boxes. A hundred meat-packing boxes will make him make 10 brown meat-packing boxes. A book of meat-packing boxes costs $10. Since he makes and sells 20 meat-packing boxes, how many people know that a meat-packing bowl costs $2.00?\n'}]",0
"Meredith is currently self-employed and her healthcare consulting firm gives her clients a four-hour workday, based on a thorough review of the entire document. Last week, she wrote five letters to the editor and two-fifths to the editor. Alarba wrote twice as much as she did on Tuesday.",104,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMeredith is currently self-employed and her healthcare consulting firm gives her clients a four-hour workday, based on a thorough review of the entire document. Last week, she wrote five letters to the editor and two-fifths to the editor. Alarba wrote twice as much as she did on Tuesday.\n'}]",2
"When she went to work at the coffee shop, Candice made 80 little notes that she would write for the rest of the day in her bag. One day, she stopped to buy a large box of these notes. When she finished her work, she had 220 copies of each of these notes. If she had only 23 little notes left to write, how many notes would she have had to buy?",163,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nWhen she went to work at the coffee shop, Candice made 80 little notes that she would write for the rest of the day in her bag. One day, she stopped to buy a large box of these notes. When she finished her work, she had 220 copies of each of these notes. If she had only 23 little notes left to write, how many notes would she have had to buy?\n'}]",137
Jean bought the red carpets for twice the price of the red carpets. The red carpets were 50% more expensive than the red carpets. She bought the red carpets for $200 and the red carpets for $40 each. How much did Jean buy?,800,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean bought the red carpets for twice the price of the red carpets. The red carpets were 50% more expensive than the red carpets. She bought the red carpets for $200 and the red carpets for $40 each. How much did Jean buy?\n'}]",0
"To maintain the records of her childhood, Tracy used a 4-foot-long iron bar. The bar was cut into 6-inch-long pieces. How many pieces were there?",8,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTo maintain the records of her childhood, Tracy used a 4-foot-long iron bar. The bar was cut into 6-inch-long pieces. How many pieces were there?\n'}]",8
"Richard lives in a house in a 15-story building. There are 8 houses in the building. If we know that 3/4 of the building is occupied by us, how many houses are there that are not occupied by us?",30,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRichard lives in a house in a 15-story building. There are 8 houses in the building. If we know that 3/4 of the building is occupied by us, how many houses are there that are not occupied by us?\n'}]",2
Lloyd was the sole owner. His brothers made 252 eggs a day and sold them for $2 a dozen. How many eggs would Lloyd have had?,294,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLloyd was the sole owner. His brothers made 252 eggs a day and sold them for $2 a dozen. How many eggs would Lloyd have had?\n'}]",252
"Tom's boat can run up to 10 miles per hour. If it hits the sea between 13H and 16H, then it will take its way back home at a speed of 6 miles per hour. How long will it take to get back?",5,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nTom's boat can run up to 10 miles per hour. If it hits the sea between 13H and 16H, then it will take its way back home at a speed of 6 miles per hour. How long will it take to get back?\n""}]",3
"Uriah's pocket was too heavy for him. he had to turn over a 15-pound sheet. a book weighing 1/4 of a pound and a child's pencil weighing 1/2 of a pound. if he had 30 books, how many would be left to solve the pencils?",15,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nUriah's pocket was too heavy for him. he had to turn over a 15-pound sheet. a book weighing 1/4 of a pound and a child's pencil weighing 1/2 of a pound. if he had 30 books, how many would be left to solve the pencils?\n""}]",60
"A catamaran maker sets up shop to make large and small catamaran spirits. A large catamaran spirits costs $60, and a small catamaran spirits costs $40. Alxamis made 6 small catamaran spirits and 4 small catamaran spirits, but he did not make 12 small catamaran spirits and did not make large catamaran spirits. The day he had more than he used to, how many catamaran spirits did he make?",40,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA catamaran maker sets up shop to make large and small catamaran spirits. A large catamaran spirits costs $60, and a small catamaran spirits costs $40. Alxamis made 6 small catamaran spirits and 4 small catamaran spirits, but he did not make 12 small catamaran spirits and did not make large catamaran spirits. The day he had more than he used to, how many catamaran spirits did he make?\n'}]",10
"Doubtfire's daughters danced at the burning of the animals and became the mothers of 7 kittens who were brought to the house to be trained to care for them. When we returned home, their mother called them and told them how their two kittens had been adopted. She said that Patchy's kittens were three times the number of kittens that the women had taken into care of, and Trixie, the other cat, had 12 kittens. How many kittens has the family of Doubtfire adopted now?",40,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nDoubtfire's daughters danced at the burning of the animals and became the mothers of 7 kittens who were brought to the house to be trained to care for them. When we returned home, their mother called them and told them how their two kittens had been adopted. She said that Patchy's kittens were three times the number of kittens that the women had taken into care of, and Trixie, the other cat, had 12 kittens. How many kittens has the family of Doubtfire adopted now?\n""}]",17
"John had three pairs of shoes to eat, two pairs of shoes to wear, and two pairs of shoes to wear. How many pairs of shoes did John wear?",14,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJohn had three pairs of shoes to eat, two pairs of shoes to wear, and two pairs of shoes to wear. How many pairs of shoes did John wear?\n'}]",4
"Pierre wants to go to the movies every week. He buys a ticket for $7 and $7 for everyone else's tickets. If he has $42 a week, how many times can he go to the movies?",3,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nPierre wants to go to the movies every week. He buys a ticket for $7 and $7 for everyone else's tickets. If he has $42 a week, how many times can he go to the movies?\n""}]",6
"A large luggage carrier is preparing to sell a luxury car that costs less than 5000 livres. A large carrier made of identical boilers whose design costs 15 livres each. If you add the driver's design and the empty carrier together, it costs 3755 livres. How many boilers can we make a large car that does not exceed its capacity?",83,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nA large luggage carrier is preparing to sell a luxury car that costs less than 5000 livres. A large carrier made of identical boilers whose design costs 15 livres each. If you add the driver's design and the empty carrier together, it costs 3755 livres. How many boilers can we make a large car that does not exceed its capacity?\n""}]",83
"Stéphane buys a piece of fruit from a vending machine. His bill for all the lime he buys is $40.00 . but in order to convince him to stay, he increases the price of our bill by 25% so he increases the price by $3.00 that same year. Stéphane may raise the price by $4.00 that same year. If we calculate the price of everything, how much did Stéphane save?",57,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nStéphane buys a piece of fruit from a vending machine. His bill for all the lime he buys is $40.00 . but in order to convince him to stay, he increases the price of our bill by 25% so he increases the price by $3.00 that same year. Stéphane may raise the price by $4.00 that same year. If we calculate the price of everything, how much did Stéphane save?\n'}]",5
"A single grape has 6 bunches of 20 berries, and 67 berries are removed and planted in small trees. How many berries are in total?",187,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA single grape has 6 bunches of 20 berries, and 67 berries are removed and planted in small trees. How many berries are in total?\n'}]",53
"A bunch of twenty-five eggs is only one egg, twenty-five eggs are not, two eggs are all good. How many eggs are good?",17,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA bunch of twenty-five eggs is only one egg, twenty-five eggs are not, two eggs are all good. How many eggs are good?\n'}]",2
"Janet bought her daughter a car from a factory. She spent $500 to buy the equipment, then spent $800 to build a car factory, and she spent 10% of that money to maintain it. How much did she spend?",1430,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJanet bought her daughter a car from a factory. She spent $500 to buy the equipment, then spent $800 to build a car factory, and she spent 10% of that money to maintain it. How much did she spend?\n'}]",1430
"If, for example, Marky had rented the same place for 40 years, he would have earned $50,000 a year. If he had worked for 20 years, he would have earned 5% a year. If he had rented the same place for 30 years, how much money would he have made?",25000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIf, for example, Marky had rented the same place for 40 years, he would have earned $50,000 a year. If he had worked for 20 years, he would have earned 5% a year. If he had rented the same place for 30 years, how much money would he have made?\n'}]",37500
"Athena records that one company sells all of its products for $140 a month. If the company manages the equipment that sells the products, it calculates the cost of the products for the first quarter of the year, and then subtracts 10% of the other quarter for the rest of the year. How much does it cost to use the equipment that allows it to see all the products?",1596,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nAthena records that one company sells all of its products for $140 a month. If the company manages the equipment that sells the products, it calculates the cost of the products for the first quarter of the year, and then subtracts 10% of the other quarter for the rest of the year. How much does it cost to use the equipment that allows it to see all the products?\n'}]",1260
"Sophie wanted to go on a trip with her daughter and wanted to ban the practice of running because her water tank was always full. She ran 100 miles before filling it with water and then added 4 pairs of shoes to complete the race. When the race was over, she didn't know how to use the 12 pairs of shoes. How many miles could Sophie have run if only one was filled?",300,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nSophie wanted to go on a trip with her daughter and wanted to ban the practice of running because her water tank was always full. She ran 100 miles before filling it with water and then added 4 pairs of shoes to complete the race. When the race was over, she didn't know how to use the 12 pairs of shoes. How many miles could Sophie have run if only one was filled?\n""}]",100
Jim spends two hours watching TV and then cuts the screen time down to half an hour. This is done three times a week. How many hours does he spend watching TV a week?,36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJim spends two hours watching TV and then cuts the screen time down to half an hour. This is done three times a week. How many hours does he spend watching TV a week?\n'}]",3
"A basketball team assembled three teams to compete. One team won a women's championship, one won a men's championship, and one won a five-a-side tournament. The teams also won a four-a-side tournament. How many points did all the teams win?",48,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nA basketball team assembled three teams to compete. One team won a women's championship, one won a men's championship, and one won a five-a-side tournament. The teams also won a four-a-side tournament. How many points did all the teams win?\n""}]",4
"A jeweler opened a jewelry box. The box contained 175 diamond rings, 35 rubies more than twice the size of diamonds and emeralds more than twice the size of rubies. How many jewelry boxes were there?",595,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA jeweler opened a jewelry box. The box contained 175 diamond rings, 35 rubies more than twice the size of diamonds and emeralds more than twice the size of rubies. How many jewelry boxes were there?\n'}]",1
