Unnamed: 0	question	answer	gpt-4	verbalized
35	Mike played ping-pong for 40 minutes. In the first 20 minutes, he played four holes. In the remaining 20 minutes, he played 25% more holes. How many holes did he play in total?	9	mike played 5 holes in the remaining 20 minutes, making it a total of 9 holes played.	9
36	Terry eats 2 yogurts a day. 4 yogurts sell for $5.00. How much money does he make for yogurt in 30 days?	75	terry does not make money from eating yogurt; he spends it.	-1
37	Jean wants to sell all her toys and buy a video game. She has 13 Lego sets, each worth $15. In the end, she buys 8 video games, each worth $20, leaving her with $5. How many Lego sets does she have left?	2	jean has 0 lego sets left.	0
38	Jean runs 60 miles a week. He runs three days a week. On the first day, he runs for three hours, and on the other two days, he runs twice as fast as before. Why does he run so fast?	10	to maintain his weekly mileage goal within the time constraints of running only three days.	-1
39	A zebra runs four times faster than it walks; however, its speed is twice as slow as its running speed. If its running speed is 3 Km per hour, how many Km can it do in an hour when it spends 1/3 of the time running and 2/3 of the time walking?	18	2 km	2
40	Bradon's iPhone is four times older than Ben's. Ben's iPhone is twice as old as Suzie's. If Suzie's iPhone costs 1, how much does Brandon's cost?	8	8	8
41	At the top of Mount Farbo, there is a huge volcano that rises to a height of 1,600 feet [1,000 m]. Polly can carry a single gold ring that can frighten a volcano to a height of 1,600 feet [400 m] and be consumed by fire. But if Polly had a sapphire in her hand, she would be three times as likely to be consumed by fire than a volcano. If she had such a precious stone, where would it be without being consumed by fire and burned by fire?	200	at the top of mount farbo.	-1
42	"""Take care"", said Jesus, ""how many loaves you have, and how many fish you have left over?"""	26	"jesus did not say, ""take care, how many loaves you have, and how many fish you have left over?"" this question does not directly match any specific quote from jesus in the bible. however, jesus did ask about the number of loaves and fish available before feeding the multitudes in the miracles of the feeding of the 5000 and the 4000, and he also asked about the leftovers after these events."	4000
43	According to nutritionists, one tablespoon contains 250 calories per serving. If there are 5 tablespoons of 300 calories per serving, how many tablespoons would you eat if your daily goal was to get 2000 calories instead of 1800 calories?	48	40 tablespoons	40
44	Charlie wants to sell a cotton ball made of cotton balls. Each pound of cotton balls yields 10 trays of cotton balls. A pound of cotton balls costs $10.00. If he makes 20 cotton balls and sells them, how will he know if each one sells for $2.00?	20	charlie will know if each cotton ball sells for $2.00 by comparing his total sales to his costs. if he sells 20 cotton balls at $2.00 each, he earns $40.00. since a pound of cotton balls costs $10.00 and yields 10 trays (assuming a tray equals 20 cotton balls based on the given information), his cost for the cotton balls used is $10.00. therefore, if his total sales are $40.00 from selling 20 cotton balls at $2.00 each, he will know he has made a profit, indicating his pricing is correct.	2
45	Mérédith is a freelance journalist and her job is to write a book on topics related to health and put it in her handbag every day. A book on a topic takes an average of 4 hours to research and write. The next week, she writes 5 books a day and on Tuesday she does 2/5 more. On Wednesday, she writes twice as much as the immortal. Consider how many hours she spent writing the books of the last three days.	104	mérédith spent 34 hours writing books over the last three days.	34
46	Before going to work at the café, Candide took 80 cards in a bag. On the way, he bought another one. When he arrived at the café, he placed one card on each of the 220 cups. If at the end of the day, he was left with 23 cards, how many were in the bag he bought on the way?	163	161 cards.	161
47	Jean bought red collars twice as much as blue collars. Red collars are 50% more expensive. She spent $200 for blue collars that cost $40 each. What did she spend on buying collars?	800	$800	800
48	In order to maintain his composure, Tracy used a nine-foot-long [4.0 m] chain, which was shortened by six inches. How many short chains did he manage to cut?	8	one.	-1
49	Richard occupies a seat in the fifteenth-floor dining room. In each floor, there are eight seats. After occupying three-fourths of the seats, are there six vacancies?	30	no.	-1
50	Lloyd owns a chicken coop. His chickens cook 252 eggs a day and he sells an egg for $2. How much does Lloyd make in a week at the auction?	294	$3,528	3528
51	Tom's boat has a speed of 10 Km per hour. He boarded from 1 pm to 4 pm and turned back when the speed was 6 Km per hour. How long will it take him to get home?	5	3 hours and 20 minutes	20
52	Uriah's bag was too heavy for him to carry. He had to reduce its weight by 15 Kg. Each of his magic books weighed 1/4 pound and his toy, isa added 1/2 pound. If he removed 30 magic books from the bag, how many toys would he have added?	15	he would have added 15 toys.	15
53	The cost of a car is different from that of a horse and carriage. If he repairs the tire of a horse, it costs $60, but if he repairs the tire of a horse, it costs $40. On Thursday, he repairs 6 car tires and 4 car tires. On Friday, he repairs 12 car tires and does not repair the car tires. On which day did he make the most money? Did he make the most money?	40	thursday.	-1
54	The Doubtfire sisters left the barn with seven puppies that they had adopted in their car. On the way, they were called to be told that their two foster parents had given birth to a child. Patchy, the older sister, gave birth to three times as many puppies as all the foster parents, and Trixie, the other sister, wanted 12 puppies. How many puppies does the Doubtfire family have now?	40	the doubtfire family now has 43 puppies.	43
55	"""He had two silver coins, which he divided into two baskets. He tied up the other two baskets and said,' How many baskets will you fill? '"	14	two baskets.	-1
56	Pierre decides to go to the movies this weekend. His mother buys the ticket for $7 and the ticket for $7. If he has $42, how many times can he go to the movies this weekend?	3	5 times	5
57	If a wooden sailing vessel were to be loaded with 5,000 tons of cargo, how many sailing vessels would be loaded with 5,000 tons of cargo, and how many sailing vessels would be loaded with 5,000 tons of cargo?	83	one sailing vessel would be loaded with 5,000 tons of cargo.	5000
58	Stéphane poured perfumes on the fans. A bill of lading showed $40.00. Since they were delivered by a bartender, he put 25% on the bill of lading with a $3.00 fee. Stéphane himself gave a bottle of water $4.00. If we add the fees, how much of the entire bill did Stéphane get?	57	$57.00	57
59	There are six ears of grain on a fig tree, each bearing twenty grains, and sixty-seven grains on the other fig tree. How many grains are on that fig tree?	187	sixty-seven grains.	-1
60	Twenty-five fish are in a basket and one of them is broken; twenty-five percent is bad and two of them are healthy and the rest are healthy. How many healthy fish are there?	17	twenty-two healthy fish.	-1
61	Janet bought her daughter a shower cap. She spent $500 on the equipment, paid $800 to the doctor who did the surgery. Then she paid 10% of the same amount for the safety of the shower cap. How much did she spend in total?	1430	$1,430	1430
62	If Marcy worked for only one company for 40 years, her annual salary would be $50,000. From 20 years of work, she would receive 5% of this salary each year. If she worked for 30 years before quitting, what would her annual salary be?	25000	$75,000	75000
63	Aleena signed up for a wind turbine exhibition for which she paid $140 a month. If the wind turbine company charged her this fee in the first half of the year and reduced it by 10% in the second half of the year, imagine what she would pay in one year.	1596	$1,512	1512
64	Sophie is thinking about traveling and wondering where she can go with a car that will only change oil once. She has traveled 100 Km since the oil leak occurred and had to have 4 gallons of oil added. The car's registration indicates that her car takes 12 gallons of oil to run. How many kilometers can Sophie do if she only changes oil once?	300	sophie can travel 300 kilometers if she only changes oil once.	300
65	Jim spends 2 hours on the telescope and now spends half of that time reading and watching. He does this 3 times a week. How many hours does he have to watch and read on the telescope in 4 weeks?	36	24 hours	24
66	There are four schools that have qualified for a basketball tournament. Each school has qualified a women's team and a men's team with five members each. Each school has also sent one coach to the tournament. How many people have all the schools sent to the tournament?	48	48	48
67	There was a wealthy landowner who came up with a treasure chest full of precious stones. He found two hundred seventy - five silver coins, three hundred and fifty rubles worth of rubies, and two hundred and thirty rubles worth of emeralds.	595	825 rubles	825
68	There are twice as many boys as girls in Dr. Wertz's school. If there are 60 girls in the school and each teacher has 5 students, how many teachers are there in the school?	36	24 teachers	24
69	Bailey started out with a certain amount of money; she then received $5 a week for eight consecutive weeks. If at the end of these 8 weeks, Bailey's total amount of money was $100, how much money did she have at the beginning?	60	$60	60
70	During the school holidays, Judy teaches dance 5 times a day, and on Sundays she teaches dance 8 times. If 15 students come to each class for $15.00 each, how many dances does she get in a week?	7425	judy teaches 43 dance classes in a week.	43
71	Kilian has two recipes that she uses for cooking; the first requires 20 recipes and the second twice as many as the first. If Kilian wanted to cook both types of food, how many recipes would he have to count?	60	60 recipes	60
72	Tommy is raising money for his charity by baking chickens for $3 each and cookies for $4. If he sells 43 chickens and 23 cookies, how much money will he make for the charity?	221	$205	205
73	Sheila bought five cell phones for $150 each; she would pay monthly for 3 months, with a 2% monthly premium. How much would Sheila pay monthly for 3 months?	255	sheila would pay $510 monthly for 3 months.	3
74	Artie sells flowers in the village market. He sells three types of flowers: soucis, petunias and bégonias. He sells a basket of soucis for $2.74; a basket of petunias for $1.87 and a basket of bégonias for $2.12. Since he doesn't have a winner today, he decides to sell each item at the most appropriate dollar amount. If he sells 12 soucis, 9 petunias and 17 bégonias, how much money will he make?	88	$77.41	77
75	Luc used his time to build a loft with sand on the beach. He noticed that each floor of the loft took half the width of a summer house. What would be the same width of the loft if he built a 4-storey loft and the width of the last floor was 16 meters on peids?	60	32 meters	32
76	Cécilia has now bought a puppy. Her veterinarian told her that she should feed it 1 bowl of dog food a day for 180 days. Now, she will feed it 2 bowl a day for the rest of her life. If there are 110 bowl of food in one bowl, how many bowl of food will she use in the first year?	5	36,500 bowls	36500
77	Raymond's messages weighed twice as much as Sarah's; Sarah's was 4 times as heavy as David's. When Sarah's message weighed 400 Kg, imagine the difference between Raymond's and David's messages.	100	760 kg	760
78	Vincent had the option of buying 3 packs of flowers for $ 2.50 or buying 2 packs of flowers for $ 1. How much would he save if he bought 18 flowers at the right price ?	6	vincent would save $3.00.	3
79	Jean agrees to buy a dog and brings it to the dry cleaner for $100. The dry cleaner deducts 30% from the rent since it is a new business. How much does the house cost?	70	the information provided does not allow for the calculation of the house's cost.	-1
80	Two girls each draw one-sixth of a quart of water, and one boy draws six quarts of a quart. How many quarts of water are left?	10	"the question as stated contains a mathematical error regarding the boy's action (""six quarts of a quart"" does not make sense). therefore, it's not possible to accurately determine how many quarts of water are left without clarification."	-1
81	Charlie has 10 greeting cards. He went to the store and bought 21 more, and on his birthday he got 23 more. He gave 9 of them to his brother and used 28 of them to write on a greeting card. How many greeting cards did he have left?	17	17	17
82	Grace weighs 125 pounds. Alex weighs 2 pounds less than Grace by a factor of 4. How many pounds do they both weigh?	623	255 pounds	255
83	Dan produces 3 roses. There are 25 roses on each tree, and each rose has 8 petals. How many petals do they have in total?	600	24 petals	24
84	A boxer fought 22 times and won eight times more than he was beaten.	15	14 wins, 6 losses	6
85	Gene collects old souvenirs in a red suit. He has a souvenir suit for each day of his vacation. Each suit is the square root of the width of the suit. The square root of the width of each suit is the square root of its height. Since he was twenty-three yards, he traveled four times a mile. Now he has thirty-four yards. How many square yards does his suit have?	44	34 square yards	34
86	A Gregorian clock ticks three times a day. When it starts ticking, it ticks until the Grid stops. When it first ticks, it ticks four times slower; when it ticks a second time, it ticks three times slower; when it ticks a third time, it ticks two times slower than a second and a half.	22	18 seconds	18
87	One company pays its employees $600 a month. It also gives a 10% raise to all employees who have been with the company for at least five years. If Sylvie had completed five years of work last summer, what would her salary be if she had completed three more years of work?	9360	$660	660
88	Marilyn's first single sold 10 times as many copies as Harald's. If the two of them sold 88,000 records, how many of them were Harald's?	8000	8,000	8000
89	Christina planned to have a memorial service, and 0.75 cups were needed for each invitation and 1/4 of the invitations did not come. When she invited 16 people and each cup cost $2, how many cups would she use?	24	9 cups	9
90	Ted Tyrannosaure decides to take a potato salad to the big meat dinners. He knows that each adult will need 10 Kg and the children half this weight. If 20 adults and 5 children come to the party, how many kilograms of salad will be prepared if everyone eats it?	225	250 kg	250
91	Jan has three times as many rabbits as Marcia. Marcia has twice as many rabbits as Cindy. If Cindy has four rabbits, how many rabbits does she have in total?	28	cindy has 4 rabbits.	4
92	Emilie has four children: Amy, Jackson, Corey and Jacques. Amy is 5 years older than Jackson and 2 years younger than Corey. If Jacques is 10 years old and Corey is 1 year old, how many years old is Jackson?	4	-3	3
93	Lee used to beat Gérald by two minutes in the 400-meter dash, but after changing his diet, Gérald improved his speed by 10 percent. If Lee ran the 400-meter dash in 38 laps, how long would Gérald have to run after the change in diet?	36	34.2 laps	34
94	In a village, there are 12 white wolves in a group of cats and dogs. If one dog has 2 wolves and there are 60 dogs, how many animals live in the village?	348	132 animals live in the village.	132
95	Of the 200 students in the sixth grade, two-fifths are boys and two-thirds are girls. How many girls are not girls?	40	0	0
96	Harry slept for 9 hours last night. He woke Jacques for only 2/3 of the time. How many hours did Harry sleep compared to Jacques?	3	harry slept 3 hours more than jacques.	3
97	If Freda uses a silver stick for the hammer, the hammer loses half its weight. She uses a box that weighs 16 ounces and contains her hammer. In her last attempt, she found a hammer weighing 32 ounces. How many hammers did she use?	12	freda used 2 hammers.	2
98	Some cars were stranded on the highway. Some were able to get off the highway in the first 15 minutes and 20 others in the last 15 minutes. 5 cars got off the highway to avoid being in the highway. There were 30 cars on the highway at the beginning of the highway; how many were able to get off first?	5	5 cars.	5
99	Marie loved gardening. The next day, she picked up 18 new plants from the main nursery, two from each of the 40 containers of her garden, and ate them, one from each container to give to her family and friends the next day. How many would Marie have left?	58	marie would have 18 plants left.	18
100	One day, a group of 4 friends went to see Jérôme play. The first player played the game 20 times before Jérôme returned; the second player played the game 1/4 more times than the first player; and the third player played the game 10 times more than the fourth player. When the fourth player played the game 60 times, how many times did the game go down in a day?	175	310 times	310
101	Solo has to read 4 pages of his textbook, 20 pages of his social book, 7 pages of his history book, and 8 pages of his speech book. Every Monday, he reads 15 pages. If he has only 4 days left to finish reading, how many pages does he have to read equally each day?	6	9.75 pages	9
102	How many gallons of water does John drink a day? He drinks a gallon of water for breakfast, lunch, and dinner, and he drinks a gallon of water before he goes to bed. He does the same thing every day, but at the end of the day, he drinks soda when he's fasting.	26	4 gallons	4
103	Consider this: If the whole city is measured in miles, it will take only a mile and a half for the whole city to be swept away.	140	tornado	-1
104	Poppy is trying to solve a puzzle made of 1,000 tiles. She places a quarter of the tiles on the table and the mother places a third of the remaining tiles. How many puzzle tiles are left to place on the table?	500	500 tiles	500
105	Cody ate three times as many cookies as Amir. If he ate five cookies, how many cookies did they both eat?	20	8 cookies	8
106	Jean has 3 egos. The dimensions of each egg are 5 x 6 x 4 cm. The diameter of the egg's shell is 1 cm. What is the total depth of the three egos?	72	36 cm	36
107	Every afternoon, after completing his homework, Frankie would get homework. On Mondays and Tuesdays, he would get his prime-time schedule of 1 hour every afternoon. On Wednesdays, he would get a program of 30 minutes each. On Thursdays, he would do his homework early and get the prime-time schedule of 1 hour and 30 minutes each. On Fridays, as they were nearing the end of the week, he would stay up late to prepare two programs of 1 hour each. So if he got 7 hours and 30 minutes, how many shows did he see on Sundays?	3	0 shows	0
108	At the end of the day, he realizes that he has collected 15 more coins than he had planned. While he was collecting, five coins fell to the ground, leaving him with 110 coins. Imagine how many coins he collected last year!	50	he collected 100 coins last year.	100
109	A gas station charges $3.00 for one gallon of crude oil. Another possibility is that if you pay $0.20 for each gallon of gasoline used to wash your car in this gas station, how much would you have to pay for 10 gallons of gasoline afterwards?	28	$2.00	2
110	Marcell and Béatrice compete to find out who is eating the most berries and killing their brother. They do their best. Unfortunately, due to an error, Béatrice has two plates of 24 lengths; while Marcell has three plates of 14 lengths. If each of them eats his own plate, how much do they share equally?	45	42	42
111	Julia's raft has run aground and is now filling up with water. She reaches the top of the waterfall with 2 liters of water every ten meters. She takes 16 minutes to reach twenty meters, while the raft takes 64 minutes to travel. How many liters of water did Julia have before she reached the top of the waterfall?	16	julia had 6 liters of water before she reached the top of the waterfall.	6
112	There was a white table in one classroom that was divided among four teachers who taught in turn, twice a day, or three times a day.	24	8 sessions.	8
113	Ryan plants 2 flowers a day in his garden. If 5 flowers fail to bloom, how many flowers will he have in 15 days?	25	25 flowers.	25
114	Brittany's camera can take 50 times as many pictures as the birds in Jamal's camera, which shows butterflies at the zoo. If Jamal's camera can take 1,800 pictures, how many butterflies are in his picture?	6	36 butterflies	36
115	Some time after purchasing timber for construction, Sasha noticed that the price of the timber had increased by 50% over the previous months. She now agreed to sell her remaining timber. 10 blocks of 2x4x10 lengths remained, and she bought each one for $10. She had five blocks of 4x4x10 lengths and her purchase price was $16 each. If she could sell them all, how much would it cost?	90	$230	230
116	Katy is making coffee and is measuring the water with a sugar spoon and a cup; the ratio of the spoon to the cup is 7:13. If the total consumption is 120 cups, calculate how many cups of sugar she has used.	42	katy has used 35 cups of sugar.	35
117	Jean bought a pair of shoes for her only son, and they cost $60 each. How much did they owe?	360	$60	60
118	An employee at the Seaside port counted 2 containers of cargo ships with 5 cars each. The next day, more containers arrived and the total number of ships at the port was now 30. Count the number of containers that arrived the next day if there were 5 cars each.	4	28 containers arrived the next day.	28
119	Adrien's one-year salary was 30% more than Lylah's. After four years, her salary was increased by 40% more than her previous salary. If Lylah's salary was also increased at the same time and Adrien was initially earning $40,000, how much money would they both have after four years?	95200	adrien: $56,000, lylah: $43,200.	43200
120	Miguel uses 2 boxes of paper per week for painting. If each box contains 30 sheets, how much paper does he produce in a month?	240	240 sheets	240
121	Morisette and Kael were asked to bring fruit. Morisette brought five bundles and eight skins, while Kael brought twice as many bundles and half as many skins. How many fruits did they bring in total?	27	they brought 38 fruits in total.	38
122	Sadie slept eight hours on Monday and then two hours on the following two days because of some work. If she slept one hour more on the other two days of the week, how many hours did she sleep in the whole week?	48	27 hours	27
123	Rosie ran for 3 hours at a speed of 10 miles per hour, then 5 miles per hour. If she ran for 7 hours, how many miles did she run?	50	55 miles	55
124	She helped me in my mother's womb. She was given sixty sets of cards to build the wheel and other sets that were already built. She climbed on one-third of the cards to build the wheel. There are now thirty cards in all. How many cards were used to build the wheel before Jennie got sick?	10	20 cards.	20
125	Julia was about to leave the restaurant and was asked to cook a sandwich. She noticed that she didn't have any leftovers, so they went out and bought a pack. Later, her husband brought her a pack of five bags. In the kitchen, Julia used three bags to try the dishes. Later, when they went out to cook, there were only twelve bags left for her. How many bags did Julia buy?	10	julia bought 10 bags.	10
126	Dylan needed a roast chicken and a roast duck to make roast horses for the season. He bought 38 roast chickens and 6 roast ducks. How many roast ducks did Dylan buy?	82	dylan bought 6 roast ducks.	6
127	If Lily has 50 friends, how many friends do Lily and Amy have?	120	100	100
128	Well's mother sells pastas, apples and peaches at a street market. One pastas costs three times as much as an apple and one peach costs 5 times less than a peach. Dillon is sent to the store to buy 4 pastas, 20 apples and 10 peaches. How much would they use if a peach costs $15?	880	$315	315
129	A clinic that receives 500 people a day and sees one patient in 24 minutes earns 150 dollars an hour for the patients and 200 dollars an hour for themselves. What good does the clinic do with all these visits?	10000	the clinic provides medical care to 500 people a day, generating revenue that can support healthcare services, staff salaries, and potentially fund community health initiatives or improvements in clinic facilities and equipment.	500
130	Nissa accused 60 employees of having a panic attack in Santa's village at her shop. One-third of the customers woke up in the morning after being kicked by children, and the remaining 10 woke up in the morning after being kicked by children. How many people woke up in the morning?	30	30 people woke up in the morning.	30
131	Joseph's spending went from $500 per pound to $60 per pound. How much has he spent in the last two months?	940	the information provided does not specify the quantity purchased or the total amount spent in the last two months, so it's not possible to calculate the total spending based on the details given.	-1
132	Pam and Fred went to a party. Pam climbed the russian mountains 2 times and fred 4 times. Then they both went downhill on the ice. If there were 6 tickets for a round trip, how many tickets were used that day?	60	12 tickets were used that day.	12
133	Walt walked 4 miles on Tuesday. It's 6 times faster than Tuesday. His mileage from Tuesday to Thursday is 41 miles. How many miles did they walk on Tuesday?	13	walt walked 4 miles on tuesday.	4
134	Tom washes 4 cars a month. How much do they make a year if a car wash costs $15?	720	$720	720
135	Brian's friend, Bobby, threw a five-card poker hand at Brian three times. How much money would Brian have if he had bet 20 and lost 5?	40	brian would have $45.	45
136	There are 27 species of licorn in the world. Three species are found in the Highlands of Scotland. Two species of Scottish licorn are females. How many Scottish licorn are there?	6	three scottish licorns.	-1
137	Rory sent 2 vans for $7.50 each, 2 fries for $1.50 each, and 2 cookies for $1.00 each. He paid 20% of the fare, and Rory gave $5.00 to a helper. How much did the truck cost?	29	the truck cost $15.00.	15
138	Marc took a 75-question test yesterday. He took 5 questions in an hour. He took another 100 questions today in a row. If Marc took 8 hours for the first test and 6 hours for the second, how many questions did he miss?	105	marc missed 0 questions.	0
139	In my candy machine, there are twenty-two times more blue dots than there are four times more pink dots. If there are twelve blue dots, how many pink dots are there?	70	3 pink dots	3
140	Of the twenty cars to be leased, twelve were self-driving, four were semi-trailers. What percentage of semi-trailers were self-driving?	20	0%	0
141	An octopus is seven hundred octopuses, which is twice as many octopuses as males and females. How many octopuses do you have?	400	350 octopuses.	350
142	Jordan spends 2 hours a day on the playground. He also has a job that pays him $10 a game. How much money would Jordan have in a week if he spent his playing time working?	140	$140	140
143	Jean bought the cow's milk for $2, the egg for $3, the chicken for $3, the glass for $3, the candy for $4. If 10 percent of all junk food is made up of peanuts, how much consumption did all of this produce?	16	$15	15
144	Kim set up her own company and calculated the profit she would make from her customers. She already had 3 customers, but her conversations with 5 others convinced her to have dogs installed in her apartments. She needed 2 javelins and a pack of strange objects for the maintenance of her customers' homes. They would need to spend 2$ for a javelin and 5$ for a pack of strange objects. These were her only expenses.	20	kim would spend 14$.	14
145	Jean planted 10 hectares of mangoes. If there were 100 mangoes per hectare and Jean harvested them every 3 months, how much would be harvested in a year?	4000	40,000 mangoes	40000
146	Johnny collected toys scattered throughout his room - one measuring 500 cubits, another measuring three cubits, and the last measuring four cubits.	2,125	"it seems there might be a misunderstanding or typo in your question, as a toy measuring 500 cubits would be extraordinarily large, given that a cubit is an ancient measure roughly equivalent to the length of a forearm, about 18 inches (45 cm). assuming you're referring to a more realistic scenario or using ""cubits"" in a fictional or playful context, johnny collected toys with a total measurement of 507 cubits."	507
147	Debra observes a mountain of octopuses to see how many come and go in a day. She sees 30 octopuses come out in the first six hours, then sees an average return in the last six hours, then sees twice as many octopuses leave in the next six hours than the first time, and all eight that do not come and go are back in cages in the last six hours. How many octopuses do Debra see in cages in the last six hours of the day?	75	14 octopuses.	14
148	Brittany and her mother went to the museum. The entrance fee was $12 for adults and $10 for children. Brittany's mother told the cashier to donate $1 for adults and $1 for children. If she was given $8, how many dollars did the cashier get?	30	$35	35
149	Charlie has three times as many Facebook friends as Dorothée. Jacques has four times as many as Dorothée. If Charlie has 12 Facebook friends, how many does Jacques have?	16	16	16
