premise	hypothesis	label	opus	prompt
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru.	entailment	"[TextBlock(text=""Kana entailment (kan wal-caaluu) dha. Waliigalteen kun qorannoowwan gola olka'iinsa xiqqaa qabu keessatti raawwatamuu ibsa. Kanaafuu, yaanni kun waliigalteen ibsame keessaa kallattiidhaan kan ka'e waan ta'eef, entailment ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nHypothesis: Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru.\nIs this an entailment, contradiction, or neutral?""}]}]"
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banan muraasa keenya turre.	contradiction	"[TextBlock(text='Kana deebii ""neutral"" dha. Waliigalteen ka\'umsa fi yaada ka\'umsaa gidduu hin jiru, garuu yaanni ka\'umsaa ka\'umsa waliin wal-dhabuu hin agarsiisu. Ka\'umsi ""Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jedha, kunis muraasni isaanii qorannoof to\'ataa akka banan hin ibsu. Kanaafuu, ka\'umsaa fi yaada ka\'umsaa gidduutti walitti bu\'iinsa ykn waliigaltee guutuu hin qabu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nHypothesis: Qorannoo kanaaf to'ataa kan banan muraasa keenya turre.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Ammas hanga har'aatti hojjechaan jira.	contradiction	"[TextBlock(text=""Kuni kan agarsiisu wanti hiikaan himaa duraa fi isa boodaa wal-faallessu ta'uu isaati. Hiikaan himaa duraa Saajin hojii irraa akka ba'e kan ibsu yoo ta'u, kan boodaa garuu hanga ammaatti akka inni hojjechaa jiru kan ibsuudha. Kanaafuu, hiikaaleen kun wal-fallessu."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nHypothesis: Ammas hanga har'aatti hojjechaan jira.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Bara 2002 soorama nan ba'e.	neutral	"[TextBlock(text=""Kuni kan agarsiisu wanti hiikaan jedhu fi wanti qabatamni jedhu wal hin simne (neutral). Sababni isaas, hiikichi Ani bara 2002 soorama akkan ba'u dubbata, garuu qabatamni yeroo meeqa akkan soorama ba'e hin ibsu. Kanaafuu, qabatamni kun hiika kana hin mirkaneessu."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nHypothesis: Bara 2002 soorama nan ba'e.\nIs this an entailment, contradiction, or neutral?""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Riik soorama akkan ba'e sitti himeera.	entailment	"[TextBlock(text='Based on the limited information provided in Afaan Oromo, this appears to be an entailment. The premise states that Saajin, a senior officer, went out for a walk, just as Rick said. The hypothesis then states ""Rick told you that I went out for a walk like this."" So the hypothesis seems to be a logical consequence of the premise, indicating entailment. However, without more context and details, it\'s difficult to say definitively. The premise and hypothesis would need to be analyzed more closely in Afaan Oromo to make a firm determination of entailment, contradiction or neutral relationship.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nHypothesis: Riik soorama akkan ba'e sitti himeera.\nIs this an entailment, contradiction, or neutral?""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta.	neutral	"[TextBlock(text=""Deebiin koo 'neutral' dha. Sababni isaas:\n\nWanti himamee jiru (premise) keessatti maamilli Cutty jedhamu tilmaama dhangala'aa maallaqaa tokko tokkotu irratti akka qabu ibsameera. Garuu tilmaanni dhangala'aa maallaqaa ji'atti hammam akka ta'e hin ibsamne. \n\nYaada ka'umsa (hypothesis) keessatti garuu maamilli Cutty jedhamu ji'atti doolara 10,000 akka hojjetu ibsameera. \n\nKanaafuu, wanti himamee jiru (premise) yaada ka'umsaa (hypothesis) hin mirkaneessu (entail). Sababni isaas tilmaanni dhangala'aa maallaqaa ji'atti hammam akka ta'e hin ibsamneef. \n\nAkkasumas, wanti himamee jiru yaada ka'umsaa hin faallessu (contradict). Sababni isaas wanti himamee jiru tilmaanni dhangala'aa maallaqaa ji'atti doolara 10,000 ta'uu hin dide. \n\nWaan ta'eef deebiin 'neutral' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nHypothesis: Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta.\nIs this an entailment, contradiction, or neutral?""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu jira.	entailment	"[TextBlock(text='Kana entailment (tilmaama dhangala\'aa) dha. Waliigalteen himoota lamaanii akka armaan gadiitti ibsame:\n\nPremise: Deeskii koo irratti tilmaama dhangala\'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\n\nHypothesis: Maamilli Cutty jedhamu jira.\n\nPremisiin keessatti maqaan maamilaa ""Cutty"" akka ta\'e ibsameera. Kanaafuu, hypothesis ""Maamilli Cutty jedhamu jira"" jechuun premisii keessaa kallattiidhaan hordofama. Kanaafuu, premisii fi hypothesis gidduutti walitti dhufeenya entailment (tilmaama dhangala\'aa) qaba.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nHypothesis: Maamilli Cutty jedhamu jira.\nIs this an entailment, contradiction, or neutral?""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu.	contradiction	"[TextBlock(text='Kuni kontiraadikshiniidha. Pireemisiin ""Cutty"" jedhamu maamila tokko akka qabu ibsa, garuu haaypoothesisiin maamila ""Cutty"" jedhamu kamiyyuu akka hin qabne dubbata. Kanaafuu, pireemisii fi haayipoothesisiin wal-didan.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nHypothesis: Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu.\nIs this an entailment, contradiction, or neutral?""}]}]"
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti.	entailment	"[TextBlock(text='Kuni entailment dha. Waliigaltee keessatti intalli sun magaalaa gara gama biraatti qaxxaamurteetti jechuun fageenya dheeraa irra akka jiraattu agarsiisa. Kanaafuu, ulaagaan ""intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti"" jedhu waliigaltee kana cimsa.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nHypothesis: Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti.\nIs this an entailment, contradiction, or neutral?'}]}]
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti.	neutral	"[TextBlock(text='Kun kan agarsiisu wanti intalli taasiftu ifa akka hin taane dha. Kanaafuu, ""neutral"" (giddu-galeessa) dha.\n\nSababni isaa:\n- Premisiin intalli akka gargaarsa laattuf magaalaa gara gama biraatti akka deemte dubbata, garuu fageenya itti deemte hin ibsu.\n- Hypothesisiin immoo intalli maayilii 5 fagaatee akka deemte dubbata.\n- Premisii fi hypothesisiin wal hin madaalani. Premisiin fageenya itti deemte waa hin ibsu, hypothesisiin garuu maayilii 5 jedha. Kanaafuu, premisiin hypothesisis hin madaalu (entailment miti), garuu wal hin faallessan (contradiction miti).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nHypothesis: Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti.\nIs this an entailment, contradiction, or neutral?'}]}]
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Namni na gargaaruu danda'u tokkoyyu hin jiru.	contradiction	"[TextBlock(text='Kuni kontiraadikishinii dha. Pireemisiin ""Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti"" jechuun namni si gargaaruu danda\'u akka jiru agarsiisa. Garuu, haayipooteesisiin ""Namni na gargaaruu danda\'u tokkoyyu hin jiru"" jechuun pireemisiif kontiraadikishinii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nHypothesis: Namni na gargaaruu danda'u tokkoyyu hin jiru.\nIs this an entailment, contradiction, or neutral?""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan.	contradiction	"[TextBlock(text='Kuni kontiraadikishinii dha. Kaayyoon ""Garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha, kunis isaan hundi maasii irratti akka hin hojjenne agarsiisa. Garuu, hipoteesisiin ""Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan"" jedha. Kanaafuu, kaayyoon hipoteesisiif kontiraadikishinii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nHypothesis: Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan.\nIs this an entailment, contradiction, or neutral?""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye.	entailment	"[TextBlock(text='Kuni contradiction dha. Sababni isaas:\n\nPremise keessatti, ""Garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha. Kunis isaan waa\'ee kana irratti addaan qoodamanii (walitti dhufeenya) akka qaban agarsiisa.\n\nGaruu, hypothesis keessatti ""Isaan waa\'ee Eenyu hojjetaa maasii akka ta\'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye"" jedha. Kunis isaan waa\'ee kana irratti walii galuu akka hin dandeenye (walitti bu\'iinsa) qaban ibsa.\n\nKanaafuu, premise fi hypothesis walitti fufeenya hin qabu. Isaan wal-dhabdee (contradictory) dha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nHypothesis: Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye.\nIs this an entailment, contradiction, or neutral?""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye.	neutral	"[TextBlock(text='Kuni entailment dha. Kaayyoon ""Garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan, gosa-- ture"" jedhu, namoonni waa\'ee eenyutu hojii maasii hojjechuu qabu fi eenyutu ijoollee manaa eeguu akka qabu waliigaluu hin dandeenye agarsiisa. Kuni hiikaa hypothesis ""Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa\'uu akka qabu walii galuu hin dandeenye"" jedhu cimsa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nHypothesis: Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye.\nIs this an entailment, contradiction, or neutral?""}]}]"
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Ijoolleen isaanii hundi lubbuun hafan.	contradiction	"[TextBlock(text=""Kun kontiraadikishinii dha. Kana jechuun koo qabu turan, akka, ijoollee shan qabu turan, isaan keessaa tokko du'eera. Kanaafuu, ijoolleen isaanii hundi lubbuun hin hafne. Tokko isaanii du'eera."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nHypothesis: Ijoolleen isaanii hundi lubbuun hafan.\nIs this an entailment, contradiction, or neutral?""}]}]"
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Shanan keessaa daa'imni tokko du'eera.	entailment	"[TextBlock(text='Kana entailment dha. Premise fi hypothesis lamaanuu waa\'ee daa\'ima shanan keessaa tokko du\'uu dubbatu. Premise keessatti ""ijoollee shan qabu turan, isaan keessaa tokko du\'eera"" jedha, kunis hypothesis ""Shanan keessaa daa\'imni tokko du\'eera"" jedhu cimsa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nHypothesis: Shanan keessaa daa'imni tokko du'eera.\nIs this an entailment, contradiction, or neutral?""}]}]"
