premise	hypothesis	label	opus	prompt
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif manneen barnootaa akka geeddare hin beeku.	neutral	"[TextBlock(text='Neither.\n\nSababni isaa, gaaffiin ""Maaliif manneen barnootaa akka geeddare hin beeku."" jedhu gaaffii kanaaf hin deebisu. Gaaffiin kun waa\'ee kanaafuu maaliif akka ta\'e kan gaafatu osoo hin taane, waa\'ee manneen barnootaa maaliif akka inni geeddare kan gaafatu dha. Kanaafuu, gaaffii fi deebiin wal hin simu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Maaliif manneen barnootaa akka geeddare hin beeku. True, False, or Neither?\nAnswer:""}]}]"
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif sun akka ta'e hin beeku.	entailment	"[TextBlock(text='True.\n\nSababni isaa, gaaffii keessatti ""Kanaafuu ani dhuguma maaliif akka ta\'e hin beeku."" jedha. Kana jechuun namni gaafatame sun sababii dhugaa waan tokko ta\'eef hin beeku jechuudha. Deebiin ""True"" kan ta\'eef, gaaffii fi deebiin wal simataniiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Maaliif sun akka ta'e hin beeku. True, False, or Neither?\nAnswer:""}]}]"
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle.	neutral	"[TextBlock(text='Deebiin gaaffii kanaaf ""True"" dha. Sababni isaas:\n\nGaaffii keessatti, ""Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jechuun ibsameera. Itti fufuudhaan immoo gaaffiin ""Qorannoo kanaaf to\'ataa kan banu ana qofa ta\'uun natti hin tolle"" kan jedhu ka\'eera. \n\nKanaafuu, namni gaaffii kana gaafate qorannoo kana kophaa isaa gaggeessuuf fedhii kan hin qabne ta\'uu agarsiisa. Innis qorannoo akkasii gaggeessuuf namoota biroo gargaarsa akka barbaadu mul\'isa. \n\nWaan ta\'eefuu, ""Qorannoo kanaaf to\'ataa kan banu ana qofa ta\'uun natti hin tolle"" jechuun deebii ""True"" ta\'a. Namni kun qorannoo kana kophaa isaa gaggeessuuf kan hin barbaanne ta\'uu isaa ibsa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle. True, False, or Neither?\nAnswer:""}]}]"
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru.	entailment	"[TextBlock(text='Deebiin ""True"" dha. Keeyyanni ""Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jedhu qorannoon gola olka\'iinsa xiqqaa qabu keessatti raawwatamaa akka ture agarsiisa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru. True, False, or Neither?\nAnswer:""}]}]"
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banan muraasa keenya turre.	contradiction	"[TextBlock(text='Deebiin gaaffii kanaaf ""Neither"" ta\'a. Sababni isaas:\n\nYaadni gaaffii keessatti dhiyaate ""Qorannoo kanaaf to\'ataa kan banan muraasa keenya turre"" kan jedhu ragaa gahaa hin qabu. Keeyyanni ""Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" kan jedhu waa\'ee namoota biroo kan hin ibsine yoo ta\'u, garuu ofii kee qofa ilaallata. \n\nKanaafuu deebiin sirrii ta\'e ""True"" ykn ""False"" ta\'uu hin dandeenye, sababni isaas ragaan gahaan hin jiru. Deebiin ""Neither"" filachuun ni danda\'ama, sababni isaas yaada ibsame keessatti ragaa gahaa waan hin jirreef deebii ""True"" ykn ""False"" kennuuf hin danda\'amu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nQuestion: Qorannoo kanaaf to'ataa kan banan muraasa keenya turre. True, False, or Neither?\nAnswer:""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Ammas hanga har'aatti hojjechaan jira.	contradiction	"[TextBlock(text='Deebiin gaaffii kanaaf ""Neither"" ta\'a. Sababni isaas, keeyyanni kenname waa\'ee Saajin hojjechaa jiraachuu ykn hojjechaa hin jiru kan ibsu miti. Keeyyanni kun waa\'ee Saajin soorama ba\'uu qofa ibsa malee amma hojjechaa jiraachuu isaa hin ibsu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Ammas hanga har'aatti hojjechaan jira. True, False, or Neither?\nAnswer:""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Bara 2002 soorama nan ba'e.	neutral	"[TextBlock(text='Deebiin gaaffii kanaaf ""Neither"" ta\'a. Sababni isaas, waa\'ee bara 2002 soorama ba\'uu kee odeeffannoo gahaa hin kennamneef. Dubbiin ""Ani ah, hoogganaa olaanaa Saajin, soorama ba\'eera, akkuma Rick jedhe"" jedhu bara meeqa akka ta\'e hin ibsu. Kanaafuu deebii ""True"" ykn ""False"" kennuuf ragaan gahaan hin jiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Bara 2002 soorama nan ba'e. True, False, or Neither?\nAnswer:""}]}]"
Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.	Riik soorama akkan ba'e sitti himeera.	entailment	"[TextBlock(text=""True.\n\nRiik akka soorama ba'e sitti himeera jedha dubbiin armaan olii."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.\nQuestion: Riik soorama akkan ba'e sitti himeera. True, False, or Neither?\nAnswer:""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta.	neutral	"[TextBlock(text='Neither.\n\nSababni isaas, dubbisni armaan olii tilmaama dhangala\'aa maallaqaa Cutty jedhamuun ji\'atti galchuu danda\'u kan ibsu ta\'us, hanga maallaqaa murtaa\'aa kan akka doolara 10,000 hin ibsine. Kanaafuu deebiin ""True"" ykn ""False"" ta\'uu hin dandeenye, odeeffannoon ga\'aan waan hin jirreef.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta. True, False, or Neither?\nAnswer:""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Maamilli Cutty jedhamu jira.	entailment	"[TextBlock(text='True. Keeyyanni armaan olii ""Maqaan maamilaa kanuma Cutty dha"" jedha waan ta\'eef, maamilli Cutty jedhamu akka jiru agarsiisa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Maamilli Cutty jedhamu jira. True, False, or Neither?\nAnswer:""}]}]"
Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.	Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu.	contradiction	"[TextBlock(text='Neither. Dubbiin kenname odeeffannoo gahaa kan maamila Cutty jedhamee waamamu yoo jiraate ykn hin jirre murteessuuf hin kennu. Maqaan ""Cutty"" akka maqaa maamila tokkoo caqafames, garuu yoo dhugumatti maamilli akkasii jiraachuu isaa mirkaneessuuf ragaan gahaan hin jiru.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.\nQuestion: Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu. True, False, or Neither?\nAnswer:""}]}]"
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti.	entailment	"[TextBlock(text='True.\n\nKeeyyanni ""Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti."" jedhu irraa intalli gargaarsa irraa barbaaddan kun fageenya dheeraa irra akka jiraattu ibsa. Sababni isaas:\n\n1. Intalli kun ""magaalaa gara gama biraatti"" jiraatti jechuun fageenya dheeraa irra akka jirtu agarsiisa. \n\n2. ""Qaxxaamurteetti"" jechuun intalli kun magaalaa biraa gara magaalaa biraatti akka deemte ibsa. Kunis fageenya dheeraa akka deemte mul\'isa.\n\nKanaafuu, keeyyata kana irraa intalli gargaarsa irraa barbaaddan fageenya dheeraa irra akka jiraattu sirriitti hubatama. Deebiin ""True"" ta\'a.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti. True, False, or Neither?\nAnswer:'}]}]
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti.	neutral	"[TextBlock(text='Neither.\n\nSababni isaas, deebiin gaaffii kanaaf kennamu odeeffannoo kennamerraa hin argamu. Odeeffannoon kennamerratti intalli gargaarsa gochuuf deemtu fageenya maayilii 5 akka taate hin ibsamu. Kanaafuu, deebiin ""True"" ykn ""False"" ta\'uu isaa murteessuun hin danda\'amu.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti. True, False, or Neither?\nAnswer:'}]}]
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.	Namni na gargaaruu danda'u tokkoyyu hin jiru.	contradiction	"[TextBlock(text='Neither.\n\nKeeyyanni ""Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti"" jedhu waa\'ee namni si gargaaruu danda\'u jiraachuu ykn dhabuu ibsa ifa ta\'e hin kennu. Keeyyanni kun waa\'ee intalli tokko si gargaaruu akka dandeessu ibsa malee namni biraa si gargaaruu danda\'u jiraachuu ykn dhabuu irratti waan ifa ta\'e hin ibsu. Kanaaf, keeyyata kana irraa ""Namni na gargaaruu danda\'u tokkoyyu hin jiru"" jechuun sirrii ykn dogoggora ta\'uu murteessuun hin danda\'amu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.\nQuestion: Namni na gargaaruu danda'u tokkoyyu hin jiru. True, False, or Neither?\nAnswer:""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan.	contradiction	"[TextBlock(text=""Neither.\n\nKeeyyanni hin ibsu namoonni hundinuu maasii irratti akka hojjetan walii akka galan. Keeyyanni waa'ee namoota gosa addaa ta'an akka hojii addaa hojjetanii fi gahee addaa qaban dubbata. Garuu waa'ee waliigaltee hojii maasii irratti hin dubbatu. Kanaaf deebiin 'Neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan. True, False, or Neither?\nAnswer:""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye.	entailment	"[TextBlock(text='True.\n\nKeeyyata kenname keessatti, ""Garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha. Kana jechuun waa\'ee eenyu hojjetaa maasii akka ta\'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye jechuudha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye. True, False, or Neither?\nAnswer:""}]}]"
Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.	Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye.	neutral	"[TextBlock(text='True.\n\nKeeyyata kana keessatti, ""Garuu waa\'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta\'e addaan qoodamanii turan"" jedha. Kana jechuun waa\'ee hojii maasii fi hojii manaa eenyutu hojjechuu akka qabu irratti waliigaluu hin dandeenye jechuudha. Kanaafuu deebiin ""True"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.\nQuestion: Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye. True, False, or Neither?\nAnswer:""}]}]"
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Ijoolleen isaanii hundi lubbuun hafan.	contradiction	"[TextBlock(text=""False.\n\nSababni isaas, dubbiin armaan olii akka ibsutti, ijoollee shan keessaa tokko du'eera. Kanaafuu, ijoolleen isaanii hundi lubbuun hin jiran. Tokko isaanii du'uu isaa dubbiin armaan olii ifatti ibseera."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Ijoolleen isaanii hundi lubbuun hafan. True, False, or Neither?\nAnswer:""}]}]"
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Shanan keessaa daa'imni tokko du'eera.	entailment	"[TextBlock(text='True.\n\nYaadni armaan olii akka ibsutti, namni kun ijoollee shan qaba ture, isaan keessaa tokko du\'eera. Kanaafuu, ""Shanan keessaa daa\'imni tokko du\'eera"" jechuun deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Shanan keessaa daa'imni tokko du'eera. True, False, or Neither?\nAnswer:""}]}]"
Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.	Mucaan du'e dhukkubsataa isaatu dhalate.	neutral	"[TextBlock(text='Neither.\n\nSababni isaas, yaanni kenname odeeffannoo gahaa hin qabu kan mucaan du\'e dhukkubsataa isaatu dhalate moo miti kan jedhu ibsuuf. Odeeffannoon kenname mucaan tokko du\'uu isaa qofa ibsa malee sababni du\'aa isaa maal akka ta\'e hin ibsu. Kanaafuu, deebiin ""True"" ykn ""False"" kennuuf odeeffannoo gahaa hin qabnuu jechuudha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.\nQuestion: Mucaan du'e dhukkubsataa isaatu dhalate. True, False, or Neither?\nAnswer:""}]}]"
Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.	Akkuma barandaa ol ba'uu itti himtu imimmaan ija ishee irraa calalaan.	entailment	"[TextBlock(text=""Neither.\n\nSababni isaas:\nDubbiin kun imimmaan ija ishee irraa gadi dhufaa akka turan dubbata. Garuu imimmaan ija ishee irraa calalaan akka gadi dhufan hin ibsu. Kana malees, imimmaan erga gadi dhufe booda barandaa ol akka ba'e dubbata malee imimmaan barandaa ol ba'uu itti akka calalaa hin ibsu. Kanaaf deebiin 'Neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.\nQuestion: Akkuma barandaa ol ba'uu itti himtu imimmaan ija ishee irraa calalaan. True, False, or Neither?\nAnswer:""}]}]"
Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.	Joo barandaa irraa erga buuftee booda daftee imimmaan ishee haxaa'atte.	contradiction	"[TextBlock(text=""Neither. Dubbiin kenname hin ibsu Joon barandaa irraa buutee imimmaan ishee haxaa'atte ykn hin haxaa'anne. Dubbiin kenname Joon imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda barandaa irratti ol akka dhufte qofa ibsa."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.\nQuestion: Joo barandaa irraa erga buuftee booda daftee imimmaan ishee haxaa'atte. True, False, or Neither?\nAnswer:""}]}]"
