Unnamed: 0,premise,hypothesis,label,output
37,General Clem Francis is retiring from the U.S. Air Force.,The chief recently retired a few weeks ago,neutral,Neutral
38,General Clem Francis is retiring from the U.S. Air Force.,The Chief of Staff of the U.S. Army has resigned this week.,contradiction,Neutral
39,The bus came to a place where there were two or three flights a week and I didn't know where they were going.,More than one plane arrives each week.,entailment,Entailment
40,The bus came to a place where there were two or three flights a week and I didn't know where they were going.,The future of aviation is a blank canvas.,neutral,Neutral
41,The bus came to a place where there were two or three flights a week and I didn't know where they were going.,No planes are arriving.,contradiction,Contradiction
42,And they already had their practice in the high tension suit and it took me a while if you're going for the full tension suit.,It takes three months to complete training on the use of a full pressure suit.,neutral,Neutral
43,And they already had their practice in the high tension suit and it took me a while if you're going for the full tension suit.,Training to use a full pressure suit takes time.,entailment,Entailment
44,And they already had their practice in the high tension suit and it took me a while if you're going for the full tension suit.,We could teach you to use a full pressure suit at the end of the day.,contradiction,Neutral
45,"I want to say that there was no danger of entering with the bomb because it cannot explode, despite the fact that it would fall to the ground.",The bomb had been defused by the pilot.,neutral,Contradiction
46,"I want to say that there was no danger of entering with the bomb because it cannot explode, despite the fact that it would fall to the ground.",The bomb had no chance of exploding.,entailment,Entailment
47,"I want to say that there was no danger of entering with the bomb because it cannot explode, despite the fact that it would fall to the ground.",There was a high risk of an explosion.,contradiction,Contradiction
48,And how exactly does it resemble what I'm trying to do.,I'm not sure what this looks like to you.,contradiction,Neutral
49,And how exactly does it resemble what I'm trying to do.,"I'm trying to do this, obviously.",entailment,Contradiction
50,And how exactly does it resemble what I'm trying to do.,I'm trying to finish my project next week.,neutral,Neutral
51,"But still, the animals would always be free, especially the goats.",The goat escaped when he was tied up every day.,neutral,Contradiction
52,"But still, the animals would always be free, especially the goats.",The goats escaped repeatedly.,entailment,Contradiction
53,"But still, the animals would always be free, especially the goats.",The goats were kept safe.,contradiction,Neutral.
54,The doors were locked when we entered.,All the doors were open.,contradiction,Contradiction
55,The doors were locked when we entered.,We had the keys with us.,neutral,Neutral
56,The doors were locked when we entered.,We entered even though the doors were locked.,entailment,Entailment
57,So I just had to take the big picture and try and see it that way.,I feel hopeful that the summary is all I need to solve this.,neutral,Neutral
58,So I just had to take the big picture and try and see it that way.,I have no idea what to do with the summary only please give me more details to solve this mess.,contradiction,Contradiction
59,So I just had to take the big picture and try and see it that way.,I'm going to calculate on a gross basis.,entailment,Neutral
60,Many are attributed to the fact that the biological mother is a drug addict.,Their mothers are drug addicts.,neutral,Entailment
61,Many are attributed to the fact that the biological mother is a drug addict.,The mother doesn't use any prescription medication or drugs,contradiction,Contradiction
62,Many are attributed to the fact that the biological mother is a drug addict.,The mothers use drugs.,entailment,Entailment
63,It's so good that it's been raining.,I don't care about the rain.,neutral,Contradiction
64,It's so good that it's been raining.,It is beautiful and watering.,entailment,Neutral.
65,It's so good that it's been raining.,The sun's rays are threatening to disappear.,contradiction,Contradiction
66,About the instinct of the human heart and whether it can correct a person.,All life needs to be rearranged and given a second chance.,neutral,Neutral
67,About the instinct of the human heart and whether it can correct a person.,No human deserves to be corrected.,contradiction,Contradiction
68,About the instinct of the human heart and whether it can correct a person.,Regardless of what repairs life is worth.,entailment,Neutral.
69,"Man, you've got a special way of doing things.",I've never seen a wiring problem like this.,neutral,Neutral
70,"Man, you've got a special way of doing things.",The text is not the argument.,contradiction,Neutral
71,"Man, you've got a special way of doing things.",There is a problem caused by this unusual network.,entailment,Neutral
72,"It seems like so much fun, it's amazing to me how many things they allowed.",I was not at all surprised by their compassion.,contradiction,Contradiction
73,"It seems like so much fun, it's amazing to me how many things they allowed.","To my surprise, they let me eat and drink inside.",neutral,Neutral.
74,"It seems like so much fun, it's amazing to me how many things they allowed.",I wonder what they can do without being asked.,entailment,Neutral
75,"Oh, but anyway, my kids are now twenty and twenty-four, so I don't need",I don't need to because my children are in their twenties.,entailment,Entailment
76,"Oh, but anyway, my kids are now twenty and twenty-four, so I don't need",I may have to because they've been together for years.,neutral,Contradiction
77,"Oh, but anyway, my kids are now twenty and twenty-four, so I don't need",It must now be as old as wood and wood and one all.,contradiction,Neutral
78,They're people who can be employed at any time or whose decisions can be closed if they had to make a decision.,"Yes, people who can't make good decisions.",entailment,Contradiction
79,They're people who can be employed at any time or whose decisions can be closed if they had to make a decision.,"Yes, people who are not hungry.",neutral,Neutral
80,They're people who can be employed at any time or whose decisions can be closed if they had to make a decision.,"Yes, men whose sound judgment has never been called into question.",contradiction,Contradiction
81,"No, they're still, they're still on tour. They've been on tour since the late 1960s.",They have been observing it since 1970.,entailment,Neutral
82,"No, they're still, they're still on tour. They've been on tour since the late 1960s.",They love the visit,neutral,Neutral.
83,"No, they're still, they're still on tour. They've been on tour since the late 1960s.",They had just finished their tour.,contradiction,Contradiction
84,What would you do?,Can you explain how to do aerobics?,entailment,Contradiction
85,What would you do?,I am drawn to aerobics because I need cardiovascular exercise.,neutral,Neutral
86,What would you do?,Please stop talking about exercise.,contradiction,Contradiction
87,"That's good. That's good. I hadn't thought about that, yeah.",That's a dumb idea that I gave up on last week.,contradiction,Contradiction
88,"That's good. That's good. I hadn't thought about that, yeah.",That is a good step.,entailment,Entailment
89,"That's good. That's good. I hadn't thought about that, yeah.",The unit you mention is a good step.,neutral,Neutral
90,A two-day service two days a week they call it a day care for the village elders but he goes to the senior citizen center,The day care is open every day for children under the age of five only.,contradiction,Contradiction
91,A two-day service two days a week they call it a day care for the village elders but he goes to the senior citizen center,They allow them to go more than twice a week as long-term citizens demand.,neutral,Contradiction
92,A two-day service two days a week they call it a day care for the village elders but he goes to the senior citizen center,They say it's like a senior day service but it's called a senior center.,entailment,Entailment
93,That was their goal!,That is what they were longing for.,entailment,Entailment
94,That was their goal!,This was never what they wanted.,contradiction,Contradiction
95,That was their goal!,They succeeded.,neutral,Neutral
96,Preventing the use of guns means using both hands.,Half of all gun mistakes are due to one-handed use.,neutral,Contradiction
97,Preventing the use of guns means using both hands.,The best way to control a gun is to use both feet.,contradiction,Contradiction
98,Preventing the use of guns means using both hands.,Use both hands if you want to learn how to handle a gun.,entailment,Contradiction
99,"It happens somewhere, but I don't know exactly where it happens.",I don't know where it happened but it's fast.,entailment,Neutral
100,"It happens somewhere, but I don't know exactly where it happens.",It's coming fast but I know where it might be coming from.,neutral,Contradiction
101,"It happens somewhere, but I don't know exactly where it happens.",It comes like sugar and I know when it comes,contradiction,Contradiction
102,No. I don't think I know him well at all.,I don't know any more about it.,entailment,Neutral
103,No. I don't think I know him well at all.,I have no experience in matters of love.,neutral,Neutral.
104,No. I don't think I know him well at all.,I've been reading for years.,contradiction,Neutral
105,"Yes, he was wonderful, don't you know him.",I think she knows that she was attractive.,neutral,Neutral
106,"Yes, he was wonderful, don't you know him.",No. He was bad.,contradiction,Contradiction
107,"Yes, he was wonderful, don't you know him.","Yes, he was very nice.",entailment,Entailment
108,"Yes, he gave the idea to find out uh um how you would use it.",He suggested buying a stork.,contradiction,Contradiction
109,"Yes, he gave the idea to find out uh um how you would use it.",He suggested finding a deck.,entailment,Contradiction
110,"Yes, he gave the idea to find out uh um how you would use it.",He wants to drain the blood with a sieve.,neutral,Contradiction
111,It's bad out there. We had a shooting three blocks from our house.,The shooting was about a hundred miles from where I live.,contradiction,Contradiction
112,It's bad out there. We had a shooting three blocks from our house.,"Bullets were growing around my house, and now I'm afraid to go outside.",neutral,Contradiction
113,It's bad out there. We had a shooting three blocks from our house.,"There was a shooting near my house, this area is not good.",entailment,Entailment
114,It's true not consistent,"I disagree with you, it's too solid.",contradiction,Contradiction
115,It's true not consistent,I think you may be right about his balance.,neutral,Neutral
116,It's true not consistent,You're right about this asymmetry thing.,entailment,Contradiction
117,I'm just trying to hang in there.,I try to be patient.,entailment,Neutral
118,I'm just trying to hang in there.,I'm really doing my best.,neutral,Neutral.
119,I'm just trying to hang in there.,I will give up and never look back.,contradiction,Contradiction
120,We will open our door to the future of technology.,We are building vital precursors for a technologically advanced future.,entailment,Entailment
121,We will open our door to the future of technology.,"We're building transistors, so our future state will be enforced by AI.",neutral,Neutral
122,We will open our door to the future of technology.,We want to prevent technology from failing.,contradiction,Contradiction
123,"For example, at the highest level, all genes turn purple.","At most, only half of the genes can change to purple.",contradiction,Contradiction
124,"For example, at the highest level, all genes turn purple.",It is possible for genes to change color.,entailment,Entailment
125,"For example, at the highest level, all genes turn purple.",Sometimes the gene can turn blue as well.,neutral,Contradiction
126,Daniel Yamins is a young mathematician.,Mr. Yamins is good at math.,entailment,Neutral
127,Daniel Yamins is a young mathematician.,Mr. Yasmin's focus is on algebraic geometry.,neutral,Neutral
128,Daniel Yamins is a young mathematician.,Mr. Yasim is a good artist but a terrible mathematician,contradiction,Contradiction
129,"And if so, are they often near those borders?",I know they've never traveled near borders.,contradiction,Contradiction
130,"And if so, are they often near those borders?","I want to know, are they often in England?",neutral,Neutral.
131,"And if so, are they often near those borders?",The speaker wanted an explanation as to how often they approached the border.,entailment,Contradiction
132,"And there's, I think, a molecular clue that the nature reserve is continuing to engage with governance that can be extended to a broader set of lineages.",The climate itself is very changeable.,entailment,Neutral
133,"And there's, I think, a molecular clue that the nature reserve is continuing to engage with governance that can be extended to a broader set of lineages.",The biosphere shifts with the temperature.,neutral,Neutral
134,"And there's, I think, a molecular clue that the nature reserve is continuing to engage with governance that can be extended to a broader set of lineages.",The climate hasn't changed.,contradiction,Neutral
135,"At this point, the average cell cannot store much information.",Regular crystals are among the most sophisticated information storage systems.,contradiction,Contradiction
136,"At this point, the average cell cannot store much information.",Ordinary crystals are not essential for obtaining information.,entailment,Neutral
137,"At this point, the average cell cannot store much information.",Other types of particles are especially useful in analyzing geographic information using laser beams.,neutral,Neutral
138,"Hence, adults do not need to teach preschoolers to pretend, as they do when helping them with puzzles or other similar tasks.",Kindergarteners are better at solving puzzles than they are at role-playing.,contradiction,Contradiction
139,"Hence, adults do not need to teach preschoolers to pretend, as they do when helping them with puzzles or other similar tasks.",Elementary school students don't need much help learning how to do it.,entailment,Neutral
140,"Hence, adults do not need to teach preschoolers to pretend, as they do when helping them with puzzles or other similar tasks.",Preschoolers don't have the necessary atmosphere to master puzzles themselves.,neutral,Contradiction
141,[This country has been] born in Liberty and dedicated to the proposition that all men are created equal.,Comments on this recommendation were recorded in several supplementary documents,neutral,Neutral
142,[This country has been] born in Liberty and dedicated to the proposition that all men are created equal.,Others believed that all people are equal.,entailment,Entailment
143,[This country has been] born in Liberty and dedicated to the proposition that all men are created equal.,This nation was built on the belief that some people are more equal than others.,contradiction,Contradiction
144,Should I praise him more?,I'm sure I need to beat him up for his failure.,contradiction,Contradiction
145,Should I praise him more?,I wonder if he needs more thanks from me.,entailment,Entailment
146,Should I praise him more?,Should I praise him more for his performance on the piano?,neutral,Neutral
147,Theories of the Internet can be formulated in different dimensions.,Other measurements can be used to construct spin network theories.,entailment,Neutral
148,Theories of the Internet can be formulated in different dimensions.,Spin networks are very important for data storage technologies.,neutral,Neutral
149,Theories of the Internet can be formulated in different dimensions.,Weaving nets cannot be thought of in any other way.,contradiction,Contradiction
150,"(In anger) No, no, I don't want you to die!",I don't want you to die!,entailment,Entailment
151,"(In anger) No, no, I don't want you to die!",I don't care if you die!,contradiction,Contradiction
152,"(In anger) No, no, I don't want you to die!",How sad I would be if you were to die!,neutral,Entailment
153,"He was publicly hanged on March 19, 1875, in San Jose, California.",California was openly carrying out executions until 1875.,entailment,Entailment
154,"He was publicly hanged on March 19, 1875, in San Jose, California.",He was bribed of all his faults and told to go away.,contradiction,Contradiction
155,"He was publicly hanged on March 19, 1875, in San Jose, California.",He was hanged for sedition and horse theft.,neutral,Neutral
156,"Under the reign of chaos, the sea of glittering green shrinks.",The sea was deep blue and smooth as glass.,contradiction,Contradiction
157,"Under the reign of chaos, the sea of glittering green shrinks.",The sea was full of small fish that gambled.,neutral,Neutral
158,"Under the reign of chaos, the sea of glittering green shrinks.",The sea was green and seemed to foam.,entailment,Neutral.
159,The new legal system wanted to clear its way out of the turmoil of the 1860's.,By the 1870s the entire legal system was collapsing and the country was in complete chaos.,contradiction,Contradiction
160,The new legal system wanted to clear its way out of the turmoil of the 1860's.,The 1860's were a dreadful time.,entailment,Entailment
161,The new legal system wanted to clear its way out of the turmoil of the 1860's.,The new legal system hopes to expand the rights of workers.,neutral,Neutral
162,"Any kind of higher thinking, he said, is reflected in social interaction, between the child and representatives of his culture as they work together.",Children cannot share the higher forms of thinking.,contradiction,Contradiction
163,"Any kind of higher thinking, he said, is reflected in social interaction, between the child and representatives of his culture as they work together.",Fishing is one activity that is done by different cultures.,neutral,Neutral
164,"Any kind of higher thinking, he said, is reflected in social interaction, between the child and representatives of his culture as they work together.",Sharing routine activities is sometimes beneficial for sharing higher forms of thinking.,entailment,Neutral.
165,"Some villages had spiritual ministers, spiritual leaders who led the community in prayer for funerals, feasts of saints and whenever a priest was not available",There were no nonpriestly spiritual leaders in the streets.,contradiction,Contradiction
166,"Some villages had spiritual ministers, spiritual leaders who led the community in prayer for funerals, feasts of saints and whenever a priest was not available",Other villages had spiritual leaders who were not priests.,entailment,Entailment
167,"Some villages had spiritual ministers, spiritual leaders who led the community in prayer for funerals, feasts of saints and whenever a priest was not available",Some of the religious leaders had black hair.,neutral,Neutral
168,"In social play, opportunities to work and coordinate different roles may help children to understand the similarities and differences between people in desires, beliefs, and feelings.",Children can learn how people are similar and different.,entailment,Entailment
169,"In social play, opportunities to work and coordinate different roles may help children to understand the similarities and differences between people in desires, beliefs, and feelings.",Children can see how different families are.,neutral,Neutral
170,"In social play, opportunities to work and coordinate different roles may help children to understand the similarities and differences between people in desires, beliefs, and feelings.",Children cannot learn anything.,contradiction,Contradiction
171,"The high quality of Germany's postwar constitutional order, then, was the greatest casualty of the Nazi regime.",The Nazi regime allowed it.,contradiction,Contradiction
172,"The high quality of Germany's postwar constitutional order, then, was the greatest casualty of the Nazi regime.",The Nazi regime executed everyone involved.,neutral,Contradiction
173,"The high quality of Germany's postwar constitutional order, then, was the greatest casualty of the Nazi regime.",The Nazi regime put an end to it.,entailment,Entailment
174,Sonja's baby began to imitate her daughter's cries.,No one was having a tantrum.,contradiction,Contradiction
175,Sonja's baby began to imitate her daughter's cries.,Sonja is a child.,entailment,Contradiction
176,Sonja's baby began to imitate her daughter's cries.,Sonja was furious.,neutral,Neutral
177,"In the fifty-five years leading up to the civil war, the Court used this power very sparingly.",The courts were using this power in the years leading up to the civil war.,entailment,Entailment
178,"In the fifty-five years leading up to the civil war, the Court used this power very sparingly.",The Court exercised this authority four times over a period of fifty-five years prior to the civil war.,neutral,Entailment
179,"In the fifty-five years leading up to the civil war, the Court used this power very sparingly.",The Court exercised this authority 5 million times in the fifty-five years leading up to the civil war.,contradiction,Contradiction
180,"I assure you, sir, that I had full knowledge of all.",I tell you that I was informed of everything.,entailment,Entailment
181,"I assure you, sir, that I had full knowledge of all.",It was the death of the detective I got the message about.,neutral,Contradiction
182,"I assure you, sir, that I had full knowledge of all.",There are many details hidden from me.,contradiction,Contradiction
183,Sounds distracted Captain Blood from his bitter reflections.,Captain Blood was able to think without being disturbed.,contradiction,Contradiction
184,Sounds distracted Captain Blood from his bitter reflections.,Captain Blood's thoughts are interrupted by noise.,entailment,Entailment
185,Sounds distracted Captain Blood from his bitter reflections.,The captain was roused from his dreams by the howling of a dog.,neutral,Neutral.
186,"But I will never forget that when I was no better than a slave in your uncle's house in Barbados, you treated me with some kindness.",You treated me well when I was a slave in Barbados.,entailment,Entailment
187,"But I will never forget that when I was no better than a slave in your uncle's house in Barbados, you treated me with some kindness.",You have been very cruel to me and have made me worse than the sand.,contradiction,Contradiction
188,"But I will never forget that when I was no better than a slave in your uncle's house in Barbados, you treated me with some kindness.",Your uncle beat me badly every day when he owned me.,neutral,Contradiction
189,"There, no more than three miles away, was the land - an uneven wall of green expanses that filled the western horizon.",A lot of scenery had been revealed.,entailment,Entailment
190,"There, no more than three miles away, was the land - an uneven wall of green expanses that filled the western horizon.",The island they approached was uninhabited.,neutral,Neutral
191,"There, no more than three miles away, was the land - an uneven wall of green expanses that filled the western horizon.","They could see no land for miles, only the endless sea.",contradiction,Contradiction
192,"I am the King's emissary to these under-explored regions, and a close relative of Lord Sunderland.","Her king has envoys, and I am one of them.",entailment,Entailment
193,"I am the King's emissary to these under-explored regions, and a close relative of Lord Sunderland.",The Almighty sent me here about a week ago.,neutral,Contradiction
194,"I am the King's emissary to these under-explored regions, and a close relative of Lord Sunderland.",I don't take orders from a superior.,contradiction,Contradiction
195,"You demanded me -- or I thought I did, he said.",He did not feel that he owed you anything.,contradiction,Neutral.
196,"You demanded me -- or I thought I did, he said.",He owes you for the help you gave him as a penniless beggar.,neutral,Neutral
197,"You demanded me -- or I thought I did, he said.",He thought you owed him something.,entailment,Neutral.
198,I should have known better than to come so close to Jamaica at night.,I traveled near Jamaica after sunset.,entailment,Entailment
199,I should have known better than to come so close to Jamaica at night.,I went to Jamaica on a big boat.,neutral,Neutral
200,I should have known better than to come so close to Jamaica at night.,My wife and I arrived in Jamaica in the afternoon.,contradiction,Contradiction
201,Thoughts of blood were here and there as he rested in bed.,Blood flowed in a mysterious dream on his daybed.,contradiction,Neutral.
202,Thoughts of blood were here and there as he rested in bed.,"She was lying on the ground, dripping with blood.",entailment,Neutral
203,Thoughts of blood were here and there as he rested in bed.,Blood grew up thinking about the last time he saw his mother.,neutral,Contradiction
204,"Indeed, they will tell you.","All right all right, I'll tell you about it.",entailment,Contradiction
205,"Indeed, they will tell you.",I won't say a word to you.,contradiction,Contradiction
206,"Indeed, they will tell you.",It's only because you promised not to repeat what I'm telling you.,neutral,Contradiction
207,And how could that be?,A man asks which way he should go.,entailment,Contradiction
208,And how could that be?,The questioner is alone and there is no one around to comment,contradiction,Neutral
209,And how could that be?,The inquirer is in a hurry to find out right now which way to go.,neutral,Neutral
210,I do not easily sweep the king's park.,Giving the king's commission permission is against my morals.,neutral,Neutral
211,I do not easily sweep the king's park.,I have given serious thought to the king's service.,entailment,Neutral
212,I do not easily sweep the king's park.,I signed an order to hand over the commission to the king without a second thought.,contradiction,Neutral.
213,He realized that he could escape quickly.,He realized that he had a whole day to rest.,contradiction,Contradiction
214,He realized that he could escape quickly.,He realized that he had to make a decision quickly.,entailment,Neutral
215,He realized that he could escape quickly.,He would stay in one place where he could be found.,neutral,Contradiction
216,"Yet he had been doing what he had been doing for the past three years, he said, but he said it sadly now, without his former contempt.",He did not like that he had killed so many people in the past three years.,neutral,Neutral
217,"Yet he had been doing what he had been doing for the past three years, he said, but he said it sadly now, without his former contempt.",he spoke with enthusiasm about his feelings and his personality.,contradiction,Contradiction
218,"Yet he had been doing what he had been doing for the past three years, he said, but he said it sadly now, without his former contempt.",He spoke in a sad tone of voice.,entailment,Entailment
219,I think that's after the fashion of your kind.,I think your peers do this.,entailment,Entailment
220,I think that's after the fashion of your kind.,"I've read about your kind, and their culture.",neutral,Neutral
221,I think that's after the fashion of your kind.,I take it this is unusual for your kind.,contradiction,Contradiction
222,The rubbing of the face rubbed off his forehead.,A broad smile spread across his face.,contradiction,Contradiction
223,The rubbing of the face rubbed off his forehead.,He had a feeling of sickness in his stomach.,neutral,Neutral
224,The rubbing of the face rubbed off his forehead.,There was a brilliant sucking juiciness on his face.,entailment,Contradiction
225,"He had looked at her with glowing eyes, but when he saw her bewildered, wounded and surprised face, his countenance changed.",Her countenance changed when she saw his face.,entailment,Contradiction
226,"He had looked at her with glowing eyes, but when he saw her bewildered, wounded and surprised face, his countenance changed.",His face lit up when he saw her frown.,contradiction,Contradiction
227,"He had looked at her with glowing eyes, but when he saw her bewildered, wounded and surprised face, his countenance changed.",She didn't know if he was mad at her.,neutral,Neutral
228,"As he walked leisurely, he climbed up a circular wall, and through large doors into the courtyard.","Since the main doors were locked, he jumped over the fence and entered the courtyard.",contradiction,Contradiction
229,"As he walked leisurely, he climbed up a circular wall, and through large doors into the courtyard.",The main gate was the only entrance to the courtyard.,neutral,Contradiction
230,"As he walked leisurely, he climbed up a circular wall, and through large doors into the courtyard.",There was a large gate leading to the garden.,entailment,Neutral
231,"You will fall on the gallows, of course, he said contemptuously.",He thought the sentence would be hanging.,entailment,Entailment
232,"You will fall on the gallows, of course, he said contemptuously.",He was an officer who had caught a thief.,neutral,Neutral.
233,"You will fall on the gallows, of course, he said contemptuously.",He whispered a way out of the country to avoid prison.,contradiction,Contradiction
234,How could I honestly stop them? It was in the agreement.,I couldn't bring myself to hold those,entailment,Neutral
235,How could I honestly stop them? It was in the agreement.,I caught them as soon as I saw them.,contradiction,Contradiction
236,How could I honestly stop them? It was in the agreement.,"I can't forgive myself, if I had stopped them.",neutral,Contradiction
237,I've been hunting him this year and last.,I've been following him for almost a year without him noticing.,neutral,Neutral
238,I've been hunting him this year and last.,I've been following him for about a week now.,contradiction,Contradiction
239,I've been hunting him this year and last.,"For most of the year, I've been sneaking up on him.",entailment,Neutral
240,Museums were not fixed on lists or labels,These garments do not like to be written on.,neutral,Neutral
241,Museums were not fixed on lists or labels,The museum is not a fan of leaflets.,entailment,Neutral.
242,Museums were not fixed on lists or labels,A powerful feature of the museum is its catalogue.,contradiction,Contradiction
243,These open-air markets in Beijing are also a great place to shop.,Beijing has open-air markets that include some of the most attractive shops.,entailment,Entailment
244,These open-air markets in Beijing are also a great place to shop.,Beijing's many open-air markets are a delight to the world.,neutral,Neutral
245,These open-air markets in Beijing are also a great place to shop.,Beijing's strict laws restrict open markets within the city limits.,contradiction,Contradiction
246,"The larger sea of the northwest coast makes for a good harbor, but both the water and the coast can be polluted.",The water and the beach are always clean.,contradiction,Contradiction
247,"The larger sea of the northwest coast makes for a good harbor, but both the water and the coast can be polluted.",The water and the beach itself may be polluted.,entailment,Entailment
248,"The larger sea of the northwest coast makes for a good harbor, but both the water and the coast can be polluted.",Water is polluted because of pollution.,neutral,Entailment
249,"These huge buildings are banks, and the road along which they stand has been named the Milla de Oro, or Golden Mile.",No towers in the Golden Mile are banks,contradiction,Contradiction
250,"These huge buildings are banks, and the road along which they stand has been named the Milla de Oro, or Golden Mile.",The buildings surrounding the Golden Mile are a bank.,entailment,Contradiction
251,"These huge buildings are banks, and the road along which they stand has been named the Milla de Oro, or Golden Mile.","The skyscrapers on the Golden Mile are home to a variety of businesses, including banks.",neutral,Neutral
252,The true nature of Britain's involvement in the second world war began with a Commonwealth Air training program using safe Canadian airspace to prepare pilots for war.,Canada had safe airspace.,entailment,Entailment
253,The true nature of Britain's involvement in the second world war began with a Commonwealth Air training program using safe Canadian airspace to prepare pilots for war.,The Canadian skies were free from the nails.,neutral,Neutral.
254,The true nature of Britain's involvement in the second world war began with a Commonwealth Air training program using safe Canadian airspace to prepare pilots for war.,Canada's airspace became increasingly dangerous.,contradiction,Contradiction
255,"They remain patient and supportive, even though they know the beauty of the coast is no longer theirs.",They have a lot of resentment toward everyone because they have to share the price.,contradiction,Contradiction
256,"They remain patient and supportive, even though they know the beauty of the coast is no longer theirs.",They should share the beach with others now.,entailment,Contradiction
257,"They remain patient and supportive, even though they know the beauty of the coast is no longer theirs.",They owned five hundred miles of coastline.,neutral,Contradiction
258,"Kublai Khan built his capital in 1279 on the shores of Beijing's Beihai Lake, where his royal treasures still stand today.",Kublai Khan founded the capital of Taiwan.,contradiction,Contradiction
259,"Kublai Khan built his capital in 1279 on the shores of Beijing's Beihai Lake, where his royal treasures still stand today.",Kublai Khan has a treasure in Beijing.,entailment,Entailment
260,"Kublai Khan built his capital in 1279 on the shores of Beijing's Beihai Lake, where his royal treasures still stand today.",Kublai Khan was a highly respected man.,neutral,Neutral
