Unnamed: 0,premise,hypothesis,label,output
27,"I mean, they only had five kids, one of whom died.",All their children survived.,contradiction,Contradiction
28,"I mean, they only had five kids, one of whom died.",One out of every five children died.,entailment,Contradiction.
29,"I mean, they only had five kids, one of whom died.",The child who died was born sick.,neutral,Neutral
30,"She said there were just tears coming down from her eyes and she said, then she said that Joe came on the porch.","As she said she was going up the porch, she had tears in her eyes.",entailment,Contradiction
31,"She said there were just tears coming down from her eyes and she said, then she said that Joe came on the porch.",She quickly wiped away her tears after throwing Joe off the porch.,contradiction,Contradiction
32,"She said there were just tears coming down from her eyes and she said, then she said that Joe came on the porch.",She was so happy to see Joe that she started crying.,neutral,Neutral.
33,"Even if the plane was on fire, why would it, uh, burn and melt through a lead component so the radiation could escape?",Radiation can also be contained during a fire.,neutral,Contradiction
34,"Even if the plane was on fire, why would it, uh, burn and melt through a lead component so the radiation could escape?",Radiation would have escaped from a lead component after the plane caught fire.,entailment,Contradiction
35,"Even if the plane was on fire, why would it, uh, burn and melt through a lead component so the radiation could escape?",Radiation wouldn't leak in a fire.,contradiction,Contradiction
36,"This is Chief Master Sergeant Clem Francis, retired from the U.S. Air Force.",The chief is retired from the U.S. Air Force.,entailment,Entailment
37,"This is Chief Master Sergeant Clem Francis, retired from the U.S. Air Force.",The chief recently retired a few weeks ago.,neutral,Contradiction
38,"This is Chief Master Sergeant Clem Francis, retired from the U.S. Air Force.",The chief of staff of the U.S. Air Force just started his career this week.,contradiction,Contradiction
39,"Well, it got to the point where two or three planes came in a week and I didn't know where they were flying.",More than one plane arrives every week.,entailment,Entailment
40,"Well, it got to the point where two or three planes came in a week and I didn't know where they were flying.",Increased air traffic is annoying.,neutral,Neutral
41,"Well, it got to the point where two or three planes came in a week and I didn't know where they were flying.",There's never any planes coming.,contradiction,Contradiction
42,They'd already had their training for the pressurized suits and it took me a while if you put on a full pressurized suit.,It takes up to three months to finish learning how to use a full spacesuit.,neutral,Neutral.
43,They'd already had their training for the pressurized suits and it took me a while if you put on a full pressurized suit.,Training to use a full pressure suit takes a long time.,entailment,Entailment
44,They'd already had their training for the pressurized suits and it took me a while if you put on a full pressurized suit.,We could train you to use a pressure suit by the end of the day.,contradiction,Contradiction
45,"I mean, there was no danger going inside with the bomb because it wouldn't have exploded, no matter how hard it hit the ground.",The bomb had been defused by the pilot.,neutral,Contradiction
46,"I mean, there was no danger going inside with the bomb because it wouldn't have exploded, no matter how hard it hit the ground.",The bomb had no chance of exploding.,entailment,Entailment
47,"I mean, there was no danger going inside with the bomb because it wouldn't have exploded, no matter how hard it hit the ground.",There was a high risk that the bomb would explode.,contradiction,Contradiction
48,And how that sounds exactly like what I'm trying to do.,I don't know what it's like for you.,contradiction,Contradiction
49,And how that sounds exactly like what I'm trying to do.,"I'm trying to do that, obviously.",entailment,Entailment
50,And how that sounds exactly like what I'm trying to do.,I'm trying to finish my project next week.,neutral,Neutral
51,"But anyway, the animals would run away all the time, especially the goats.",The goats escaped from the barn every day.,neutral,Entailment
52,"But anyway, the animals would run away all the time, especially the goats.",The goats often escaped.,entailment,Entailment
53,"But anyway, the animals would run away all the time, especially the goats.",The goats have been kept safe and sound.,contradiction,Contradiction
54,The doors were locked when we came in.,All the doors were open.,contradiction,Contradiction
55,The doors were locked when we came in.,We had the keys with us.,neutral,Neutral.
56,The doors were locked when we came in.,We went in even though the doors were locked.,entailment,Contradiction
57,"So, I just had to take the totals and try to graph them.",I'm confident in the fact that I only need to find the totals to solve this.,neutral,Contradiction
58,"So, I just had to take the totals and try to graph them.",I have no idea what to do with the totals please give me more details to understand this chaos.,contradiction,Contradiction
59,"So, I just had to take the totals and try to graph them.",I'll calculate it based on the results.,entailment,Neutral
60,And this is largely due to the fact that mothers take drugs.,The mothers are drug addicts.,neutral,Contradiction
61,And this is largely due to the fact that mothers take drugs.,The mothers don't have prescriptions or medication.,contradiction,Contradiction
62,And this is largely due to the fact that mothers take drugs.,The mothers are on drugs.,entailment,Entailment
63,"Yes, it's really pretty, did it rain?",The rain doesn't bother me.,neutral,Neutral
64,"Yes, it's really pretty, did it rain?",It's beautiful and rainy.,entailment,Neutral
65,"Yes, it's really pretty, did it rain?",It's so horrible with the endless sun.,contradiction,Contradiction
66,oh what is the value of human life and whether you can rehabilitate someone or not,All lives are worth going to rehab and getting a second chance.,neutral,Contradiction
67,oh what is the value of human life and whether you can rehabilitate someone or not,No human being deserves to be rehabilitated.,contradiction,Contradiction
68,oh what is the value of human life and whether you can rehabilitate someone or not,"Regardless of rehabilitation, life is worth living.",entailment,Neutral
69,You have a serious problem with your thinking.,I've never seen this kind of wiring problem before.,neutral,Neutral
70,You have a serious problem with your thinking.,The wiring isn't the problem.,contradiction,Contradiction
71,You have a serious problem with your thinking.,There's a problem caused by this strange wiring.,entailment,Neutral
72,"It's very funny, yes. It's amazing what they can do.",I'm not at all surprised that they've been lenient.,contradiction,Neutral
73,"It's very funny, yes. It's amazing what they can do.",I'm surprised they let you take food and drinks in there.,neutral,Neutral.
74,"It's very funny, yes. It's amazing what they can do.",I'm surprised they got away with it.,entailment,Neutral.
75,"Oh, but anyway, my kids are 21 and 24 now, so I don't have to.",I don't need it because my kids are in their 20s.,entailment,Entailment
76,"Oh, but anyway, my kids are 21 and 24 now, so I don't have to.",I could have them because they're close in age.,neutral,Neutral
77,"Oh, but anyway, my kids are 21 and 24 now, so I don't have to.","I have to, since they're both ten and eleven.",contradiction,Contradiction
78,"Yes people who, who might be at work at any time or whose decisions might be clouded if they had to make a decision","Yeah, people who might not be able to make the best decisions.",entailment,Entailment
79,"Yes people who, who might be at work at any time or whose decisions might be clouded if they had to make a decision","Yeah, people who may not be hungry.",neutral,Neutral
80,"Yes people who, who might be at work at any time or whose decisions might be clouded if they had to make a decision","Yeah, people whose judgment is never impaired.",contradiction,Contradiction
81,"They're not here yet, they're always visiting, they've been traveling since the late sixties.",They've been on the road since 1970.,entailment,Entailment
82,"They're not here yet, they're always visiting, they've been traveling since the late sixties.",They love touring.,neutral,Entailment
83,"They're not here yet, they're always visiting, they've been traveling since the late sixties.",They just finished their tour.,contradiction,Contradiction
84,how would you do aerobics?,Can you explain to us how you did aerobics?,entailment,Neutral
85,how would you do aerobics?,I'm interested in aerobics because I need cardiovascular activity.,neutral,Neutral
86,how would you do aerobics?,Please stop talking about aerobics.,contradiction,Contradiction
87,"Well, she's the one, I hadn't thought of that, yeah.",It's a stupid idea that I rejected last week.,contradiction,Contradiction
88,"Well, she's the one, I hadn't thought of that, yeah.",That's a good point.,entailment,Entailment
89,"Well, she's the one, I hadn't thought of that, yeah.",The paradox you mention is a good point.,neutral,Neutral
90,"day care two days a week, they call it senior day, but she goes to the senior center.",The nursery is open every day for children under five years of age only.,contradiction,Contradiction
91,"day care two days a week, they call it senior day, but she goes to the senior center.",They let them out more than twice a week if the elderly agree.,neutral,Neutral
92,"day care two days a week, they call it senior day, but she goes to the senior center.","It's a nursing home for the elderly, but it's called the senior center.",entailment,Contradiction
93,That was their goal oh,That's what they tried to do.,entailment,Entailment
94,That was their goal oh,It was never what they wanted.,contradiction,Contradiction
95,That was their goal oh,They've achieved their goal.,neutral,Neutral
96,Gun control goes through both hands .,Half of all firearm failures result from one-handed use.,neutral,Neutral.
97,Gun control goes through both hands .,The best way to enforce gun control is to use both feet.,contradiction,Contradiction
98,Gun control goes through both hands .,You have to use both hands if you want to practice firearms.,entailment,Neutral
99,"and uh all of a sudden it's coming from somewhere, I don't know where it's coming from but","I don't know where it's coming from, but it's fast.",entailment,Neutral
100,"and uh all of a sudden it's coming from somewhere, I don't know where it's coming from but","It's coming fast, but I don't know where.",neutral,Neutral
101,"and uh all of a sudden it's coming from somewhere, I don't know where it's coming from but",It's coming like molasses and I know exactly when it's gonna happen.,contradiction,Contradiction
102,"No, actually I don't even know him, I don't think so.",I don't know much about it.,entailment,Neutral
103,"No, actually I don't even know him, I don't think so.",I am ignorant when it comes to love.,neutral,Neutral
104,"No, actually I don't even know him, I don't think so.",I've been studying it for several years.,contradiction,Contradiction
105,"Yeah , she was great . You know her .",I think she knows she was great.,neutral,Neutral
106,"Yeah , she was great . You know her .","No, she was horrible.",contradiction,Contradiction
107,"Yeah , she was great . You know her .","Yes, it was very good.",entailment,Neutral
108,"Yeah, he suggested we just take a, uh, mop like we would use.",He suggested we buy a vacuum cleaner.,contradiction,Contradiction
109,"Yeah, he suggested we just take a, uh, mop like we would use.",He suggested we find a mop.,entailment,Entailment
110,"Yeah, he suggested we just take a, uh, mop like we would use.",He wanted to clean up the blood with a mop.,neutral,Neutral
111,It's really not terrible around here. We just had a shooting on the highway three blocks from where we live.,The shooting took place at least 100 miles from my house.,contradiction,Contradiction
112,It's really not terrible around here. We just had a shooting on the highway three blocks from where we live.,The shooting took place near my home and scared me enough to keep me from going out.,neutral,Neutral
113,It's really not terrible around here. We just had a shooting on the highway three blocks from where we live.,"There's been a shooting near my house, it's really not good around here.",entailment,Entailment
114,Uh-huh it's true it's it's not really consistent,"I don't agree with you, it's very consistent.",contradiction,Contradiction
115,Uh-huh it's true it's it's not really consistent,I think you may be right about his consistency.,neutral,Contradiction
116,Uh-huh it's true it's it's not really consistent,You're right not to be consistent.,entailment,Neutral
117,I'm trying to hold on,I'm trying to hang on.,entailment,Entailment
118,I'm trying to hold on,I'm really doing the best I can.,neutral,Neutral
119,I'm trying to hold on,I'm gonna turn the page and never look back.,contradiction,Contradiction
120,We are framing our entry into the technological future.,We are building the necessary precursors to a technological future.,entailment,Entailment
121,We are framing our entry into the technological future.,"We're building transistors, so our future will be run by artificial intelligence.",neutral,Neutral
122,We are framing our entry into the technological future.,We want to stop the technology from succeeding.,contradiction,Contradiction
123,"For example, at most, all the genes turned purple.","At most, only half of the genes can turn purple.",contradiction,Contradiction
124,"For example, at most, all the genes turned purple.",It's possible that the genes change color.,entailment,Entailment
125,"For example, at most, all the genes turned purple.",Sometimes the genes can also turn blue.,neutral,Contradiction
126,Daniel Yamins is a brilliant young mathematician.,Mr. Yamins is excellent at math.,entailment,Entailment
127,Daniel Yamins is a brilliant young mathematician.,Mr. Yamins is focusing on algebraic geometry.,neutral,Neutral
128,Daniel Yamins is a brilliant young mathematician.,Mr. Yamins is a great artist but a lousy mathematician.,contradiction,Contradiction
129,"And if so, are they often near that border?",I know they never move near the border.,contradiction,Contradiction
130,"And if so, are they often near that border?","I want to know, are they often in England?",neutral,Neutral
131,"And if so, are they often near that border?",The speaker wanted to clarify how many times they had almost reached their limit.,entailment,Neutral
132,"And there is, I think, a molecular clue that the biosphere is being built up persistently in the survival mode for a spreading set of lineages.",The biosphere is changing tremendously.,entailment,Neutral.
133,"And there is, I think, a molecular clue that the biosphere is being built up persistently in the survival mode for a spreading set of lineages.",The biosphere changes with temperature.,neutral,Neutral
134,"And there is, I think, a molecular clue that the biosphere is being built up persistently in the survival mode for a spreading set of lineages.",The biosphere never changes.,contradiction,Contradiction
135,"With this jump, a normal crystal can't encode a lot of information.",Regular crystals are very high-density information storage media.,contradiction,Contradiction
136,"With this jump, a normal crystal can't encode a lot of information.",Regular crystals aren't very useful for encoding information.,entailment,Entailment
137,"With this jump, a normal crystal can't encode a lot of information.",There are other types of crystals that are very useful for encoding geographic information using laser beams.,neutral,Neutral
138,"Therefore, adults do not need to teach preschool children to pretend, as they sometimes do by helping them master puzzles or other similar tasks.",Preschoolers are naturally better at solving puzzles than playing simulation games.,contradiction,Neutral
139,"Therefore, adults do not need to teach preschool children to pretend, as they sometimes do by helping them master puzzles or other similar tasks.",Preschoolers don't need as much help learning how to fake it.,entailment,Entailment
140,"Therefore, adults do not need to teach preschool children to pretend, as they sometimes do by helping them master puzzles or other similar tasks.",Preschoolers do not have the spatial reasoning skills necessary to reconstruct the puzzles without adult help.,neutral,Contradiction
141,[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.,Notes to this proposal have been recorded in several additional documents.,neutral,Neutral
142,[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.,Some believed that all people were equal.,entailment,Entailment
143,[This nation was] conceived in liberty and dedicated to the proposition that all men are created equal.,This nation was founded on the belief that some people are better than others.,contradiction,Contradiction
144,Should I congratulate him more?,I'm pretty sure I have to beat him for his failures.,contradiction,Contradiction
145,Should I congratulate him more?,I wonder if he needs any more recognition from me.,entailment,Neutral
146,Should I congratulate him more?,Should I commend him more for his piano performance?,neutral,Entailment
147,Rotation network theories can be constructed in different dimensions.,Other dimensions can be used to develop theories of spin networks.,entailment,Entailment
148,Rotation network theories can be constructed in different dimensions.,Spin networks are very useful for data storage technologies.,neutral,Neutral
149,Rotation network theories can be constructed in different dimensions.,Spin networks cannot be imagined in different dimensions.,contradiction,Contradiction
150,"No, no, I don't want you to die!",I don't want you to die!,entailment,Entailment
151,"No, no, I don't want you to die!",I don't care if you die!,contradiction,Contradiction
152,"No, no, I don't want you to die!",I 'd be very angry if you died !,neutral,Entailment
153,"He was publicly hanged on March 19, 1875, in San Jose, California.",California carried out public executions until 1875.,entailment,Entailment
154,"He was publicly hanged on March 19, 1875, in San Jose, California.",He was cleared of any wrongdoing and released.,contradiction,Contradiction
155,"He was publicly hanged on March 19, 1875, in San Jose, California.",He was hanged for sedition and stealing horses.,neutral,Neutral
156,"In the chaotic regime, the sea of sparkling green percolates.",The sea was deep blue and smooth as glass.,contradiction,Contradiction
157,"In the chaotic regime, the sea of sparkling green percolates.",The sea was full of small fish that were banging against the boat.,neutral,Neutral
158,"In the chaotic regime, the sea of sparkling green percolates.",The sea was green and seemed to be boiling.,entailment,Entailment
159,An entirely new legal order aspired to emerge from the turmoil of the 1860s.,"By the 1870's, the entire legal order had collapsed and the country was in anarchy.",contradiction,Contradiction
160,An entirely new legal order aspired to emerge from the turmoil of the 1860s.,The 1860s were a tumultuous time.,entailment,Entailment
161,An entirely new legal order aspired to emerge from the turmoil of the 1860s.,The new legal order sought to extend labour rights.,neutral,Neutral
162,"According to him, any form of higher thought first appears in social communication, between the child and the representatives of his culture in a common activity.",Children are incapable of sharing superior reasoning.,contradiction,Contradiction
163,"According to him, any form of higher thought first appears in social communication, between the child and the representatives of his culture in a common activity.",Fishing is a popular activity shared by many different cultures.,neutral,Neutral
164,"According to him, any form of higher thought first appears in social communication, between the child and the representatives of his culture in a common activity.",Sharing common activities is sometimes helpful in sharing higher forms of reasoning.,entailment,Entailment
165,"Some neighborhoods have rezadores or rezadoras, spiritual leaders who lead the community during prayers at funerals, on saints' feasts, and when the priest is not available.",None of the congregations had spiritual leaders who were not priests.,contradiction,Contradiction
166,"Some neighborhoods have rezadores or rezadoras, spiritual leaders who lead the community during prayers at funerals, on saints' feasts, and when the priest is not available.",Some quarters had spiritual leaders who were not priests.,entailment,Entailment
167,"Some neighborhoods have rezadores or rezadoras, spiritual leaders who lead the community during prayers at funerals, on saints' feasts, and when the priest is not available.",Some of the spiritual leaders had black hair.,neutral,Neutral
168,"In a sociodramatic play too, the opportunities to act and coordinate different roles arguably helps children understand the similarities and differences between people's desires, beliefs and feelings.",Children can learn how people are alike and different.,entailment,Entailment
169,"In a sociodramatic play too, the opportunities to act and coordinate different roles arguably helps children understand the similarities and differences between people's desires, beliefs and feelings.",Children can see how different different races are.,neutral,Neutral
170,"In a sociodramatic play too, the opportunities to act and coordinate different roles arguably helps children understand the similarities and differences between people's desires, beliefs and feelings.",Children can't learn anything.,contradiction,Contradiction
171,"The highest virtue of the post-war German constitutional order, then, was precisely the greatest victim of the Nazi regime.",The Nazi regime allowed it.,contradiction,Contradiction
172,"The highest virtue of the post-war German constitutional order, then, was precisely the greatest victim of the Nazi regime.",The Nazi regime killed everyone involved.,neutral,Contradiction
173,"The highest virtue of the post-war German constitutional order, then, was precisely the greatest victim of the Nazi regime.",The Nazi regime stopped it.,entailment,Contradiction
174,Sonja the kid started mimicking her daughter's seizures.,No one had a tantrum.,contradiction,Contradiction
175,Sonja the kid started mimicking her daughter's seizures.,Sonja is a child.,entailment,Contradiction
176,Sonja the kid started mimicking her daughter's seizures.,Sonja was upset.,neutral,Neutral.
177,"6 In the fifty-five years preceding the civil war, the Court exercised this power sparingly.",The court occasionally used this power in the decades leading up to the Civil War.,entailment,Entailment
178,"6 In the fifty-five years preceding the civil war, the Court exercised this power sparingly.",The Court used this power four times in the fifty-five years leading up to the Civil War.,neutral,Entailment
179,"6 In the fifty-five years preceding the civil war, the Court exercised this power sparingly.",The Court used that power five million times in the fifty-five years leading up to the Civil War.,contradiction,Contradiction
180,"I assure you, sir, I've been fully briefed on all of this.",I told you I know everything.,entailment,Entailment
181,"I assure you, sir, I've been fully briefed on all of this.",It's the death of the detective I was told about.,neutral,Neutral
182,"I assure you, sir, I've been fully briefed on all of this.",There are a lot of details that have been kept from me.,contradiction,Contradiction
183,The noises disturbed Captain Blood from his irritated musings.,Captain Blood was able to think of things that made him unhappy all the time.,contradiction,Neutral
184,The noises disturbed Captain Blood from his irritated musings.,Captain Blood's thoughts were interrupted by some noises.,entailment,Entailment
185,The noises disturbed Captain Blood from his irritated musings.,The cry of the puppy brought the captain out of his ruminations.,neutral,Contradiction
186,"But I cannot forget that when I was no better off than a slave at your uncle's in Barbados, you treated me with a certain kindness.",You treated me kindly when I was a slave in Barbados.,entailment,Entailment
187,"But I cannot forget that when I was no better off than a slave at your uncle's in Barbados, you treated me with a certain kindness.","You've been incredibly cruel to me, and you've treated me way worse than dirt.",contradiction,Contradiction
188,"But I cannot forget that when I was no better off than a slave at your uncle's in Barbados, you treated me with a certain kindness.",Your uncle used to beat me every day when he had me.,neutral,Contradiction
189,"There, not more than three miles away, was the land - an uneven wall of bright greenery filled the horizon to the west.",A lush landscape was in sight.,entailment,Entailment
190,"There, not more than three miles away, was the land - an uneven wall of bright greenery filled the horizon to the west.",The island they approached was uninhabited.,neutral,Neutral.
191,"There, not more than three miles away, was the land - an uneven wall of bright greenery filled the horizon to the west.","They could see no land for miles around, only an endless ocean.",contradiction,Contradiction
192,I am His Majesty's envoy to these barbarous lands and my Lord Sunderland's closest relative.,"His Majesty has envoys, and I am one of them.",entailment,Entailment
193,I am His Majesty's envoy to these barbarous lands and my Lord Sunderland's closest relative.,His Majesty sent me here a week ago.,neutral,Neutral
194,I am His Majesty's envoy to these barbarous lands and my Lord Sunderland's closest relative.,I don't take orders from His Majesty.,contradiction,Contradiction
195,"I owed you, or I thought I did, he said.",He never thought he owed you anything.,contradiction,Contradiction
196,"I owed you, or I thought I did, he said.",He owed you for the help you gave him as a penniless beggar.,neutral,Neutral.
197,"I owed you, or I thought I did, he said.",He thought he owed you something.,entailment,Entailment
198,I should have known better than to come so close to Jamaica at night.,I traveled near Jamaica after sunset.,entailment,Entailment
199,I should have known better than to come so close to Jamaica at night.,I traveled to Jamaica aboard a large ship.,neutral,Neutral.
200,I should have known better than to come so close to Jamaica at night.,My wife and I arrived in Jamaica in broad daylight.,contradiction,Contradiction
201,"Blood's thoughts were turned to this and other concerns, as he lagged on the meridian.",Blood had a very mundane dream on his daybed.,contradiction,Contradiction
202,"Blood's thoughts were turned to this and other concerns, as he lagged on the meridian.",Blood ruminated lying down.,entailment,Contradiction
203,"Blood's thoughts were turned to this and other concerns, as he lagged on the meridian.",Blood thought intensely about the last time he had seen his mother.,neutral,Neutral
204,"Of course, then, I'll tell you.","All right, I'll tell you about it.",entailment,Entailment
205,"Of course, then, I'll tell you.",I keep my mouth shut and my tongue sealed.,contradiction,Contradiction
206,"Of course, then, I'll tell you.",It's only because you promised not to say it again that I'm telling you.,neutral,Contradiction
207,And in what way ?,Someone asks which way to go.,entailment,Neutral
208,And in what way ?,The interrogator is alone and has no one to talk to.,contradiction,Contradiction
209,And in what way ?,The person asking the question is in a hurry and needs to know immediately which way to go.,neutral,Neutral
210,I do not grant the king's commission lightly.,Granting the King's commission is against my morals.,neutral,Neutral.
211,I do not grant the king's commission lightly.,I've given a lot of thought to the King's commission.,entailment,Entailment
212,I do not grant the king's commission lightly.,I signed the warrant granting the king's commission without thinking.,contradiction,Contradiction
213,He realized he might need to retreat in a hurry.,He realized he had all day to retire.,contradiction,Contradiction
214,He realized he might need to retreat in a hurry.,He realized that he had to act quickly.,entailment,Entailment
215,He realized he might need to retreat in a hurry.,"If he had stayed in the same place, we would have found him.",neutral,Contradiction
216,"And yet he has been what he has been and done what he has done for the last three years, she says, but she says it sadly then, without her former contempt.",She didn't like the fact that he'd killed so many men in the last three years.,neutral,Neutral
217,"And yet he has been what he has been and done what he has done for the last three years, she says, but she says it sadly then, without her former contempt.",She spoke happily of her adventures and her personality.,contradiction,Contradiction
218,"And yet he has been what he has been and done what he has done for the last three years, she says, but she says it sadly then, without her former contempt.",She spoke in a sad tone.,entailment,Entailment
219,I suppose that suits your taste.,I guess that's what your parents do.,entailment,Neutral
220,I suppose that suits your taste.,I've read about your people and their culture.,neutral,Neutral
221,I suppose that suits your taste.,I don't suppose that's common among your people.,contradiction,Contradiction
222,A frown creased his forehead.,His face displayed a broad smile.,contradiction,Contradiction
223,A frown creased his forehead.,She felt a disgusting sensation in her stomach.,neutral,Neutral
224,A frown creased his forehead.,She frowned.,entailment,Contradiction
225,"She had watched him with bright eyes, but at the sight of his downcast face, and the deep frown of eyebrows that marked his forehead, her own expression changed.",Her expression changed after seeing his face.,entailment,Entailment
226,"She had watched him with bright eyes, but at the sight of his downcast face, and the deep frown of eyebrows that marked his forehead, her own expression changed.",Her face lit up when she saw his frown.,contradiction,Contradiction
227,"She had watched him with bright eyes, but at the sight of his downcast face, and the deep frown of eyebrows that marked his forehead, her own expression changed.",She didn't know if he was mad at her.,neutral,Neutral
228,"Walking quietly, he walked around the crenellated wall and passed the large gates into the courtyard.","Since the doors were locked, he jumped over the fence and jumped into the courtyard.",contradiction,Contradiction
229,"Walking quietly, he walked around the crenellated wall and passed the large gates into the courtyard.",The large gates were the only entrance to the courtyard.,neutral,Neutral.
230,"Walking quietly, he walked around the crenellated wall and passed the large gates into the courtyard.",There were large portals leading into the courtyard.,entailment,Entailment
231,"""You'll probably blow it up"", he said contemptuously.",He thought someone was going to the gallows.,entailment,Contradiction
232,"""You'll probably blow it up"", he said contemptuously.",He was a sheriff who had captured a thief.,neutral,Neutral
233,"""You'll probably blow it up"", he said contemptuously.",He whispered a way out of the country to avoid prison.,contradiction,Contradiction
234,"Honestly, how could I have detained them?",I couldn't bring myself to keep them.,entailment,Entailment
235,"Honestly, how could I have detained them?",I owned them as soon as I saw them.,contradiction,Contradiction
236,"Honestly, how could I have detained them?",I would never have forgiven myself if I had held them.,neutral,Entailment
237,I kicked him out this year.,I've been following him closely for a year without his knowledge.,neutral,Contradiction
238,I kicked him out this year.,I've only been here about a week.,contradiction,Contradiction
239,I kicked him out this year.,"For the past year, I've been harassing him.",entailment,Contradiction
240,The museum is not exhaustive in catalogues and labels.,The museum doesn't like to be catalogued.,neutral,Neutral
241,The museum is not exhaustive in catalogues and labels.,The museum's not a big fan of brochures.,entailment,Neutral.
242,The museum is not exhaustive in catalogues and labels.,The museum's strong point is the catalogues.,contradiction,Contradiction
243,These open-air markets are also the most interesting places to shop in Beijing.,Beijing has open markets with very interesting shops.,entailment,Entailment
244,These open-air markets are also the most interesting places to shop in Beijing.,Beijing's open-air markets are the most interesting in the world.,neutral,Neutral.
245,These open-air markets are also the most interesting places to shop in Beijing.,Beijing's strict laws prohibit open-air markets within the city limits.,contradiction,Contradiction
246,"The largest bay on the northwest coast makes a beautiful harbor, but the water and the beach can be filthy.",The water and the beach are always clean.,contradiction,Contradiction
247,"The largest bay on the northwest coast makes a beautiful harbor, but the water and the beach can be filthy.",The water and the beach can be dirty.,entailment,Entailment
248,"The largest bay on the northwest coast makes a beautiful harbor, but the water and the beach can be filthy.",The water is dirty because of pollution.,neutral,Neutral
249,"These skyscrapers are banks, and the street on which they stand has been nicknamed the Milla de Oro, or Golden Mile.",None of the skyscrapers on the Golden Mile are banks.,contradiction,Contradiction
250,"These skyscrapers are banks, and the street on which they stand has been nicknamed the Milla de Oro, or Golden Mile.",The skyscrapers on the Golden Mile are banks.,entailment,Entailment
251,"These skyscrapers are banks, and the street on which they stand has been nicknamed the Milla de Oro, or Golden Mile.","The skyscrapers on the Golden Mile are different types of businesses, including banks.",neutral,Entailment
252,"So it stands to reason that participation in World War II began with a British Commonwealth air training plan, in the safer skies of Canada, to prepare pilots for combat.",Canada used to have safer skies.,entailment,Entailment
253,"So it stands to reason that participation in World War II began with a British Commonwealth air training plan, in the safer skies of Canada, to prepare pilots for combat.",The Canadian skies were clear of missiles.,neutral,Entailment
254,"So it stands to reason that participation in World War II began with a British Commonwealth air training plan, in the safer skies of Canada, to prepare pilots for combat.",Canadian skis are the most dangerous.,contradiction,Contradiction
255,"And they remain tolerant and helpful, even though they know their beautiful coast is no longer theirs.",They have bitterness and resentment towards everyone now that they have to share the coast.,contradiction,Contradiction
