question	answer	command_r	prompt	verbalized
At the top of Mount Farbo, there is a huge volcano that rises to a height of 1,600 feet [1,000 m]. Polly can carry a single gold ring that can frighten a volcano to a height of 1,600 feet [400 m] and be consumed by fire. But if Polly had a sapphire in her hand, she would be three times as likely to be consumed by fire than a volcano. If she had such a precious stone, where would it be without being consumed by fire and burned by fire?	200	0	"Answer only and the answer should only contain integers. 
At the top of Mount Farbo, there is a huge volcano that rises to a height of 1,600 feet [1,000 m]. Polly can carry a single gold ring that can frighten a volcano to a height of 1,600 feet [400 m] and be consumed by fire. But if Polly had a sapphire in her hand, she would be three times as likely to be consumed by fire than a volcano. If she had such a precious stone, where would it be without being consumed by fire and burned by fire?
"	0
"""Take care"", said Jesus, ""how many loaves you have, and how many fish you have left over?"""	26	42	"Answer only and the answer should only contain integers. 
""Take care"", said Jesus, ""how many loaves you have, and how many fish you have left over?""
"	42
According to nutritionists, one tablespoon contains 250 calories per serving. If there are 5 tablespoons of 300 calories per serving, how many tablespoons would you eat if your daily goal was to get 2000 calories instead of 1800 calories?	48	6	"Answer only and the answer should only contain integers. 
According to nutritionists, one tablespoon contains 250 calories per serving. If there are 5 tablespoons of 300 calories per serving, how many tablespoons would you eat if your daily goal was to get 2000 calories instead of 1800 calories?
"	6
Charlie wants to sell a cotton ball made of cotton balls. Each pound of cotton balls yields 10 trays of cotton balls. A pound of cotton balls costs $10.00. If he makes 20 cotton balls and sells them, how will he know if each one sells for $2.00?	20	20 / 2 = 10.	"Answer only and the answer should only contain integers. 
Charlie wants to sell a cotton ball made of cotton balls. Each pound of cotton balls yields 10 trays of cotton balls. A pound of cotton balls costs $10.00. If he makes 20 cotton balls and sells them, how will he know if each one sells for $2.00?
"	10
Mérédith is a freelance journalist and her job is to write a book on topics related to health and put it in her handbag every day. A book on a topic takes an average of 4 hours to research and write. The next week, she writes 5 books a day and on Tuesday she does 2/5 more. On Wednesday, she writes twice as much as the immortal. Consider how many hours she spent writing the books of the last three days.	104	"5 x 4 = 20

20 + 2 x 3 = 46"	"Answer only and the answer should only contain integers. 
Mérédith is a freelance journalist and her job is to write a book on topics related to health and put it in her handbag every day. A book on a topic takes an average of 4 hours to research and write. The next week, she writes 5 books a day and on Tuesday she does 2/5 more. On Wednesday, she writes twice as much as the immortal. Consider how many hours she spent writing the books of the last three days.
"	46
Before going to work at the café, Candide took 80 cards in a bag. On the way, he bought another one. When he arrived at the café, he placed one card on each of the 220 cups. If at the end of the day, he was left with 23 cards, how many were in the bag he bought on the way?	163	49	"Answer only and the answer should only contain integers. 
Before going to work at the café, Candide took 80 cards in a bag. On the way, he bought another one. When he arrived at the café, he placed one card on each of the 220 cups. If at the end of the day, he was left with 23 cards, how many were in the bag he bought on the way?
"	49
Jean bought red collars twice as much as blue collars. Red collars are 50% more expensive. She spent $200 for blue collars that cost $40 each. What did she spend on buying collars?	800	600	"Answer only and the answer should only contain integers. 
Jean bought red collars twice as much as blue collars. Red collars are 50% more expensive. She spent $200 for blue collars that cost $40 each. What did she spend on buying collars?
"	600
In order to maintain his composure, Tracy used a nine-foot-long [4.0 m] chain, which was shortened by six inches. How many short chains did he manage to cut?	8	4	"Answer only and the answer should only contain integers. 
In order to maintain his composure, Tracy used a nine-foot-long [4.0 m] chain, which was shortened by six inches. How many short chains did he manage to cut?
"	4
Richard occupies a seat in the fifteenth-floor dining room. In each floor, there are eight seats. After occupying three-fourths of the seats, are there six vacancies?	30	2	"Answer only and the answer should only contain integers. 
Richard occupies a seat in the fifteenth-floor dining room. In each floor, there are eight seats. After occupying three-fourths of the seats, are there six vacancies?
"	2
Lloyd owns a chicken coop. His chickens cook 252 eggs a day and he sells an egg for $2. How much does Lloyd make in a week at the auction?	294	1764	"Answer only and the answer should only contain integers. 
Lloyd owns a chicken coop. His chickens cook 252 eggs a day and he sells an egg for $2. How much does Lloyd make in a week at the auction?
"	1764
Tom's boat has a speed of 10 Km per hour. He boarded from 1 pm to 4 pm and turned back when the speed was 6 Km per hour. How long will it take him to get home?	5	4 hours.	"Answer only and the answer should only contain integers. 
Tom's boat has a speed of 10 Km per hour. He boarded from 1 pm to 4 pm and turned back when the speed was 6 Km per hour. How long will it take him to get home?
"	4
Uriah's bag was too heavy for him to carry. He had to reduce its weight by 15 Kg. Each of his magic books weighed 1/4 pound and his toy, isa added 1/2 pound. If he removed 30 magic books from the bag, how many toys would he have added?	15	2	"Answer only and the answer should only contain integers. 
Uriah's bag was too heavy for him to carry. He had to reduce its weight by 15 Kg. Each of his magic books weighed 1/4 pound and his toy, isa added 1/2 pound. If he removed 30 magic books from the bag, how many toys would he have added?
"	2
The cost of a car is different from that of a horse and carriage. If he repairs the tire of a horse, it costs $60, but if he repairs the tire of a horse, it costs $40. On Thursday, he repairs 6 car tires and 4 car tires. On Friday, he repairs 12 car tires and does not repair the car tires. On which day did he make the most money? Did he make the most money?	40	2 100	"Answer only and the answer should only contain integers. 
The cost of a car is different from that of a horse and carriage. If he repairs the tire of a horse, it costs $60, but if he repairs the tire of a horse, it costs $40. On Thursday, he repairs 6 car tires and 4 car tires. On Friday, he repairs 12 car tires and does not repair the car tires. On which day did he make the most money? Did he make the most money?
"	2100
The Doubtfire sisters left the barn with seven puppies that they had adopted in their car. On the way, they were called to be told that their two foster parents had given birth to a child. Patchy, the older sister, gave birth to three times as many puppies as all the foster parents, and Trixie, the other sister, wanted 12 puppies. How many puppies does the Doubtfire family have now?	40	27.	"Answer only and the answer should only contain integers. 
The Doubtfire sisters left the barn with seven puppies that they had adopted in their car. On the way, they were called to be told that their two foster parents had given birth to a child. Patchy, the older sister, gave birth to three times as many puppies as all the foster parents, and Trixie, the other sister, wanted 12 puppies. How many puppies does the Doubtfire family have now?
"	27
"""He had two silver coins, which he divided into two baskets. He tied up the other two baskets and said,' How many baskets will you fill? '"	14	Four.	"Answer only and the answer should only contain integers. 
""He had two silver coins, which he divided into two baskets. He tied up the other two baskets and said,' How many baskets will you fill? '
"	-1
Pierre decides to go to the movies this weekend. His mother buys the ticket for $7 and the ticket for $7. If he has $42, how many times can he go to the movies this weekend?	3	7.	"Answer only and the answer should only contain integers. 
Pierre decides to go to the movies this weekend. His mother buys the ticket for $7 and the ticket for $7. If he has $42, how many times can he go to the movies this weekend?
"	7
If a wooden sailing vessel were to be loaded with 5,000 tons of cargo, how many sailing vessels would be loaded with 5,000 tons of cargo, and how many sailing vessels would be loaded with 5,000 tons of cargo?	83	2 sailing vessels would be loaded with 5,000 tons of cargo.	"Answer only and the answer should only contain integers. 
If a wooden sailing vessel were to be loaded with 5,000 tons of cargo, how many sailing vessels would be loaded with 5,000 tons of cargo, and how many sailing vessels would be loaded with 5,000 tons of cargo?
"	5000
Stéphane poured perfumes on the fans. A bill of lading showed $40.00. Since they were delivered by a bartender, he put 25% on the bill of lading with a $3.00 fee. Stéphane himself gave a bottle of water $4.00. If we add the fees, how much of the entire bill did Stéphane get?	57	7	"Answer only and the answer should only contain integers. 
Stéphane poured perfumes on the fans. A bill of lading showed $40.00. Since they were delivered by a bartender, he put 25% on the bill of lading with a $3.00 fee. Stéphane himself gave a bottle of water $4.00. If we add the fees, how much of the entire bill did Stéphane get?
"	7
There are six ears of grain on a fig tree, each bearing twenty grains, and sixty-seven grains on the other fig tree. How many grains are on that fig tree?	187	134	"Answer only and the answer should only contain integers. 
There are six ears of grain on a fig tree, each bearing twenty grains, and sixty-seven grains on the other fig tree. How many grains are on that fig tree?
"	134
Twenty-five fish are in a basket and one of them is broken; twenty-five percent is bad and two of them are healthy and the rest are healthy. How many healthy fish are there?	17	18.	"Answer only and the answer should only contain integers. 
Twenty-five fish are in a basket and one of them is broken; twenty-five percent is bad and two of them are healthy and the rest are healthy. How many healthy fish are there?
"	18
Janet bought her daughter a shower cap. She spent $500 on the equipment, paid $800 to the doctor who did the surgery. Then she paid 10% of the same amount for the safety of the shower cap. How much did she spend in total?	1430	1300.	"Answer only and the answer should only contain integers. 
Janet bought her daughter a shower cap. She spent $500 on the equipment, paid $800 to the doctor who did the surgery. Then she paid 10% of the same amount for the safety of the shower cap. How much did she spend in total?
"	1300
If Marcy worked for only one company for 40 years, her annual salary would be $50,000. From 20 years of work, she would receive 5% of this salary each year. If she worked for 30 years before quitting, what would her annual salary be?	25000	5000	"Answer only and the answer should only contain integers. 
If Marcy worked for only one company for 40 years, her annual salary would be $50,000. From 20 years of work, she would receive 5% of this salary each year. If she worked for 30 years before quitting, what would her annual salary be?
"	5000
Aleena signed up for a wind turbine exhibition for which she paid $140 a month. If the wind turbine company charged her this fee in the first half of the year and reduced it by 10% in the second half of the year, imagine what she would pay in one year.	1596	1044.	"Answer only and the answer should only contain integers. 
Aleena signed up for a wind turbine exhibition for which she paid $140 a month. If the wind turbine company charged her this fee in the first half of the year and reduced it by 10% in the second half of the year, imagine what she would pay in one year.
"	1044
Sophie is thinking about traveling and wondering where she can go with a car that will only change oil once. She has traveled 100 Km since the oil leak occurred and had to have 4 gallons of oil added. The car's registration indicates that her car takes 12 gallons of oil to run. How many kilometers can Sophie do if she only changes oil once?	300	180	"Answer only and the answer should only contain integers. 
Sophie is thinking about traveling and wondering where she can go with a car that will only change oil once. She has traveled 100 Km since the oil leak occurred and had to have 4 gallons of oil added. The car's registration indicates that her car takes 12 gallons of oil to run. How many kilometers can Sophie do if she only changes oil once?
"	180
Jim spends 2 hours on the telescope and now spends half of that time reading and watching. He does this 3 times a week. How many hours does he have to watch and read on the telescope in 4 weeks?	36	8.	"Answer only and the answer should only contain integers. 
Jim spends 2 hours on the telescope and now spends half of that time reading and watching. He does this 3 times a week. How many hours does he have to watch and read on the telescope in 4 weeks?
"	8
There are four schools that have qualified for a basketball tournament. Each school has qualified a women's team and a men's team with five members each. Each school has also sent one coach to the tournament. How many people have all the schools sent to the tournament?	48	21.	"Answer only and the answer should only contain integers. 
There are four schools that have qualified for a basketball tournament. Each school has qualified a women's team and a men's team with five members each. Each school has also sent one coach to the tournament. How many people have all the schools sent to the tournament?
"	21
There was a wealthy landowner who came up with a treasure chest full of precious stones. He found two hundred seventy - five silver coins, three hundred and fifty rubles worth of rubies, and two hundred and thirty rubles worth of emeralds.	595	1275350230	"Answer only and the answer should only contain integers. 
There was a wealthy landowner who came up with a treasure chest full of precious stones. He found two hundred seventy - five silver coins, three hundred and fifty rubles worth of rubies, and two hundred and thirty rubles worth of emeralds.
"	1275350230
There are twice as many boys as girls in Dr. Wertz's school. If there are 60 girls in the school and each teacher has 5 students, how many teachers are there in the school?	36	8	"Answer only and the answer should only contain integers. 
There are twice as many boys as girls in Dr. Wertz's school. If there are 60 girls in the school and each teacher has 5 students, how many teachers are there in the school?
"	8
Bailey started out with a certain amount of money; she then received $5 a week for eight consecutive weeks. If at the end of these 8 weeks, Bailey's total amount of money was $100, how much money did she have at the beginning?	60	$20	"Answer only and the answer should only contain integers. 
Bailey started out with a certain amount of money; she then received $5 a week for eight consecutive weeks. If at the end of these 8 weeks, Bailey's total amount of money was $100, how much money did she have at the beginning?
"	20
During the school holidays, Judy teaches dance 5 times a day, and on Sundays she teaches dance 8 times. If 15 students come to each class for $15.00 each, how many dances does she get in a week?	7425	5 x 15 x 15 = 1125 dances.	"Answer only and the answer should only contain integers. 
During the school holidays, Judy teaches dance 5 times a day, and on Sundays she teaches dance 8 times. If 15 students come to each class for $15.00 each, how many dances does she get in a week?
"	1125
Kilian has two recipes that she uses for cooking; the first requires 20 recipes and the second twice as many as the first. If Kilian wanted to cook both types of food, how many recipes would he have to count?	60	40	"Answer only and the answer should only contain integers. 
Kilian has two recipes that she uses for cooking; the first requires 20 recipes and the second twice as many as the first. If Kilian wanted to cook both types of food, how many recipes would he have to count?
"	40
Tommy is raising money for his charity by baking chickens for $3 each and cookies for $4. If he sells 43 chickens and 23 cookies, how much money will he make for the charity?	221	$129	"Answer only and the answer should only contain integers. 
Tommy is raising money for his charity by baking chickens for $3 each and cookies for $4. If he sells 43 chickens and 23 cookies, how much money will he make for the charity?
"	129
Sheila bought five cell phones for $150 each; she would pay monthly for 3 months, with a 2% monthly premium. How much would Sheila pay monthly for 3 months?	255	156	"Answer only and the answer should only contain integers. 
Sheila bought five cell phones for $150 each; she would pay monthly for 3 months, with a 2% monthly premium. How much would Sheila pay monthly for 3 months?
"	156
Artie sells flowers in the village market. He sells three types of flowers: soucis, petunias and bégonias. He sells a basket of soucis for $2.74; a basket of petunias for $1.87 and a basket of bégonias for $2.12. Since he doesn't have a winner today, he decides to sell each item at the most appropriate dollar amount. If he sells 12 soucis, 9 petunias and 17 bégonias, how much money will he make?	88	7.80	"Answer only and the answer should only contain integers. 
Artie sells flowers in the village market. He sells three types of flowers: soucis, petunias and bégonias. He sells a basket of soucis for $2.74; a basket of petunias for $1.87 and a basket of bégonias for $2.12. Since he doesn't have a winner today, he decides to sell each item at the most appropriate dollar amount. If he sells 12 soucis, 9 petunias and 17 bégonias, how much money will he make?
"	7
Luc used his time to build a loft with sand on the beach. He noticed that each floor of the loft took half the width of a summer house. What would be the same width of the loft if he built a 4-storey loft and the width of the last floor was 16 meters on peids?	60	8	"Answer only and the answer should only contain integers. 
Luc used his time to build a loft with sand on the beach. He noticed that each floor of the loft took half the width of a summer house. What would be the same width of the loft if he built a 4-storey loft and the width of the last floor was 16 meters on peids?
"	8
Cécilia has now bought a puppy. Her veterinarian told her that she should feed it 1 bowl of dog food a day for 180 days. Now, she will feed it 2 bowl a day for the rest of her life. If there are 110 bowl of food in one bowl, how many bowl of food will she use in the first year?	5	110 * 180 + 2 * 365 = 23810	"Answer only and the answer should only contain integers. 
Cécilia has now bought a puppy. Her veterinarian told her that she should feed it 1 bowl of dog food a day for 180 days. Now, she will feed it 2 bowl a day for the rest of her life. If there are 110 bowl of food in one bowl, how many bowl of food will she use in the first year?
"	23810
Raymond's messages weighed twice as much as Sarah's; Sarah's was 4 times as heavy as David's. When Sarah's message weighed 400 Kg, imagine the difference between Raymond's and David's messages.	100	800: 400	"Answer only and the answer should only contain integers. 
Raymond's messages weighed twice as much as Sarah's; Sarah's was 4 times as heavy as David's. When Sarah's message weighed 400 Kg, imagine the difference between Raymond's and David's messages.
"	400
