question	answer	opus	prompt	verbalized
Programu mpya ilipakuliwa mara 60 mwezi wa kwanza. Idadi ya upakuaji katika mwezi wa pili ulikuwa mara tatu ya idadi ya upakuaji katika mwezi wa kwanza, lakini ikapungua kwa 30% katika mwezi wa tatu. Programu hiyo ilipakuliwa mara ngapi kwa jumla katika miezi hiyo mitatu?	366	[TextBlock(text='420', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nProgramu mpya ilipakuliwa mara 60 mwezi wa kwanza. Idadi ya upakuaji katika mwezi wa pili ulikuwa mara tatu ya idadi ya upakuaji katika mwezi wa kwanza, lakini ikapungua kwa 30% katika mwezi wa tatu. Programu hiyo ilipakuliwa mara ngapi kwa jumla katika miezi hiyo mitatu?\n'}]}]	420
Toula alienda kwenye tanuri mikate na akanunua aina mbalimbali za vitobosho. Alinunua dazeni 3 za donati zinazogharimu $68 kwa kila dazeni, dazeni 2 za keki ndogo zinazogharimu $80 kwa kila dazeni, na dazeni 6 za keki ndogo za jibini kwa $55 kwa kila dazeni. Jumla ya gharama ilikuwa ngapi?	694	[TextBlock(text='864', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nToula alienda kwenye tanuri mikate na akanunua aina mbalimbali za vitobosho. Alinunua dazeni 3 za donati zinazogharimu $68 kwa kila dazeni, dazeni 2 za keki ndogo zinazogharimu $80 kwa kila dazeni, na dazeni 6 za keki ndogo za jibini kwa $55 kwa kila dazeni. Jumla ya gharama ilikuwa ngapi?\n'}]}]	864
Carlos anapanda mlimau. Mti huo utagharimu $90 kuupanda. Kila mwaka utazaa limau 7, anazoweza kuuza kwa $1.5 kila moja. Gharama ya kunyunyiza maji na kulisha mti huo kila mwaka ni $3. Itachukua miaka mingapi kabla ya yeye kuanza kupata mapato kutoka kwa mlimau huo?	13	[TextBlock(text='15', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCarlos anapanda mlimau. Mti huo utagharimu $90 kuupanda. Kila mwaka utazaa limau 7, anazoweza kuuza kwa $1.5 kila moja. Gharama ya kunyunyiza maji na kulisha mti huo kila mwaka ni $3. Itachukua miaka mingapi kabla ya yeye kuanza kupata mapato kutoka kwa mlimau huo?\n'}]}]	15
Melanie ni mfanyabiashara wa nyumba kwa nyumba. Aliuza theluthi moja ya visafishaji vyake vya kuvuta uchafu katika nyumba ya kijani, 2 zaidi kwa nyumba nyekundu, na nusu ya vilivyosalia katika nyumba ya rangi ya chungwa. Iwapo Melanie amesalia na visafishaji 5 vya kuvuta uchafu, alianza na vingapi?	18	[TextBlock(text='30', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMelanie ni mfanyabiashara wa nyumba kwa nyumba. Aliuza theluthi moja ya visafishaji vyake vya kuvuta uchafu katika nyumba ya kijani, 2 zaidi kwa nyumba nyekundu, na nusu ya vilivyosalia katika nyumba ya rangi ya chungwa. Iwapo Melanie amesalia na visafishaji 5 vya kuvuta uchafu, alianza na vingapi?\n'}]}]	30
Katika darasa la densi lenye wanafunzi 20, 20% walijisajili katika densi ya kisasa, 25% ya waliosalia walijisajili katika densi ya jazi, na wengine waliosalia wakajisajili katika densi ya muziki wa kufoka. Ni asilimia ngapi ya wanafunzi wote walijisajili katika densi ya muziki wa kufoka?	60	[TextBlock(text='60', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKatika darasa la densi lenye wanafunzi 20, 20% walijisajili katika densi ya kisasa, 25% ya waliosalia walijisajili katika densi ya jazi, na wengine waliosalia wakajisajili katika densi ya muziki wa kufoka. Ni asilimia ngapi ya wanafunzi wote walijisajili katika densi ya muziki wa kufoka?\n'}]}]	60
Mfanyabiashara anataka kufanya chaguo la ununuzi kati ya mipango 2 ya ununuzi: mapambo ya kito yenye thamani ya $5,000 au vifaa vya eletroniki vyenye thamani ya $8,000. Mshauri wake wa kifedha anakadiria kuwa soko la mapambo ya kito litapanda hadi 2.5% huku soko la vifaa vya elektroniki litapanda hadi 1.2% ndani ya mwezi huo mmoja. Iwapo mfanyabiashara huyo anataka kuwa na faida za juu zaidi mwishoni mwa mwezi huu kwa kufanya chaguo, hii itakuwa faida ya kiasi gani?	125	[TextBlock(text='125', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMfanyabiashara anataka kufanya chaguo la ununuzi kati ya mipango 2 ya ununuzi: mapambo ya kito yenye thamani ya $5,000 au vifaa vya eletroniki vyenye thamani ya $8,000. Mshauri wake wa kifedha anakadiria kuwa soko la mapambo ya kito litapanda hadi 2.5% huku soko la vifaa vya elektroniki litapanda hadi 1.2% ndani ya mwezi huo mmoja. Iwapo mfanyabiashara huyo anataka kuwa na faida za juu zaidi mwishoni mwa mwezi huu kwa kufanya chaguo, hii itakuwa faida ya kiasi gani?\n'}]}]	125
Treni mbili zimetoka San Rafael kwa wakati mmoja. Zimeanza kusafiri kwenda upande wa Magharibi, zote mbili zinaenda umbali wa maili 80. Siku inayofuata, zinasafiri kwenda upande wa Kaskazini, umbali wa maili 150. Umbali ambao treni hizo mbili zilienda kwa siku hizo mbili ni gani?	230	[TextBlock(text='460', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTreni mbili zimetoka San Rafael kwa wakati mmoja. Zimeanza kusafiri kwenda upande wa Magharibi, zote mbili zinaenda umbali wa maili 80. Siku inayofuata, zinasafiri kwenda upande wa Kaskazini, umbali wa maili 150. Umbali ambao treni hizo mbili zilienda kwa siku hizo mbili ni gani?\n'}]}]	460
Jill analipwa $20 kila saa kufunza na $30 kuwa kocha wa mashabiki. Iwapo huwa anafanya kazi wiki 50 kwa mwaka, saa 35 kwa wiki kama mwalimu na saa 15 kama kocha, mshahara wake wa kila mwaka ni ngapi?	57500	[TextBlock(text='42500', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJill analipwa $20 kila saa kufunza na $30 kuwa kocha wa mashabiki. Iwapo huwa anafanya kazi wiki 50 kwa mwaka, saa 35 kwa wiki kama mwalimu na saa 15 kama kocha, mshahara wake wa kila mwaka ni ngapi?\n'}]}]	42500
Claire huandaa kimanda chenye mayai 3 kila asubuhi wakati wa staftahi. Atakula dazeni ngapi za mayai baada katika wiki 4?	7	[TextBlock(text='84', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nClaire huandaa kimanda chenye mayai 3 kila asubuhi wakati wa staftahi. Atakula dazeni ngapi za mayai baada katika wiki 4?\n'}]}]	84
Marissa anatembea masafa marefu ya maili 12. Alitumia saa 1 kutembea maili 4 za kwanza, kisha saa nyingine moja kutembea maili mbili zinazofuata. Iwapo anataka kasi yake ya wastani iwe maili 4 kwa saa, anahitaji kutembea kwa kasi (katika maili kwa saa) gani kwa umbali unaosalia?	6	[TextBlock(text='6', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMarissa anatembea masafa marefu ya maili 12. Alitumia saa 1 kutembea maili 4 za kwanza, kisha saa nyingine moja kutembea maili mbili zinazofuata. Iwapo anataka kasi yake ya wastani iwe maili 4 kwa saa, anahitaji kutembea kwa kasi (katika maili kwa saa) gani kwa umbali unaosalia?\n'}]}]	6
Nina lita 10 za kinywaji cha chungwa ambacho theluthi mbili zake ni maji na ningependelea kukiongeza kwenye lita 15 za kinyaji cha nanasi ambacho humusi tatu zake ni maji. Lakini ninapokimimina, nimemwaga lita moja ya kinywaji cha chungwa. Kiasi kipi cha maji kipo kwenye lita 24 zinazosalia?	15	[TextBlock(text='14', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nNina lita 10 za kinywaji cha chungwa ambacho theluthi mbili zake ni maji na ningependelea kukiongeza kwenye lita 15 za kinyaji cha nanasi ambacho humusi tatu zake ni maji. Lakini ninapokimimina, nimemwaga lita moja ya kinywaji cha chungwa. Kiasi kipi cha maji kipo kwenye lita 24 zinazosalia?\n'}]}]	14
Raymond na Samantha ni binamu. Raymond alizaliwa miaka 6 kabla ya Samantha. Raymond alipata mwana akiwa na umri wa miaka 23. Iwapo Samantha sasa ana umri wa miaka 31, mwana wa Raymond alizaliwa miaka mingapi iliyopita?	14	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nRaymond na Samantha ni binamu. Raymond alizaliwa miaka 6 kabla ya Samantha. Raymond alipata mwana akiwa na umri wa miaka 23. Iwapo Samantha sasa ana umri wa miaka 31, mwana wa Raymond alizaliwa miaka mingapi iliyopita?\n'}]}]	8
Billy huuza santuri za DVD. Ana wateja 8 Jumanne. Wateja wake 3 wa kwanza hununua DVD moja kila mmoja. Wateja wake 2 wanaofuata hununua DVD 2 kila mmoja. Wateja wake 3 wa mwisho hawanunui DVD yoyote. Billy aliuza DVD ngapi siku ya Jumanne?	7	[TextBlock(text='7', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nBilly huuza santuri za DVD. Ana wateja 8 Jumanne. Wateja wake 3 wa kwanza hununua DVD moja kila mmoja. Wateja wake 2 wanaofuata hununua DVD 2 kila mmoja. Wateja wake 3 wa mwisho hawanunui DVD yoyote. Billy aliuza DVD ngapi siku ya Jumanne?\n'}]}]	7
Mshumaa huyeyuka kwa sentimita 2 kila saa inayowaka. Mshumaa utapungua kwa sentimita ngapi baada ya kuwaka kuanzia saa 7:00 mchana hadi saa 11:00 jioni?	8	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMshumaa huyeyuka kwa sentimita 2 kila saa inayowaka. Mshumaa utapungua kwa sentimita ngapi baada ya kuwaka kuanzia saa 7:00 mchana hadi saa 11:00 jioni?\n'}]}]	8
Kyle alinunua kitabu kilichonunuliwa zaidi mwaka jana kwa $19.50. Hii ni baada ya kupokea kipunguzo cha 25% ya bei ya asili. Bei asili ya kitabu hicho ilikuwa ngapi?	26	[TextBlock(text='26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKyle alinunua kitabu kilichonunuliwa zaidi mwaka jana kwa $19.50. Hii ni baada ya kupokea kipunguzo cha 25% ya bei ya asili. Bei asili ya kitabu hicho ilikuwa ngapi?\n'}]}]	26
Marie aliagiza chakula kimoja cha kuku kinachogharimu $12, pakiti 5 za maziwa zinazogharimu $3 kila moja, tufaha 4 zinazogharimu $1.50 kila moja, na maboksi mengine ya pizza. Marie alilipa jumla ya $50. Marie aliagiza maboksi mangapi ya pizza ikiwa kila boksi linagharimu $8.50?	2	[TextBlock(text='3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMarie aliagiza chakula kimoja cha kuku kinachogharimu $12, pakiti 5 za maziwa zinazogharimu $3 kila moja, tufaha 4 zinazogharimu $1.50 kila moja, na maboksi mengine ya pizza. Marie alilipa jumla ya $50. Marie aliagiza maboksi mangapi ya pizza ikiwa kila boksi linagharimu $8.50?\n'}]}]	3
Mishka alinunua jozi 3 za kaptura, jozi 3 za suruali, na jozi 3 za viatu. Jozi moja ya kaptura ni $16.50. Jozi moja ya suruali ni $22.50 na jozi moja ya viatu ni $42. Mishka alitumia dola ngapi kununua bidhaa zote za mavazi alizonunua?	243	[TextBlock(text='247', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMishka alinunua jozi 3 za kaptura, jozi 3 za suruali, na jozi 3 za viatu. Jozi moja ya kaptura ni $16.50. Jozi moja ya suruali ni $22.50 na jozi moja ya viatu ni $42. Mishka alitumia dola ngapi kununua bidhaa zote za mavazi alizonunua?\n'}]}]	247
Cynthia hukula kipande kimoja cha aiskrimu kila usiku. Yeye hununua katoni za aiskrimu zilizo na vipande 15 vya aiskrimu kwa kila katoni kwa bei ya $4.00 kwa kila katoni. Baada ya siku 60, atakuwa ametumia pesa ngapi kwenye aiskrimu?	16	[TextBlock(text='240', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCynthia hukula kipande kimoja cha aiskrimu kila usiku. Yeye hununua katoni za aiskrimu zilizo na vipande 15 vya aiskrimu kwa kila katoni kwa bei ya $4.00 kwa kila katoni. Baada ya siku 60, atakuwa ametumia pesa ngapi kwenye aiskrimu?\n'}]}]	240
Henry alisimama mara mbili wakati wa safari yake ya maili 60 kwa baiskeli. Alisimama mara ya kwanza baada ya maili 20. Alisimama mara ya pili akiwa amebakisha maili 15 ili amalize safari hiyo. Alisafiri maili ngapi kati ya kusimama mara ya kwanza na ya pili?	25	[TextBlock(text='25', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHenry alisimama mara mbili wakati wa safari yake ya maili 60 kwa baiskeli. Alisimama mara ya kwanza baada ya maili 20. Alisimama mara ya pili akiwa amebakisha maili 15 ili amalize safari hiyo. Alisafiri maili ngapi kati ya kusimama mara ya kwanza na ya pili?\n'}]}]	25
Gloria ananunua anapokutana na jozi ya mabuti inayotoshea bajeti yake ya kiatu. Hata hivyo, ni lazima achague kati ya mabuti hayo na jozi mbili za viatu vyenye visigino vilivyoinuka ambazo kwa pamoja gharama yao ni chini ya gharama ya mabuti kwa dola tano. Iwapo jozi moja ya viatu vyenye visigino vilivyoinuka inagharimu $33 na jozi hiyo nyingine bei yake ni mara mbili ya jozi ya kwanza, bei ya mabuti ni dola ngapi?	104	[TextBlock(text='71', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGloria ananunua anapokutana na jozi ya mabuti inayotoshea bajeti yake ya kiatu. Hata hivyo, ni lazima achague kati ya mabuti hayo na jozi mbili za viatu vyenye visigino vilivyoinuka ambazo kwa pamoja gharama yao ni chini ya gharama ya mabuti kwa dola tano. Iwapo jozi moja ya viatu vyenye visigino vilivyoinuka inagharimu $33 na jozi hiyo nyingine bei yake ni mara mbili ya jozi ya kwanza, bei ya mabuti ni dola ngapi?\n'}]}]	71
Umri wa Darrel na Allen upo katika uwiano wa 7:11. Iwapo jumla ya umri wao wa sasa ni miaka 162, piga hesabu ya umri wa Allen miaka 10 ijayo kutoka sasa.	109	[TextBlock(text='77', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nUmri wa Darrel na Allen upo katika uwiano wa 7:11. Iwapo jumla ya umri wao wa sasa ni miaka 162, piga hesabu ya umri wa Allen miaka 10 ijayo kutoka sasa.\n'}]}]	77
Gunter anajaribu kuhesabu peremende zilizo kwenye chupa kubwa. Anawauliza marafiki zake kuwa wanadhani peremende ngapi zipo kwenye chupa hiyo kubwa. Mmoja anasema 80. Mwingine anasema 20 zaidi ya nusu ya ile wa kwanza alisema. Wa tatu anasema 25% zaidi ya wa kwanza. Wastani ya kisio lao ni ngapi?	80	[TextBlock(text='85', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGunter anajaribu kuhesabu peremende zilizo kwenye chupa kubwa. Anawauliza marafiki zake kuwa wanadhani peremende ngapi zipo kwenye chupa hiyo kubwa. Mmoja anasema 80. Mwingine anasema 20 zaidi ya nusu ya ile wa kwanza alisema. Wa tatu anasema 25% zaidi ya wa kwanza. Wastani ya kisio lao ni ngapi?\n'}]}]	85
John hutunza mbwa 10. Kila mbwa humchukua saa .5 kwa siku kutembeza na kushughulikia. Huwa anatumia saa ngapi kwa wiki kuwatunza mbwa hao?	35	[TextBlock(text='35', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn hutunza mbwa 10. Kila mbwa humchukua saa .5 kwa siku kutembeza na kushughulikia. Huwa anatumia saa ngapi kwa wiki kuwatunza mbwa hao?\n'}]}]	35
Gretchen ana sarafu 110. Kuna sarafu 30 za dhahabu zaidi ya sarafu za fedha. Gretchen ana sarafu ngapi za dhahabu?	70	[TextBlock(text='70', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGretchen ana sarafu 110. Kuna sarafu 30 za dhahabu zaidi ya sarafu za fedha. Gretchen ana sarafu ngapi za dhahabu?\n'}]}]	70
Siobhan ana vito 2 chache zaidi ya vya Aaron. Aaron ana vito 5 zaidi ya nusu ya vito vya Raymond. Ikiwa Raymond ana vito 40, Siobhan ana vito vingapi?	23	[TextBlock(text='92', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nSiobhan ana vito 2 chache zaidi ya vya Aaron. Aaron ana vito 5 zaidi ya nusu ya vito vya Raymond. Ikiwa Raymond ana vito 40, Siobhan ana vito vingapi?\n'}]}]	92
Mike anacheza tenisi kwa dakika 40. Katika dakika 20 za kwanza, anafunga alama 4. Katika dakika 20 za pili, anafunga alama 25% zaidi. Alifunga jumla ya alama ngapi?	9	[TextBlock(text='5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMike anacheza tenisi kwa dakika 40. Katika dakika 20 za kwanza, anafunga alama 4. Katika dakika 20 za pili, anafunga alama 25% zaidi. Alifunga jumla ya alama ngapi?\n'}]}]	5
Terry hukunywa maziwa 2 ya mtindi. Kwa sasa kuna ofa ya maziwa 4 ya mtindi kwa $5.00. Huwa anatumia pesa ngapi kununua maziwa ya mtindi kwa kipindi cha siku 30?	75	[TextBlock(text='75', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTerry hukunywa maziwa 2 ya mtindi. Kwa sasa kuna ofa ya maziwa 4 ya mtindi kwa $5.00. Huwa anatumia pesa ngapi kununua maziwa ya mtindi kwa kipindi cha siku 30?\n'}]}]	75
John anapanga kuuza wanasesere wake wote na kutumia pesa hizo kununua michezo ya video. Ana seti 13 za lego na anaziuza kwa $15 kwa kila seti. Anafanikiwa kununua michezo 8 ya video kwa $20 kila moja na kusalia na $5. Bado ana seti ngapi za lego?	2	[TextBlock(text='3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn anapanga kuuza wanasesere wake wote na kutumia pesa hizo kununua michezo ya video. Ana seti 13 za lego na anaziuza kwa $15 kwa kila seti. Anafanikiwa kununua michezo 8 ya video kwa $20 kila moja na kusalia na $5. Bado ana seti ngapi za lego?\n'}]}]	3
John hukimbia maili 60 kwa wiki. Huwa anakimbia siku 3 kwa wiki. Huwa anakimbia saa 3 siku ya kwanza na nusu ya kiasi hicho kwa siku nyingine mbili anazokimbia. Huwa anakimbia kwa kasi gani?	10	[TextBlock(text='10', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn hukimbia maili 60 kwa wiki. Huwa anakimbia siku 3 kwa wiki. Huwa anakimbia saa 3 siku ya kwanza na nusu ya kiasi hicho kwa siku nyingine mbili anazokimbia. Huwa anakimbia kwa kasi gani?\n'}]}]	10
Dana anaweza kukimbia kwa kiwango cha kasi ambayo ni mara nne zaidi ya anavyoweza kutembea, lakini anaweza kuruka kwa kiwango cha kasi ambayo ni nusu ya kasi yake ya kukimbia. Iwapo anaweza kuruka maili 3 kwa saa, anaweza kusafiri maili ngapi kwa saa sita iwapo anatumia theluthi moja ya saa kukimbia na theluthi mbili ya saa kutembea?	18	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nDana anaweza kukimbia kwa kiwango cha kasi ambayo ni mara nne zaidi ya anavyoweza kutembea, lakini anaweza kuruka kwa kiwango cha kasi ambayo ni nusu ya kasi yake ya kukimbia. Iwapo anaweza kuruka maili 3 kwa saa, anaweza kusafiri maili ngapi kwa saa sita iwapo anatumia theluthi moja ya saa kukimbia na theluthi mbili ya saa kutembea?\n'}]}]	8
