question	answer	command_r+	prompt	verbalized
Gunter ameki kotanga ba bonbon na bocal. Atuni na baninga na ye bakanisa motuya. Moko na bango ayanoli 80. Moko mosusu alobi 20 koleka ndambo ya oyo ya liboso. Ya misato alobi 25% koleka ya oyo ya liboso. Moyenne na kokanisa na bango ezali nini ?	80	50	"Answer only and the answer should only contain integers. 
Gunter ameki kotanga ba bonbon na bocal. Atuni na baninga na ye bakanisa motuya. Moko na bango ayanoli 80. Moko mosusu alobi 20 koleka ndambo ya oyo ya liboso. Ya misato alobi 25% koleka ya oyo ya liboso. Moyenne na kokanisa na bango ezali nini ?
"	50
Johanne Azo kipe ba 10 mbwa. Mbwa Moko aza Na posa ya 0,5 heure Na mokomi PONA ko tambolisama PE kosala makombu mususu. Ba heure boni johanné Ako zua Na mposo PONA ko kipe ba mbwa?	35	15	"Answer only and the answer should only contain integers. 
Johanne Azo kipe ba 10 mbwa. Mbwa Moko aza Na posa ya 0,5 heure Na mokomi PONA ko tambolisama PE kosala makombu mususu. Ba heure boni johanné Ako zua Na mposo PONA ko kipe ba mbwa?
"	15
Gretchen azali Na 110 mbongo ya mabende. ba mbongo ya mabende ya wolo ezali 30 pièces ya koleka Oyo ya palata. Gretchen azali Na ba mbongo ya mabende boni ya wolo?	70	3	"Answer only and the answer should only contain integers. 
Gretchen azali Na 110 mbongo ya mabende. ba mbongo ya mabende ya wolo ezali 30 pièces ya koleka Oyo ya palata. Gretchen azali Na ba mbongo ya mabende boni ya wolo?
"	3
Siobhan azali na bijoux 2 na nse ya Aaron. Aaron azali na 5 koleka ndambo ya bijoux ya Raymond. Soki Raymond azali na 40 bijoux, motuya boni Siobhan azali na bijoux ?	23	10	"Answer only and the answer should only contain integers. 
Siobhan azali na bijoux 2 na nse ya Aaron. Aaron azali na 5 koleka ndambo ya bijoux ya Raymond. Soki Raymond azali na 40 bijoux, motuya boni Siobhan azali na bijoux ?
"	10
Mike azali kosakana na ping-pong banda minute 40. Na ntango ya minute 20 ya liboso, akotisi point 4. Akotisi 25 % ya point ya kobakisa banda minute 20 oyo elandi. Motuya boni ya point akotisi na nyoso ?	9	16	"Answer only and the answer should only contain integers. 
Mike azali kosakana na ping-pong banda minute 40. Na ntango ya minute 20 ya liboso, akotisi point 4. Akotisi 25 % ya point ya kobakisa banda minute 20 oyo elandi. Motuya boni ya point akotisi na nyoso ?
"	16
Terry aliaka yaourt 2 mikolo nyoso. Batekaka yango na ntalo ya yaourt 4 na 5,00 $. Motuya ya mbongo boni ezali kobunga na yaourt na mikolo 30 ?	75	120	"Answer only and the answer should only contain integers. 
Terry aliaka yaourt 2 mikolo nyoso. Batekaka yango na ntalo ya yaourt 4 na 5,00 $. Motuya ya mbongo boni ezali kobunga na yaourt na mikolo 30 ?
"	120
jean alingi ateka biloko Na ye nionso ya kosakana PE kosalela mbongo PONA nakosomba ba jeu vidéo. asali Na ba jeu 13 ya Lego PE azoteka yango NA 15$ MOKO. sukana nionso, a misombeli 8 jeux vidéos Na Talo ya 20$ jeu Moko, Oyo etikibye avec 5$. atikali Na ba jeu ya Lego boni?	2	10	"Answer only and the answer should only contain integers. 
jean alingi ateka biloko Na ye nionso ya kosakana PE kosalela mbongo PONA nakosomba ba jeu vidéo. asali Na ba jeu 13 ya Lego PE azoteka yango NA 15$ MOKO. sukana nionso, a misombeli 8 jeux vidéos Na Talo ya 20$ jeu Moko, Oyo etikibye avec 5$. atikali Na ba jeu ya Lego boni?
"	10
jean akimaka 60km mposo nionso . akimaka mikolo misoto Na mposo. mokolo ya liboso akimi na 3 heure PE akimi mbala mibale mukié ke mikili mibale misusu. vitesse ya bokomi eza boni?	10	30	"Answer only and the answer should only contain integers. 
jean akimaka 60km mposo nionso . akimaka mikolo misoto Na mposo. mokolo ya liboso akimi na 3 heure PE akimi mbala mibale mukié ke mikili mibale misusu. vitesse ya bokomi eza boni?
"	30
Dana akopota mbangu mbala minei koleka ndenge na ye ya kotambola, kasi akopimboa mbala mibale na nse ya ndenge ya kopota mbangu. Soki apimboi na mbangu ya 3 miles na ngonga, motuya boni ya miles asali na ngonga motoba, koyeba ete alekisi 1/3 ya ngonga na kopota mpe 2/3 na kotambola ?	18	3	"Answer only and the answer should only contain integers. 
Dana akopota mbangu mbala minei koleka ndenge na ye ya kotambola, kasi akopimboa mbala mibale na nse ya ndenge ya kopota mbangu. Soki apimboi na mbangu ya 3 miles na ngonga, motuya boni ya miles asali na ngonga motoba, koyeba ete alekisi 1/3 ya ngonga na kopota mpe 2/3 na kotambola ?
"	3
iPhone ya Brandon ezali ya kala mbala minei koleka oyo ya Ben. iPhone ya Ben ezali ya kala mbala mibale koleka oyo ya Suzie. Soki iPhone ya Suzie ezali na mbala 1, oyo ya Brandon ekozala na mbula boni?	8	11	"Answer only and the answer should only contain integers. 
iPhone ya Brandon ezali ya kala mbala minei koleka oyo ya Ben. iPhone ya Ben ezali ya kala mbala mibale koleka oyo ya Suzie. Soki iPhone ya Suzie ezali na mbala 1, oyo ya Brandon ekozala na mbula boni?
"	11
Perf, dragon ya munene avandaki likoyo ya songe ya ngomba ya Garbo PE avandaki kosanza moto Na distance ya 1000 pieds. Polly akolaki kobwaka javelot ya wolo, minduki be Moko Oyo ekokaki ko tobola dragon,Kasi na distance ya 400 pieds,  makasi mingi yabo bwaki moto Na ye. Kasi, tangu Polly a simbaki libanga ya saphir, akolaki ko bwaka tango mbala misato mosika. Na kosimba libanga ye Talo,na distance Nini Polly akokaki ko telema PONA aza mosika ya bo bwaki moto, PE ko Simba dragon Na javelot ya wolo? 	200	1200	"Answer only and the answer should only contain integers. 
Perf, dragon ya munene avandaki likoyo ya songe ya ngomba ya Garbo PE avandaki kosanza moto Na distance ya 1000 pieds. Polly akolaki kobwaka javelot ya wolo, minduki be Moko Oyo ekokaki ko tobola dragon,Kasi na distance ya 400 pieds,  makasi mingi yabo bwaki moto Na ye. Kasi, tangu Polly a simbaki libanga ya saphir, akolaki ko bwaka tango mbala misato mosika. Na kosimba libanga ye Talo,na distance Nini Polly akokaki ko telema PONA aza mosika ya bo bwaki moto, PE ko Simba dragon Na javelot ya wolo? 
"	1200
Koko ya muasi Jones a lambaki 5 galette Oyo ba Tia pomme PONA kolia ya tongo ya ba bomi moto. Na sima alataki galetti Moko Moko Na biteni 8 PE a tandaki ba galetti yango 5 likolo ya mesa ya kolia Po ete moto Moko Moko azua biloko. Na pokwa, Na sima ya ba invités ko zua PE kolia galetti, biteni etikalaki 14. ba invités boni ba zuaki galetti	26	14	"Answer only and the answer should only contain integers. 
Koko ya muasi Jones a lambaki 5 galette Oyo ba Tia pomme PONA kolia ya tongo ya ba bomi moto. Na sima alataki galetti Moko Moko Na biteni 8 PE a tandaki ba galetti yango 5 likolo ya mesa ya kolia Po ete moto Moko Moko azua biloko. Na pokwa, Na sima ya ba invités ko zua PE kolia galetti, biteni etikalaki 14. ba invités boni ba zuaki galetti
"	14
Na maye matali information ya nutrition, sac moko ya chips ezali na 250 ya calorie na eteni. Soki sac moko ya 300 g ezali na biteni 5, motuya boni ya gramme ya chips okolia, na koyeba ete 	48	1500	"Answer only and the answer should only contain integers. 
Na maye matali information ya nutrition, sac moko ya chips ezali na 250 ya calorie na eteni. Soki sac moko ya 300 g ezali na biteni 5, motuya boni ya gramme ya chips okolia, na koyeba ete 
"	1500
charlie alingi ateka ba bougies ya cire ya nzoyi. livre nionso ya cire ya nzoyi ezo pesa ye nzela Yako sala 10 bougies. livre mono ya cire ya nzoyi PE singa ezo tekama 10,00$. silk a sali PE ateki 20 bougies, bénéfice ya ye ya mobimba eza boni? ko yeba été bougie Moko etekami 2,00$	20	40	"Answer only and the answer should only contain integers. 
charlie alingi ateka ba bougies ya cire ya nzoyi. livre nionso ya cire ya nzoyi ezo pesa ye nzela Yako sala 10 bougies. livre mono ya cire ya nzoyi PE singa ezo tekama 10,00$. silk a sali PE ateki 20 bougies, bénéfice ya ye ya mobimba eza boni? ko yeba été bougie Moko etekami 2,00$
"	40
Mérédith azali blogueuse indépendant asalaka mosala ya kokoma ba article mpo na theme ya bokolongonu ya nzoto mpe kotindela ba clients mikolo nyoso. Article na blog esengaka ngonga 4 ya mosala ya katikati, etali koluka luka na kokoma. Poso eleki, akomi article 5 lundi mpe 2/5 mbala koleka ba article mokolo ya mardi. Mercredi akomi mbala mibale koleka ba article lokola akomaki mardi te. Sala calcul ya motango nyoso ya ngonga alekisi na kokoma ba article banda mikolo misato.	104	14	"Answer only and the answer should only contain integers. 
Mérédith azali blogueuse indépendant asalaka mosala ya kokoma ba article mpo na theme ya bokolongonu ya nzoto mpe kotindela ba clients mikolo nyoso. Article na blog esengaka ngonga 4 ya mosala ya katikati, etali koluka luka na kokoma. Poso eleki, akomi article 5 lundi mpe 2/5 mbala koleka ba article mokolo ya mardi. Mercredi akomi mbala mibale koleka ba article lokola akomaki mardi te. Sala calcul ya motango nyoso ya ngonga alekisi na kokoma ba article banda mikolo misato.
"	14
